"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_butyricum","LKT__s__Clostridium_butyricum",53289327,100,3885843760,95.93,299,4425698,87531,24959,244,7402,0.96,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_aceticum","LKT__s__Clostridium_aceticum",29623982,100,3915467742,96.66,1440,4138326,15914,4185,1125,1390,0.99,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__Acetivibrio_thermocellus","LKT__s__Acetivibrio_thermocellus",26068824,100,3941536566,97.31,1047,3467289,20756,4813,823,1612,0.97,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_distasonis","LKT__s__Parabacteroides_distasonis",13592942,100,3955129508,97.64,1383,2424982,10036,2140,1009,920,0.47,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_pasteurianum","LKT__s__Clostridium_pasteurianum",11886560,100,3967016068,97.94,2796,2681746,5177,1016,1879,592,0.62,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfocurvibacter","s__Desulfocurvibacter_africanus","LKT__s__Desulfocurvibacter_africanus",11414888,100,3978430956,98.22,2766,2671741,4447,1025,1874,595,0.64,3
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Butyrivibrio","s__Butyrivibrio_hungatei","LKT__s__Butyrivibrio_hungatei",9147287,100,3987578243,98.44,2214,2175361,4255,1063,1507,598,0.64,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_saccharobutylicum","LKT__s__Clostridium_saccharobutylicum",8892736,100,3996470979,98.66,2654,2239792,10879,844,1735,560,0.45,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Thermoclostridium","s__Thermoclostridium_stercorarium","LKT__s__Thermoclostridium_stercorarium",8130910,100,4004601889,98.87,1944,1898066,3719,1029,1312,601,0.63,2
"d__Bacteria","k__Bacteria","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__k__Bacteria",7076487,100,4011678376,99.04,20,14276,1414,665,13,513,0,3
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Unclassified","LKT__g__Parabacteroides",6181790,100,4017860166,99.19,934,1181769,6210,1457,657,708,0.23,0
"d__Unclassified","k__Unclassified","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__Unclassified",5571257,100,4023431423,99.33,8,146618,123354,123354,8,16712,0.03,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Unclassified","g__Unclassified","s__Unclassified","LKT__o__Bacteroidales",3372925,100,4026804348,99.41,598,613569,6580,1090,420,591,0.12,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Unclassified","LKT__g__Clostridium",3278918,100,4030083266,99.49,432,307479,9608,648,273,522,0.08,4
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculum","s__Muribaculum_intestinale","LKT__s__Muribaculum_intestinale",3049792,100,4033133058,99.57,1062,788977,4887,729,656,541,0.24,4
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola_vulgatus","LKT__s__Phocaeicola_vulgatus",2842078,100,4035975136,99.64,21,146604,36969,14436,19,2729,0.03,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Unclassified","s__Unclassified","LKT__f__Bacteroidaceae",1555000,100,4037530136,99.68,56,162167,21758,6211,51,924,0.03,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Unclassified","LKT__g__Bacteroides",1385965,100,4038916101,99.71,31,50925,9537,2530,27,597,0.01,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Unclassified","LKT__g__Bordetella",1275328,100,4040191429,99.74,144,84135,1192,574,80,513,0.02,4
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Unclassified","g__Unclassified","s__Unclassified","LKT__o__Eubacteriales",1105299,100,4041296728,99.77,7,14135,3819,3474,6,1359,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sporogenes","LKT__s__Clostridium_sporogenes",1097068,100,4042393796,99.8,355,258739,3350,711,223,527,0.06,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Unclassified","LKT__g__Phocaeicola",1003986,100,4043397782,99.82,9,62765,26935,17920,8,2765,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_petrii","LKT__s__Bordetella_petrii",966193,100,4044363975,99.85,1,2453,2453,2453,1,2453,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Unclassified","s__Unclassified","LKT__f__Lachnospiraceae",886217,100,4045250192,99.87,5,10165,3475,2568,4,1071,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Roseburia","s__Unclassified","LKT__g__Roseburia",477528,100,4045727720,99.88,1,2971,2971,2971,1,2971,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Unclassified","LKT__g__Achromobacter",448285,100,4046176005,99.89,9,7422,2150,684,7,543,0,0
"d__Bacteria","k__Bacteria","p__Spirochaetes","c__Spirochaetia","o__Leptospirales","f__Leptospiraceae","g__Leptospira","s__Leptospira_interrogans","LKT__s__Leptospira_interrogans",408608,100,4046584613,99.9,1,1030,1030,1030,1,1030,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_celatum","LKT__s__Clostridium_celatum",387995,100,4046972608,99.91,2,3278,2501,2501,2,777,0,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_eggerthii","LKT__s__Bacteroides_eggerthii",373647,100,4047346255,99.92,1,33308,33308,33308,1,33308,0.01,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Dorea","s__Dorea_longicatena","LKT__s__Dorea_longicatena",345809,100,4047692064,99.93,1,4438,4438,4438,1,4438,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_ZJ_118","LKT__s__Parabacteroides_Unclassified_ZJ_118",324140,100,4048016204,99.94,33,60722,6104,2228,25,883,0.02,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_Unclassified_AM23_18","LKT__s__Bacteroides_Unclassified_AM23_18",293074,100,4048309278,99.94,1,25875,25875,25875,1,25875,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Unclassified","g__Unclassified","s__Unclassified","LKT__o__Burkholderiales",277955,100,4048587233,99.95,3,2304,1109,610,2,585,0,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_tepidum","LKT__s__Clostridium_tepidum",195112,100,4048782345,99.96,4,3046,1335,624,3,537,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__p__Firmicutes",189672,100,4048972017,99.96,5,4004,1190,929,4,563,0,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus_cereus","LKT__s__Bacillus_cereus",130785,100,4049102802,99.96,1,718,718,718,1,718,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_uniformis","LKT__s__Bacteroides_uniformis",118914,100,4049221716,99.97,3,8890,5334,5334,3,988,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_Unclassified_AF36_18BH","LKT__s__Clostridium_Unclassified_AF36_18BH",105006,100,4049326722,99.97,1,848,848,848,1,848,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__Unclassified","LKT__g__Acetivibrio",81299,100,4049408021,99.97,9,12443,3156,2392,7,636,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_xylanisolvens","LKT__s__Bacteroides_xylanisolvens",70746,100,4049478767,99.97,6,12404,4872,2681,5,859,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Butyrivibrio","s__Unclassified","LKT__g__Butyrivibrio",68847,100,4049547614,99.97,20,15197,1509,776,13,546,0,2
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_genomosp_2","LKT__s__Bordetella_genomosp_2",63368,100,4049610982,99.98,1,506,506,506,1,506,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_Unclassified_P21","LKT__s__Clostridium_Unclassified_P21",53817,100,4049664799,99.98,1,4835,4835,4835,1,4835,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Unclassified","s__Unclassified","LKT__f__Clostridiaceae",52035,100,4049716834,99.98,1,593,593,593,1,593,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter_spanius","LKT__s__Achromobacter_spanius",50315,100,4049767149,99.98,1,567,567,567,1,567,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Unclassified","s__Unclassified","LKT__f__Muribaculaceae",50159,100,4049817308,99.98,18,15221,2310,818,12,551,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_CH2_D42_20","LKT__s__Parabacteroides_Unclassified_CH2_D42_20",42275,100,4049859583,99.98,4,7520,3452,2002,3,1414,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_salyersiae","LKT__s__Bacteroides_salyersiae",39457,100,4049899040,99.98,1,3862,3862,3862,1,3862,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_bronchiseptica","LKT__s__Bordetella_bronchiseptica",36576,100,4049935616,99.98,10,6149,735,622,6,560,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_merdae","LKT__s__Parabacteroides_merdae",27385,100,4049963001,99.98,3,5256,3255,3255,3,658,0,0
"d__Bacteria","k__Bacteria","p__Spirochaetes","c__Spirochaetia","o__Spirochaetales","f__Treponemataceae","g__Treponema","s__Unclassified","LKT__g__Treponema",26433,100,4049989434,99.99,1,591,591,591,1,591,0,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_Unclassified_2_1_33B","LKT__s__Bacteroides_Unclassified_2_1_33B",24069,100,4050013503,99.99,2,4352,3733,3733,2,619,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter_sakazakii","LKT__s__Cronobacter_sakazakii",23047,100,4050036550,99.99,1,570,570,570,1,570,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_rodentium","LKT__s__Bacteroides_rodentium",22028,100,4050058578,99.99,1,1486,1486,1486,1,1486,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_combesii","LKT__s__Clostridium_combesii",20379,100,4050078957,99.99,5,2888,693,534,3,516,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Butyricimonas","s__Butyricimonas_virosa","LKT__s__Butyricimonas_virosa",20230,100,4050099187,99.99,2,2949,1911,1911,2,1038,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_johnsonii","LKT__s__Parabacteroides_johnsonii",20077,100,4050119264,99.99,2,3585,1880,1880,2,1705,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_beijerinckii","LKT__s__Clostridium_beijerinckii",19946,100,4050139210,99.99,1,565,565,565,1,565,0,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_D26","LKT__s__Parabacteroides_Unclassified_D26",19906,100,4050159116,99.99,1,3261,3261,3261,1,3261,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_paraputrificum","LKT__s__Clostridium_paraputrificum",18753,100,4050177869,99.99,1,848,848,848,1,848,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Acetilactobacillus","s__Acetilactobacillus_jinshanensis","LKT__s__Acetilactobacillus_jinshanensis",18233,100,4050196102,99.99,1,765,765,765,1,765,0,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cyclobacteriaceae","g__Echinicola","s__Echinicola_rosea","LKT__s__Echinicola_rosea",17592,100,4050213694,99.99,1,563,563,563,1,563,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_cellulosilyticus","LKT__s__Bacteroides_cellulosilyticus",16933,100,4050230627,99.99,2,1966,1129,1129,2,837,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_holmesii","LKT__s__Bordetella_holmesii",15812,100,4050246439,99.99,3,1812,660,636,2,516,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_52","LKT__s__Parabacteroides_Unclassified_52",14776,100,4050261215,99.99,2,2883,1760,1760,2,1123,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_copri","LKT__s__Prevotella_copri",13129,100,4050274344,99.99,1,2306,2306,2306,1,2306,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_D13","LKT__s__Parabacteroides_Unclassified_D13",12939,100,4050287283,99.99,2,2645,1457,1457,2,1188,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__p__Proteobacteria",12920,100,4050300203,99.99,1,554,554,554,1,554,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_Unclassified_PL3","LKT__s__Clostridium_Unclassified_PL3",12850,100,4050313053,99.99,1,747,747,747,1,747,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_Unclassified_AM41_16","LKT__s__Bacteroides_Unclassified_AM41_16",12456,100,4050325509,99.99,1,2131,2131,2131,1,2131,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_AF39_10AC","LKT__s__Parabacteroides_Unclassified_AF39_10AC",12430,100,4050337939,99.99,2,2169,1332,1332,2,837,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Thermoclostridium","s__Unclassified","LKT__g__Thermoclostridium",11999,100,4050349938,99.99,3,2813,1191,944,2,678,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella","s__Barnesiella_Unclassified_GGCC_0306","LKT__s__Barnesiella_Unclassified_GGCC_0306",11538,100,4050361476,99.99,1,2028,2028,2028,1,2028,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculum","s__Unclassified","LKT__g__Muribaculum",11430,100,4050372906,100,6,4274,952,726,4,551,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_Unclassified_C2_6_12","LKT__s__Clostridium_Unclassified_C2_6_12",10690,100,4050383596,100,1,833,833,833,1,833,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola_coprocola","LKT__s__Phocaeicola_coprocola",9313,100,4050392909,100,1,1756,1756,1756,1,1756,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_grantii","LKT__s__Clostridium_grantii",9081,100,4050401990,100,2,1215,695,695,2,520,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_clarus","LKT__s__Bacteroides_clarus",9044,100,4050411034,100,1,1150,1150,1150,1,1150,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_20_3","LKT__s__Parabacteroides_Unclassified_20_3",8248,100,4050419282,100,2,1902,1003,1003,2,899,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__c__Actinomycetia",7422,100,4050426704,100,1,527,527,527,1,527,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_intestinalis","LKT__s__Bacteroides_intestinalis",7356,100,4050434060,100,1,1260,1260,1260,1,1260,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_hinzii","LKT__s__Bordetella_hinzii",6551,100,4050440611,100,1,854,854,854,1,854,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_propionicifaciens","LKT__s__Bacteroides_propionicifaciens",6162,100,4050446773,100,1,545,545,545,1,545,0,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_putredinis","LKT__s__Alistipes_putredinis",6099,100,4050452872,100,1,1277,1277,1277,1,1277,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_acidifaciens","LKT__s__Parabacteroides_acidifaciens",5939,100,4050458811,100,1,1152,1152,1152,1,1152,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_togonis","LKT__s__Bacteroides_togonis",5929,100,4050464740,100,1,1084,1084,1084,1,1084,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_tarantellae","LKT__s__Clostridium_tarantellae",5841,100,4050470581,100,1,716,716,716,1,716,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_Unclassified_OF01_14","LKT__s__Parabacteroides_Unclassified_OF01_14",5759,100,4050476340,100,1,1351,1351,1351,1,1351,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_faecis","LKT__s__Bacteroides_faecis",5715,100,4050482055,100,1,1071,1071,1071,1,1071,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Peptostreptococcaceae","g__Clostridioides","s__Clostridioides_difficile","LKT__s__Clostridioides_difficile",5178,100,4050487233,100,3,1761,647,570,2,544,0,2
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_goldsteinii","LKT__s__Parabacteroides_goldsteinii",5099,100,4050492332,100,1,1227,1227,1227,1,1227,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_peptidivorans","LKT__s__Clostridium_peptidivorans",4835,100,4050497167,100,1,1317,1317,1317,1,1317,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_trematum","LKT__s__Bordetella_trematum",4807,100,4050501974,100,2,1194,656,656,2,538,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Missing","f__Missing","g__Candidatus_Micropelagos","s__Candidatus_Micropelagos_thuwalensis","LKT__s__Candidatus_Micropelagos_thuwalensis",4149,100,4050506123,100,1,541,541,541,1,541,0,0
