genus,S1_GItract_HiSeq_cami,tax_id
PORPHYROMONAS,0.0,836
COLLETOTRICHUM,0.0,5455
AEROCOCCUS,0.0,1375
AIDINGIMONAS,0.0,1395977
ALISTIPES,0.0,239759
APHANOMYCES,0.0,100860
ARTHROBACTER,0.0,1663
AUREIMONAS,0.0,414371
BACILLUS,0.0,1386
BARNESIELLA,0.0,397864
BUTYRICIMONAS,0.0,574697
CHLOROHERPETON,0.0,100715
CUPRIAVIDUS,0.0,106589
PARAHALIEA,0.0,1857932
DESULFOCURVIBACTER,0.0,2582840
DEVOSIA,0.0,46913
DOREA,0.0,189330
DUGANELLA,0.0,75654
ECHINICOLA,0.0,390846
HERBASPIRILLUM,0.0,963
MARINOBACTER,0.0,2742
MESORHIZOBIUM,0.0,68287
MICROMONOSPORA,0.0,1873
MURIBACULUM,0.0,1918540
JANTHINOBACTERIUM,0.0,29580
