"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_DLFJ5_1","LKT__s__Thioclava_Unclassified_DLFJ5_1",13143684,100,27575742236,99.59,1,73008,73008,73008,1,73008,0.02,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_F28_4","LKT__s__Thioclava_Unclassified_F28_4",11754027,100,27587496263,99.63,3,64413,62644,62644,3,62644,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Unclassified","g__Unclassified","s__Unclassified","LKT__o__Rhodobacterales",11053407,100,27598549670,99.67,2,61661,48741,48741,2,12920,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_urativorans","LKT__s__Psychrobacter_urativorans",8347044,100,27606896714,99.7,4,19108,14177,14177,4,1621,0.01,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Winogradskyella","s__Winogradskyella_schleiferi","LKT__s__Winogradskyella_schleiferi",8276685,100,27615173399,99.73,1,6125,6125,6125,1,6125,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Corynebacteriales","f__Nocardiaceae","g__Nocardia","s__Nocardia_donostiensis","LKT__s__Nocardia_donostiensis",6840620,100,27622014019,99.75,1,40373,40373,40373,1,40373,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Azospirillaceae","g__Azospirillum","s__Azospirillum_Unclassified_TSA6c","LKT__s__Azospirillum_Unclassified_TSA6c",6815542,100,27628829561,99.78,1,37515,37515,37515,1,37515,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_electrotropha","LKT__s__Thioclava_electrotropha",6593820,100,27635423381,99.8,1,34515,34515,34515,1,34515,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_F1Mire_8","LKT__s__Thioclava_Unclassified_F1Mire_8",5807498,100,27641230879,99.82,1,33279,33279,33279,1,33279,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_piscatorii","LKT__s__Psychrobacter_piscatorii",5690345,100,27646921224,99.84,1,1708,1708,1708,1,1708,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_DAB_AL43B","LKT__s__Psychrobacter_Unclassified_DAB_AL43B",5228620,100,27652149844,99.86,2,6053,4241,4241,2,1812,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_nitratireducens","LKT__s__Thioclava_nitratireducens",5087050,100,27657236894,99.88,1,29191,29191,29191,1,29191,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_Sarcosine_02u_2","LKT__s__Psychrobacter_Unclassified_Sarcosine_02u_2",4003584,100,27661240478,99.9,1,5012,5012,5012,1,5012,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_ANT_H56B","LKT__s__Psychrobacter_Unclassified_ANT_H56B",3239749,100,27664480227,99.91,1,3876,3876,3876,1,3876,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Unclassified","LKT__g__Psychrobacter",2833020,100,27667313247,99.92,5,4090,1611,716,4,518,0,0
"d__Eukaryota","k__Unclassified","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__d__Eukaryota",2628511,100,27669941758,99.93,1,14301,14301,14301,1,14301,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Pseudonocardia","s__Pseudonocardia_pini","LKT__s__Pseudonocardia_pini",2622088,100,27672563846,99.94,1,13622,13622,13622,1,13622,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Muricauda","s__Muricauda_Unclassified_ARW1Y1","LKT__s__Muricauda_Unclassified_ARW1Y1",2463976,100,27675027822,99.95,1,1223,1223,1223,1,1223,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_L04_15","LKT__s__Thioclava_Unclassified_L04_15",2450819,100,27677478641,99.95,1,13868,13868,13868,1,13868,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Winogradskyella","s__Winogradskyella_Unclassified_E313","LKT__s__Winogradskyella_Unclassified_E313",2192582,100,27679671223,99.96,1,1312,1312,1312,1,1312,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Halovulum","s__Halovulum_marinum","LKT__s__Halovulum_marinum",1956590,100,27681627813,99.97,1,11395,11395,11395,1,11395,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_F36_7","LKT__s__Thioclava_Unclassified_F36_7",1435355,100,27683063168,99.97,1,8191,8191,8191,1,8191,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Unclassified","LKT__g__Thioclava",1397056,100,27684460224,99.98,4,5916,2503,1641,3,677,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Alicyclobacillaceae","g__Alicyclobacillus","s__Alicyclobacillus_vulcanalis","LKT__s__Alicyclobacillus_vulcanalis",1280989,100,27685741213,99.98,1,7033,7033,7033,1,7033,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_dalianensis","LKT__s__Thioclava_dalianensis",1065170,100,27686806383,99.99,1,923,923,923,1,923,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_FME5","LKT__s__Psychrobacter_Unclassified_FME5",1041425,100,27687847808,99.99,1,897,897,897,1,897,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Unclassified","LKT__g__Streptomyces",669778,100,27688517586,99.99,1,1896,1896,1896,1,1896,0,0
"d__Bacteria","k__Bacteria","p__Balneolaeota","c__Balneolia","o__Balneolales","f__Balneolaceae","g__Rhodohalobacter","s__Rhodohalobacter_barkolensis","LKT__s__Rhodohalobacter_barkolensis",623428,100,27689141014,100,1,640,640,640,1,640,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","s__Unclassified","LKT__g__Micromonospora",346808,100,27689487822,100,5,7116,2500,1371,4,929,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_Unclassified_Arc7_DN_1","LKT__s__Marinobacter_Unclassified_Arc7_DN_1",183023,100,27689670845,100,1,18825,18825,18825,1,18825,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Microbacteriaceae","g__Salinibacterium","s__Salinibacterium_Unclassified_NK8237","LKT__s__Salinibacterium_Unclassified_NK8237",124254,100,27689795099,100,1,2407,2407,2407,1,2407,0,0
"d__Eukaryota","k__Fungi","p__Mucoromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Unclassified","s__Unclassified","LKT__f__Glomeraceae",95990,100,27689891089,100,1,537,537,537,1,537,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Unclassified","s__Unclassified","LKT__f__Rhodobacteraceae",78362,100,27689969451,100,1,569,569,569,1,569,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","s__Micromonospora_Unclassified_TP_A0468","LKT__s__Micromonospora_Unclassified_TP_A0468",59072,100,27690028523,100,1,1656,1656,1656,1,1656,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_Unclassified_BSs20148","LKT__s__Marinobacter_Unclassified_BSs20148",41100,100,27690069623,100,1,3942,3942,3942,1,3942,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","s__Micromonospora_Unclassified_S4605","LKT__s__Micromonospora_Unclassified_S4605",28565,100,27690098188,100,3,5018,2156,1817,2,1045,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_P11G5","LKT__s__Psychrobacter_Unclassified_P11G5",26680,100,27690124868,100,1,4235,4235,4235,1,4235,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_cibarius","LKT__s__Psychrobacter_cibarius",5521,100,27690130389,100,1,719,719,719,1,719,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_CMS30","LKT__s__Psychrobacter_Unclassified_CMS30",4547,100,27690134936,100,1,711,711,711,1,711,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","s__Halomonas_azerica","LKT__s__Halomonas_azerica",4265,100,27690139201,100,1,1043,1043,1043,1,1043,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_CCUG_69069","LKT__s__Psychrobacter_Unclassified_CCUG_69069",4073,100,27690143274,100,2,1166,631,631,2,535,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Unclassified","LKT__g__Pseudomonas",4004,100,27690147278,100,1,1249,1249,1249,1,1249,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Blastomonas","s__Blastomonas_Unclassified_CCH5_A3","LKT__s__Blastomonas_Unclassified_CCH5_A3",3568,100,27690150846,100,1,773,773,773,1,773,0,0
"d__Eukaryota","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctis","s__Rhizophlyctis_rosea","LKT__s__Rhizophlyctis_rosea",3549,100,27690154395,100,1,1043,1043,1043,1,1043,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_glacincola","LKT__s__Psychrobacter_glacincola",2562,100,27690156957,100,2,1095,559,559,2,536,0,0
