Organism,RA,TAXID,Source,SampleID,Pipeline
Tannerella forsythia,0.0,28112,Expected,S1,camisimGI
Elizabethkingia anophelis,0.0,1117645,Expected,S1,camisimGI
Flavobacteriaceae bacterium 3519-10,0.0,531844,Expected,S1,camisimGI
Burkholderia sp. Bp5365,0.0,1740162,Expected,S1,camisimGI
Streptococcus salivarius,0.0,1304,Expected,S1,camisimGI
Lactobacillus reuteri,0.0,1598,Expected,S1,camisimGI
Streptococcus agalactiae,0.0,1311,Expected,S1,camisimGI
Streptococcus parauberis,0.0,1348,Expected,S1,camisimGI
Streptococcus pneumoniae,0.0,1313,Expected,S1,camisimGI
Streptococcus iniae,0.0,1346,Expected,S1,camisimGI
Streptococcus pyogenes,0.0,1314,Expected,S1,camisimGI
Streptococcus intermedius,0.0,1338,Expected,S1,camisimGI
Streptobacillus moniliformis,0.0,34105,Expected,S1,camisimGI
Paraburkholderia rhizoxinica,0.0,412963,Expected,S1,camisimGI
Streptococcus equi,0.0,1336,Expected,S1,camisimGI
Ethanoligenens harbinense,0.0,253239,Expected,S1,camisimGI
Streptococcus dysgalactiae,0.0,1334,Expected,S1,camisimGI
Streptococcus anginosus,0.0,1328,Expected,S1,camisimGI
Treponema azotonutricium,0.0,150829,Expected,S1,camisimGI
Sediminicola sp. YIK13,0.0,1453352,Expected,S1,camisimGI
Candidatus Arthromitus sp. SFB-mouse-NL,0.0,1508644,Expected,S1,camisimGI
Streptococcus uberis,0.0,1349,Expected,S1,camisimGI
Clostridium perfringens,0.0,1502,Expected,S1,camisimGI
Lactococcus lactis,0.0,1358,Expected,S1,camisimGI
Atopobium parvulum,0.0,1382,Expected,S1,camisimGI
Campylobacter iguaniorum,0.0,1244531,Expected,S1,camisimGI
Burkholderia metallica,0.0,488729,Expected,S1,camisimGI
Tenacibaculum dicentrarchi,0.0,669041,Expected,S1,camisimGI
Streptococcus suis,0.0,1307,Expected,S1,camisimGI
[Eubacterium] eligens,0.0,39485,Expected,S1,camisimGI
Streptococcus thermophilus,0.0,1308,Expected,S1,camisimGI
Alkaliphilus metalliredigens,0.0,208226,Expected,S1,camisimGI
Streptococcus sp. I-G2,0.0,1156431,Expected,S1,camisimGI
Streptococcus mutans,0.0,1309,Expected,S1,camisimGI
Aerococcus viridans,0.0,1377,Expected,S1,camisimGI
Aerococcus urinae,0.0,1376,Expected,S1,camisimGI
Lactococcus piscium,0.0,1364,Expected,S1,camisimGI
Lactococcus garvieae,0.0,1363,Expected,S1,camisimGI
Streptococcus sp. I-P16,0.0,1156433,Expected,S1,camisimGI
Enterococcus faecalis,0.0,1351,Expected,S1,camisimGI
Filifactor alocis,0.0,143361,Expected,S1,camisimGI
Prevotella denticola,0.0,28129,Expected,S1,camisimGI
Bifidobacterium longum,0.0,216816,Expected,S1,camisimGI
Gardnerella vaginalis,0.0,2702,Expected,S1,camisimGI
Burkholderia territorii,0.0,1503055,Expected,S1,camisimGI
Alistipes finegoldii,0.0,214856,Expected,S1,camisimGI
Actinomyces oris,0.0,544580,Expected,S1,camisimGI
Burkholderia pseudomallei,0.0,28450,Expected,S1,camisimGI
Anaerotignum propionicum,0.0,28446,Expected,S1,camisimGI
Deinococcus geothermalis,0.0,68909,Expected,S1,camisimGI
Corynebacterium casei,0.0,160386,Expected,S1,camisimGI
Clostridium sp. SY8519,0.0,1042156,Expected,S1,camisimGI
Treponema putidum,0.0,221027,Expected,S1,camisimGI
Streptococcus pseudopneumoniae,0.0,257758,Expected,S1,camisimGI
Ilyobacter polytropus,0.0,167642,Expected,S1,camisimGI
Carnobacterium sp. 17-4,0.0,208596,Expected,S1,camisimGI
Propionibacterium freudenreichii,0.0,1744,Expected,S1,camisimGI
Clostridium taeniosporum,0.0,394958,Expected,S1,camisimGI
Burkholderia thailandensis,0.0,57975,Expected,S1,camisimGI
Peptoclostridium acidaminophilum,0.0,1731,Expected,S1,camisimGI
Corynebacterium variabile,0.0,1727,Expected,S1,camisimGI
Selenomonas sp. oral taxon 478,0.0,712538,Expected,S1,camisimGI
Bifidobacterium bifidum,0.0,1681,Expected,S1,camisimGI
Prevotella intermedia,0.0,28131,Expected,S1,camisimGI
Mageeibacillus indolicus,0.0,884684,Expected,S1,camisimGI
Myroides sp. A21,0.0,1583100,Expected,S1,camisimGI
Treponema primitia,0.0,88058,Expected,S1,camisimGI
[Mannheimia] succiniciproducens,0.0,157673,Expected,S1,camisimGI
Algibacter alginicilyticus,0.0,1736674,Expected,S1,camisimGI
Candidatus Arthromitus sp. SFB-mouse,0.0,49118,Expected,S1,camisimGI
Fusobacterium hwasookii,0.0,1583098,Expected,S1,camisimGI
Actinomyces sp. VUL4_3,0.0,1912795,Expected,S1,camisimGI
Muricauda lutaonensis,0.0,516051,Expected,S1,camisimGI
Burkholderia sp. YI23,0.0,1097668,Expected,S1,camisimGI
Pseudomonas stutzeri,0.0,316,Expected,S1,camisimGI
Streptococcus himalayensis,0.0,1888195,Expected,S1,camisimGI
Streptococcus sp. oral taxon 431,0.0,712633,Expected,S1,camisimGI
Aerococcus urinaehominis,0.0,128944,Expected,S1,camisimGI
Streptococcus macedonicus,0.0,59310,Expected,S1,camisimGI
Flavobacterium branchiophilum,0.0,55197,Expected,S1,camisimGI
Flavobacterium commune,0.0,1306519,Expected,S1,camisimGI
Clostridium saccharoperbutylacetonicum,0.0,36745,Expected,S1,camisimGI
Bifidobacterium breve,0.0,1685,Expected,S1,camisimGI
Corynebacterium pseudotuberculosis,0.0,1719,Expected,S1,camisimGI
Corynebacterium glutamicum,0.0,1718,Expected,S1,camisimGI
Corynebacterium diphtheriae,0.0,1717,Expected,S1,camisimGI
Clostridium kluyveri,0.0,1534,Expected,S1,camisimGI
Actinomyces meyeri,0.0,52773,Expected,S1,camisimGI
Corynebacterium ulcerans,0.0,65058,Expected,S1,camisimGI
Desulfitobacterium metallireducens,0.0,142877,Expected,S1,camisimGI
Capnocytophaga canimorsus,0.0,28188,Expected,S1,camisimGI
Clostridium baratii,0.0,1561,Expected,S1,camisimGI
Ruminococcus bicirculans,0.0,1160721,Expected,S1,camisimGI
Clostridium novyi,0.0,1542,Expected,S1,camisimGI
Clostridium ljungdahlii,0.0,1538,Expected,S1,camisimGI
Propionibacterium sp. oral taxon 193,0.0,671223,Expected,S1,camisimGI
Leptotrichia sp. oral taxon 212,0.0,712357,Expected,S1,camisimGI
Aerococcus christensenii,0.0,87541,Expected,S1,camisimGI
[Clostridium] cellulolyticum,0.0,1521,Expected,S1,camisimGI
Salegentibacter sp. T436,0.0,1729720,Expected,S1,camisimGI
Clostridium tyrobutyricum,0.0,1519,Expected,S1,camisimGI
Ruminiclostridium thermocellum,0.0,1515,Expected,S1,camisimGI
Acetoanaerobium sticklandii,0.0,1511,Expected,S1,camisimGI
Clostridium sporogenes,0.0,1509,Expected,S1,camisimGI
Prevotella melaninogenica,0.0,28132,Expected,S1,camisimGI
Mucinivorans hirudinis,0.0,1433126,Expected,S1,camisimGI
Lactobacillus delbrueckii,0.0,1584,Expected,S1,camisimGI
Myroides profundi,0.0,480520,Expected,S1,camisimGI
Lactobacillus plantarum,0.0,1590,Expected,S1,camisimGI
Streptococcus halotolerans,0.0,1814128,Expected,S1,camisimGI
Streptococcus sanguinis,0.0,1305,Expected,S1,camisimGI
Cloacibacillus porcorum,0.0,1197717,Expected,S1,camisimGI
Capnocytophaga sp. oral taxon 323,0.0,1705617,Expected,S1,camisimGI
Bifidobacterium adolescentis,0.0,1680,Expected,S1,camisimGI
Chryseobacterium sp. StRB126,0.0,878220,Expected,S1,camisimGI
Sulfurospirillum barnesii,0.0,44674,Expected,S1,camisimGI
Trueperella pyogenes,0.0,1661,Expected,S1,camisimGI
Prevotella fusca,0.0,589436,Expected,S1,camisimGI
Arcanobacterium haemolyticum,0.0,28264,Expected,S1,camisimGI
Janthinobacterium sp. 1_2014MBL_MicDiv,0.0,1644131,Expected,S1,camisimGI
Desulfitobacterium dichloroeliminans,0.0,233055,Expected,S1,camisimGI
Leptotrichia buccalis,0.0,40542,Expected,S1,camisimGI
Ornithobacterium rhinotracheale,0.0,28251,Expected,S1,camisimGI
Mannheimia sp. USDA-ARS-USMARC-1261,0.0,1432056,Expected,S1,camisimGI
Lactobacillus fermentum,0.0,1613,Expected,S1,camisimGI
Corynebacterium epidermidicanis,0.0,1050174,Expected,S1,camisimGI
Burkholderia ubonensis,0.0,101571,Expected,S1,camisimGI
Gramella forsetii,0.0,411153,Expected,S1,camisimGI
Sphaerochaeta globosa,0.0,1131703,Expected,S1,camisimGI
Coraliomargarita akajimensis,0.0,395922,Expected,S1,camisimGI
Aerococcus sanguinicola,0.0,119206,Expected,S1,camisimGI
Clostridium bornimense,0.0,1216932,Expected,S1,camisimGI
Arcobacter sp. L,0.0,944547,Expected,S1,camisimGI
Methylobacterium extorquens,0.0,408,Expected,S1,camisimGI
Negativicoccus massiliensis,0.0,1702287,Expected,S1,camisimGI
Prevotella enoeca,0.0,76123,Expected,S1,camisimGI
Faecalibaculum rodentium,0.0,1702221,Expected,S1,camisimGI
Selenomonas sp. oral taxon 136,0.0,713030,Expected,S1,camisimGI
Myroides sp. ZB35,0.0,1458492,Expected,S1,camisimGI
Ralstonia solanacearum,0.0,305,Expected,S1,camisimGI
Streptococcus marmotae,0.0,1825069,Expected,S1,camisimGI
Butyrivibrio proteoclasticus,0.0,43305,Expected,S1,camisimGI
Nonlabens sp. MIC269,0.0,1476901,Expected,S1,camisimGI
Burkholderia cepacia,0.0,292,Expected,S1,camisimGI
Pseudomonas aeruginosa,0.0,287,Expected,S1,camisimGI
Streptococcus infantarius,0.0,102684,Expected,S1,camisimGI
Actinobacillus succinogenes,0.0,67854,Expected,S1,camisimGI
Maribacter sp. HTCC2170,0.0,313603,Expected,S1,camisimGI
Ralstonia insidiosa,0.0,190721,Expected,S1,camisimGI
Actinomyces radicidentis,0.0,111015,Expected,S1,camisimGI
Pediococcus damnosus,0.0,51663,Expected,S1,camisimGI
Aerococcus urinaeequi,0.0,51665,Expected,S1,camisimGI
Streptococcus lutetiensis,0.0,150055,Expected,S1,camisimGI
Brevundimonas sp. DS20,0.0,1532555,Expected,S1,camisimGI
Candidatus Symbiobacter mobilis,0.0,1436290,Expected,S1,camisimGI
Erysipelothrix larvae,0.0,1514105,Expected,S1,camisimGI
Bibersteinia trehalosi,0.0,47735,Expected,S1,camisimGI
Cupriavidus gilardii,0.0,82541,Expected,S1,camisimGI
[Eubacterium] rectale,0.0,39491,Expected,S1,camisimGI
Streptococcus cristatus,0.0,45634,Expected,S1,camisimGI
Klebsiella pneumoniae,0.0,573,Expected,S1,camisimGI
Streptococcus sp. VT 162,0.0,1419814,Expected,S1,camisimGI
Streptococcus pantholopis,0.0,1811193,Expected,S1,camisimGI
Turicibacter sp. H121,0.0,1712675,Expected,S1,camisimGI
Bacteroides caecimuris,0.0,1796613,Expected,S1,camisimGI
Kingella kingae,0.0,504,Expected,S1,camisimGI
Neisseria elongata,0.0,495,Expected,S1,camisimGI
Neisseria meningitidis,0.0,487,Expected,S1,camisimGI
Neisseria lactamica,0.0,486,Expected,S1,camisimGI
Neisseria gonorrhoeae,0.0,485,Expected,S1,camisimGI
Moraxella catarrhalis,0.0,480,Expected,S1,camisimGI
Carnobacterium inhibens,0.0,147709,Expected,S1,camisimGI
Polynucleobacter duraquae,0.0,1835254,Expected,S1,camisimGI
Roseburia hominis,0.0,301301,Expected,S1,camisimGI
Campylobacter subantarcticus,0.0,497724,Expected,S1,camisimGI
Clostridium sp. BNL1100,0.0,755731,Expected,S1,camisimGI
Actinotignum schaalii,0.0,59505,Expected,S1,camisimGI
Selenomonas sp. oral taxon 920,0.0,1884263,Expected,S1,camisimGI
Lutibacter profundi,0.0,1622118,Expected,S1,camisimGI
Flavobacterium psychrophilum,0.0,96345,Expected,S1,camisimGI
Akkermansia glycaniphila,0.0,1679444,Expected,S1,camisimGI
Corynebacterium ureicelerivorans,0.0,401472,Expected,S1,camisimGI
[Clostridium] saccharolyticum,0.0,84030,Expected,S1,camisimGI
Snodgrassella alvi,0.0,1196083,Expected,S1,camisimGI
Leptotrichia sp. oral taxon 847,0.0,1785996,Expected,S1,camisimGI
Mycoplasma gallisepticum,0.0,2096,Expected,S1,camisimGI
Mycoplasma capricolum,0.0,2095,Expected,S1,camisimGI
Peptoniphilus sp. ING2-D1G,0.0,1912856,Expected,S1,camisimGI
Prevotella dentalis,0.0,52227,Expected,S1,camisimGI
Sulfurospirillum deleyianum,0.0,65553,Expected,S1,camisimGI
Streptococcus gallolyticus,0.0,315405,Expected,S1,camisimGI
Carnobacterium sp. CP1,0.0,1564681,Expected,S1,camisimGI
Tannerella sp. oral taxon HOT-286,0.0,712710,Expected,S1,camisimGI
Gemella sp. oral taxon 928,0.0,1785995,Expected,S1,camisimGI
Slackia heliotrinireducens,0.0,84110,Expected,S1,camisimGI
Croceibacter atlanticus,0.0,313588,Expected,S1,camisimGI
Cryptobacterium curtum,0.0,84163,Expected,S1,camisimGI
Salmonella enterica,0.0,28901,Expected,S1,camisimGI
Desulfotomaculum reducens,0.0,59610,Expected,S1,camisimGI
Mannheimia haemolytica,0.0,75985,Expected,S1,camisimGI
Cellulophaga algicola,0.0,59600,Expected,S1,camisimGI
Campylobacter lari,0.0,201,Expected,S1,camisimGI
Campylobacter curvus,0.0,200,Expected,S1,camisimGI
[Clostridium] clariflavum,0.0,288965,Expected,S1,camisimGI
Campylobacter fetus,0.0,196,Expected,S1,camisimGI
Selenomonas sputigena,0.0,69823,Expected,S1,camisimGI
Eggerthella lenta,0.0,84112,Expected,S1,camisimGI
Treponema paraluiscuniculi,0.0,53435,Expected,S1,camisimGI
Desulfitobacterium hafniense,0.0,49338,Expected,S1,camisimGI
Streptococcus sp. A12,0.0,1759399,Expected,S1,camisimGI
Bordetella flabilis,0.0,463014,Expected,S1,camisimGI
Treponema pallidum,0.0,160,Expected,S1,camisimGI
Treponema denticola,0.0,158,Expected,S1,camisimGI
Spirochaeta thermophila,0.0,154,Expected,S1,camisimGI
Petrimonas mucosa,0.0,1642646,Expected,S1,camisimGI
Klebsiella variicola,0.0,244366,Expected,S1,camisimGI
Rothia mucilaginosa,0.0,43675,Expected,S1,camisimGI
Collimonas fungivorans,0.0,158899,Expected,S1,camisimGI
[Clostridium] cellulosi,0.0,29343,Expected,S1,camisimGI
Aequorivita sublithincola,0.0,101385,Expected,S1,camisimGI
Bacteroides cellulosilyticus,0.0,246787,Expected,S1,camisimGI
Bordetella trematum,0.0,123899,Expected,S1,camisimGI
Capnocytophaga ochracea,0.0,1018,Expected,S1,camisimGI
Weeksella virosa,0.0,1014,Expected,S1,camisimGI
Streptococcus pasteurianus,0.0,197614,Expected,S1,camisimGI
Treponema succinifaciens,0.0,167,Expected,S1,camisimGI
Flavobacterium columnare,0.0,996,Expected,S1,camisimGI
Actinomyces pacaensis,0.0,1852377,Expected,S1,camisimGI
Cellulophaga lytica,0.0,979,Expected,S1,camisimGI
Lacinutrix sp. 5H-3-7-4,0.0,983544,Expected,S1,camisimGI
Arcobacter butzleri,0.0,28197,Expected,S1,camisimGI
Selenomonas ruminantium,0.0,971,Expected,S1,camisimGI
Moraxella bovoculi,0.0,386891,Expected,S1,camisimGI
Roseateles depolymerans,0.0,76731,Expected,S1,camisimGI
Burkholderia dolosa,0.0,152500,Expected,S1,camisimGI
Geosporobacter ferrireducens,0.0,1424294,Expected,S1,camisimGI
Muricauda ruestringensis,0.0,111501,Expected,S1,camisimGI
Tenacibaculum sp. LPB0136,0.0,1850252,Expected,S1,camisimGI
Dialister pneumosintes,0.0,39950,Expected,S1,camisimGI
Myroides odoratimimus,0.0,76832,Expected,S1,camisimGI
Blautia sp. YL58,0.0,1796616,Expected,S1,camisimGI
Mobiluncus curtisii,0.0,2051,Expected,S1,camisimGI
Lachnoclostridium phocaeense,0.0,1871021,Expected,S1,camisimGI
Desulfotomaculum ruminis,0.0,1564,Expected,S1,camisimGI
Acetobacterium woodii,0.0,33952,Expected,S1,camisimGI
Campylobacter jejuni,0.0,197,Expected,S1,camisimGI
Campylobacter coli,0.0,195,Expected,S1,camisimGI
Burkholderia vietnamiensis,0.0,60552,Expected,S1,camisimGI
Treponema brennaborense,0.0,81028,Expected,S1,camisimGI
Salinispira pacifica,0.0,1307761,Expected,S1,camisimGI
Capnocytophaga haemolytica,0.0,45243,Expected,S1,camisimGI
Alkaliphilus oremlandii,0.0,461876,Expected,S1,camisimGI
Campylobacter peloridis,0.0,488546,Expected,S1,camisimGI
Candidatus Arthromitus sp. SFB-rat-Yit,0.0,1041504,Expected,S1,camisimGI
Coriobacterium glomerans,0.0,33871,Expected,S1,camisimGI
Siansivirga zeaxanthinifaciens,0.0,762954,Expected,S1,camisimGI
Jeotgalibaca sp. PTS2502,0.0,1903686,Expected,S1,camisimGI
Bifidobacterium scardovii,0.0,158787,Expected,S1,camisimGI
Burkholderia mallei,0.0,13373,Expected,S1,camisimGI
Streptococcus constellatus,0.0,76860,Expected,S1,camisimGI
Megasphaera elsdenii,0.0,907,Expected,S1,camisimGI
Taylorella equigenitalis,0.0,29575,Expected,S1,camisimGI
Lutibacter sp. LPB0138,0.0,1850246,Expected,S1,camisimGI
[Haemophilus] ducreyi,0.0,730,Expected,S1,camisimGI
Bacteroides ovatus,0.0,28116,Expected,S1,camisimGI
Gallibacterium anatis,0.0,750,Expected,S1,camisimGI
Pasteurella multocida,0.0,747,Expected,S1,camisimGI
Winogradskyella sp. PG-2,0.0,754409,Expected,S1,camisimGI
[Haemophilus] parasuis,0.0,738,Expected,S1,camisimGI
Sneathia amnii,0.0,187101,Expected,S1,camisimGI
Aggregatibacter aphrophilus,0.0,732,Expected,S1,camisimGI
Histophilus somni,0.0,731,Expected,S1,camisimGI
Haemophilus parainfluenzae,0.0,729,Expected,S1,camisimGI
Desulfotomaculum kuznetsovii,0.0,58135,Expected,S1,camisimGI
Haemophilus influenzae,0.0,727,Expected,S1,camisimGI
Seonamhaeicola sp. S2-3,0.0,1936081,Expected,S1,camisimGI
Actinobacillus equuli,0.0,718,Expected,S1,camisimGI
Actinobacillus suis,0.0,716,Expected,S1,camisimGI
Actinobacillus pleuropneumoniae,0.0,715,Expected,S1,camisimGI
Aggregatibacter actinomycetemcomitans,0.0,714,Expected,S1,camisimGI
Polaribacter vadi,0.0,1774273,Expected,S1,camisimGI
Carnobacterium maltaromaticum,0.0,2751,Expected,S1,camisimGI
Chryseobacterium sp. IHB B 17019,0.0,1721091,Expected,S1,camisimGI
Veillonella parvula,0.0,29466,Expected,S1,camisimGI
Desulfovibrio piger,0.0,901,Expected,S1,camisimGI
Prevotella ruminicola,0.0,839,Expected,S1,camisimGI
Desulfovibrio vulgaris,0.0,881,Expected,S1,camisimGI
Desulfovibrio salexigens,0.0,880,Expected,S1,camisimGI
Desulfovibrio desulfuricans,0.0,876,Expected,S1,camisimGI
Lawsonia intracellularis,0.0,29546,Expected,S1,camisimGI
Desulfovibrio africanus,0.0,873,Expected,S1,camisimGI
Dichelobacter nodosus,0.0,870,Expected,S1,camisimGI
Fusobacterium nucleatum,0.0,851,Expected,S1,camisimGI
Coriobacteriaceae bacterium 68-1-3,0.0,1531429,Expected,S1,camisimGI
Porphyromonas gingivalis,0.0,837,Expected,S1,camisimGI
Eggerthella sp. YY7918,0.0,502558,Expected,S1,camisimGI
Desulfovibrio alaskensis,0.0,58180,Expected,S1,camisimGI
Nonlabens dokdonensis,0.0,328515,Expected,S1,camisimGI
Campylobacter ureolyticus,0.0,827,Expected,S1,camisimGI
Sebaldella termitidis,0.0,826,Expected,S1,camisimGI
Campylobacter gracilis,0.0,824,Expected,S1,camisimGI
Parabacteroides distasonis,0.0,823,Expected,S1,camisimGI
Cellulophaga baltica,0.0,76594,Expected,S1,camisimGI
Marinilactibacillus sp. 15R,0.0,1911586,Expected,S1,camisimGI
Rothia dentocariosa,0.0,2047,Expected,S1,camisimGI
Bordetella pertussis,0.3665339999999999,520,Expected,S2,camisimGI
Achromobacter xylosoxidans,0.1474099999999999,85698,Expected,S2,camisimGI
Clostridium botulinum,0.123973,1491,Expected,S2,camisimGI
Roseburia hominis,0.087649,301301,Expected,S2,camisimGI
Clostridium perfringens,0.085108,1502,Expected,S2,camisimGI
Bacteroides fragilis,0.037627,817,Expected,S2,camisimGI
Clostridium scatologenes,0.035857,1548,Expected,S2,camisimGI
Bacteroides thetaiotaomicron,0.023904,818,Expected,S2,camisimGI
Bacteroides dorei,0.01815,357276,Expected,S2,camisimGI
Clostridium cellulovorans,0.015936,1493,Expected,S2,camisimGI
Clostridium butyricum,0.012607,1492,Expected,S2,camisimGI
Ruminiclostridium thermocellum,0.007968,1515,Expected,S2,camisimGI
Clostridium aceticum,0.007501,84022,Expected,S2,camisimGI
Parabacteroides distasonis,0.005504,823,Expected,S2,camisimGI
Butyrivibrio hungatei,0.003984,185008,Expected,S2,camisimGI
Desulfovibrio africanus,0.003984,873,Expected,S2,camisimGI
Clostridium pasteurianum,0.003984,1501,Expected,S2,camisimGI
[Clostridium] stercorarium,0.003984,1510,Expected,S2,camisimGI
Clostridium saccharobutylicum,0.003329,169679,Expected,S2,camisimGI
Clostridium sporogenes,0.002542,1509,Expected,S2,camisimGI
Parabacteroides sp. YL27,0.002464,1834200,Expected,S2,camisimGI
Burkholderia stabilis,0.0,95485,Expected,S2,camisimGI
Lactobacillus reuteri,0.0,1598,Expected,S2,camisimGI
Gramella flava,0.0,1486245,Expected,S2,camisimGI
Mannheimia varigena,0.0,85404,Expected,S2,camisimGI
Zunongwangia profunda,0.0,398743,Expected,S2,camisimGI
Streptococcus mitis,0.0,28037,Expected,S2,camisimGI
Flavobacteriaceae bacterium 3519-10,0.0,531844,Expected,S2,camisimGI
Burkholderia sp. Bp5365,0.0,1740162,Expected,S2,camisimGI
Bifidobacterium animalis,0.0,28025,Expected,S2,camisimGI
Campylobacter iguaniorum,0.0,1244531,Expected,S2,camisimGI
Maribacter sp. T28,0.0,1836467,Expected,S2,camisimGI
Tenacibaculum dicentrarchi,0.0,669041,Expected,S2,camisimGI
