TAX_ID,genus,RA,Source,SampleID
2811390,SPOROFACIENS,9.4000094000094e-05,jams202212,SRR17380241
909656,PHOCAEICOLA,8.4000084000084e-05,jams202212,SRR17380241
2981639,MURIVENTRICOLA,6.9000069000069e-05,jams202212,SRR17380241
1730,EUBACTERIUM,4.2000042000042e-05,jams202212,SRR17380241
44249,PAENIBACILLUS,0.0,jams202212,SRR17380241
2316020,MEDITERRANEIBACTER,0.0,jams202212,SRR17380241
497,PSYCHROBACTER,0.0,jams202212,SRR17380241
1350,ENTEROCOCCUS,0.0,jams202212,SRR17380241
572511,BLAUTIA,0.0839700839700839,jams202212,SRR17380242
2719313,ENTEROCLOSTER,0.0806900806900806,jams202212,SRR17380242
561,ESCHERICHIA,0.076002076002076,jams202212,SRR17380242
375288,PARABACTEROIDES,0.0752300752300752,jams202212,SRR17380242
286,PSEUDOMONAS,0.0737670737670737,jams202212,SRR17380242
816,BACTEROIDES,0.0702160702160702,jams202212,SRR17380242
1678,BIFIDOBACTERIUM,0.0675850675850675,jams202212,SRR17380242
1263,RUMINOCOCCUS,0.0621180621180621,jams202212,SRR17380242
1386,BACILLUS,0.0568010568010568,jams202212,SRR17380242
207244,ANAEROSTIPES,0.0484700484700484,jams202212,SRR17380242
906,MEGASPHAERA,0.0426900426900426,jams202212,SRR17380242
239934,AKKERMANSIA,0.042022042022042,jams202212,SRR17380242
946234,FLAVONIFRACTOR,0.0382020382020382,jams202212,SRR17380242
1301,STREPTOCOCCUS,0.0343450343450343,jams202212,SRR17380242
1912216,CUTIBACTERIUM,0.0343240343240343,jams202212,SRR17380242
102106,COLLINSELLA,0.0305040305040305,jams202212,SRR17380242
1279,STAPHYLOCOCCUS,0.0292020292020292,jams202212,SRR17380242
158846,MEGAMONAS,0.0233860233860233,jams202212,SRR17380242
1578,LACTOBACILLUS,0.0196580196580196,jams202212,SRR17380242
12908,UNCLASSIFIED,0.0005840005840005,jams202212,SRR17380242
1870884,CLOSTRIDIOIDES,0.0005560005560005,jams202212,SRR17380242
2811390,SPOROFACIENS,9.6000096000096e-05,jams202212,SRR17380242
2981639,MURIVENTRICOLA,5.8000058000058e-05,jams202212,SRR17380242
909656,PHOCAEICOLA,5.6000056000056005e-05,jams202212,SRR17380242
1350,ENTEROCOCCUS,5.2000052000052e-05,jams202212,SRR17380242
44249,PAENIBACILLUS,3.3000033000033e-05,jams202212,SRR17380242
1730,EUBACTERIUM,1.1000011000011e-05,jams202212,SRR17380242
497,PSYCHROBACTER,3.000003000003e-06,jams202212,SRR17380242
2316020,MEDITERRANEIBACTER,0.0,jams202212,SRR17380242
572511,BLAUTIA,0.083671,jams202212,SRR17380243
2719313,ENTEROCLOSTER,0.08087,jams202212,SRR17380243
561,ESCHERICHIA,0.075517,jams202212,SRR17380243
375288,PARABACTEROIDES,0.074684,jams202212,SRR17380243
286,PSEUDOMONAS,0.074144,jams202212,SRR17380243
816,BACTEROIDES,0.071108,jams202212,SRR17380243
1678,BIFIDOBACTERIUM,0.067592,jams202212,SRR17380243
1263,RUMINOCOCCUS,0.063596,jams202212,SRR17380243
1386,BACILLUS,0.057216,jams202212,SRR17380243
207244,ANAEROSTIPES,0.048061,jams202212,SRR17380243
906,MEGASPHAERA,0.041968,jams202212,SRR17380243
239934,AKKERMANSIA,0.041119,jams202212,SRR17380243
946234,FLAVONIFRACTOR,0.038037,jams202212,SRR17380243
1301,STREPTOCOCCUS,0.035241,jams202212,SRR17380243
1912216,CUTIBACTERIUM,0.033096,jams202212,SRR17380243
1279,STAPHYLOCOCCUS,0.030927,jams202212,SRR17380243
102106,COLLINSELLA,0.030393,jams202212,SRR17380243
158846,MEGAMONAS,0.024664,jams202212,SRR17380243
1578,LACTOBACILLUS,0.019391,jams202212,SRR17380243
1870884,CLOSTRIDIOIDES,0.000705,jams202212,SRR17380243
12908,UNCLASSIFIED,0.000591,jams202212,SRR17380243
44249,PAENIBACILLUS,0.000181,jams202212,SRR17380243
2811390,SPOROFACIENS,0.0001,jams202212,SRR17380243
2316020,MEDITERRANEIBACTER,8.7e-05,jams202212,SRR17380243
909656,PHOCAEICOLA,8.499999999999999e-05,jams202212,SRR17380243
2981639,MURIVENTRICOLA,5.7e-05,jams202212,SRR17380243
1730,EUBACTERIUM,3.3e-05,jams202212,SRR17380243
497,PSYCHROBACTER,0.0,jams202212,SRR17380243
1350,ENTEROCOCCUS,0.0,jams202212,SRR17380243
572511,BLAUTIA,0.0844029999999999,jams202212,SRR17380246
2719313,ENTEROCLOSTER,0.080331,jams202212,SRR17380246
375288,PARABACTEROIDES,0.0752839999999999,jams202212,SRR17380246
561,ESCHERICHIA,0.0750079999999999,jams202212,SRR17380246
286,PSEUDOMONAS,0.072585,jams202212,SRR17380246
816,BACTEROIDES,0.0707209999999999,jams202212,SRR17380246
1678,BIFIDOBACTERIUM,0.066514,jams202212,SRR17380246
1263,RUMINOCOCCUS,0.064813,jams202212,SRR17380246
1386,BACILLUS,0.05711,jams202212,SRR17380246
207244,ANAEROSTIPES,0.048046,jams202212,SRR17380246
906,MEGASPHAERA,0.042215,jams202212,SRR17380246
239934,AKKERMANSIA,0.041207,jams202212,SRR17380246
946234,FLAVONIFRACTOR,0.037581,jams202212,SRR17380246
1301,STREPTOCOCCUS,0.035586,jams202212,SRR17380246
1912216,CUTIBACTERIUM,0.033638,jams202212,SRR17380246
1279,STAPHYLOCOCCUS,0.0315709999999999,jams202212,SRR17380246
102106,COLLINSELLA,0.029962,jams202212,SRR17380246
158846,MEGAMONAS,0.02522,jams202212,SRR17380246
1578,LACTOBACILLUS,0.019315,jams202212,SRR17380246
12908,UNCLASSIFIED,0.000877,jams202212,SRR17380246
1870884,CLOSTRIDIOIDES,0.00069,jams202212,SRR17380246
2811390,SPOROFACIENS,0.000111,jams202212,SRR17380246
909656,PHOCAEICOLA,8.499999999999999e-05,jams202212,SRR17380246
1730,EUBACTERIUM,2.1e-05,jams202212,SRR17380246
44249,PAENIBACILLUS,0.0,jams202212,SRR17380246
2981639,MURIVENTRICOLA,0.0,jams202212,SRR17380246
2316020,MEDITERRANEIBACTER,0.0,jams202212,SRR17380246
497,PSYCHROBACTER,0.0,jams202212,SRR17380246
1350,ENTEROCOCCUS,0.0,jams202212,SRR17380246
572511,BLAUTIA,0.083816,jams202212,SRR17380245
2719313,ENTEROCLOSTER,0.080176,jams202212,SRR17380245
375288,PARABACTEROIDES,0.075448,jams202212,SRR17380245
561,ESCHERICHIA,0.0751339999999999,jams202212,SRR17380245
286,PSEUDOMONAS,0.072885,jams202212,SRR17380245
816,BACTEROIDES,0.070152,jams202212,SRR17380245
1678,BIFIDOBACTERIUM,0.067031,jams202212,SRR17380245
1263,RUMINOCOCCUS,0.064539,jams202212,SRR17380245
1386,BACILLUS,0.056671,jams202212,SRR17380245
207244,ANAEROSTIPES,0.048073,jams202212,SRR17380245
906,MEGASPHAERA,0.042034,jams202212,SRR17380245
239934,AKKERMANSIA,0.040763,jams202212,SRR17380245
946234,FLAVONIFRACTOR,0.037408,jams202212,SRR17380245
1301,STREPTOCOCCUS,0.036237,jams202212,SRR17380245
1912216,CUTIBACTERIUM,0.033831,jams202212,SRR17380245
1279,STAPHYLOCOCCUS,0.031921,jams202212,SRR17380245
102106,COLLINSELLA,0.030018,jams202212,SRR17380245
158846,MEGAMONAS,0.025574,jams202212,SRR17380245
1578,LACTOBACILLUS,0.019356,jams202212,SRR17380245
1870884,CLOSTRIDIOIDES,0.000583,jams202212,SRR17380245
12908,UNCLASSIFIED,0.000525,jams202212,SRR17380245
2811390,SPOROFACIENS,0.000196,jams202212,SRR17380245
909656,PHOCAEICOLA,9.3e-05,jams202212,SRR17380245
2981639,MURIVENTRICOLA,6.8e-05,jams202212,SRR17380245
1730,EUBACTERIUM,5.4e-05,jams202212,SRR17380245
44249,PAENIBACILLUS,1.1e-05,jams202212,SRR17380245
2316020,MEDITERRANEIBACTER,0.0,jams202212,SRR17380245
497,PSYCHROBACTER,0.0,jams202212,SRR17380245
1350,ENTEROCOCCUS,0.0,jams202212,SRR17380245
