SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source
SRR11487937,18,0.2996,0.0046,5.1875,0.7914,0.0063,100.0,0.0,biobakery4,1e-05,mixed
SRR11487938,18,0.3547,0.0045,4.7066,0.7969,0.0062,100.0,0.0,biobakery4,1e-05,mixed
SRR11487939,18,0.2928,0.0046,5.945,0.7951,0.0063,100.0,0.0,biobakery4,1e-05,mixed
SRR11487940,18,0.3277,0.0044,5.0307,0.803,0.0061,100.0,0.0,biobakery4,1e-05,mixed
SRR11487941,18,0.3332,0.0045,5.8823,0.7971,0.0063,100.0,0.0,biobakery4,1e-05,mixed
SRR11487937,19,0.3708,0.0043,3.6003,0.7947,0.006,100.0,0.0,jams,1e-05,mixed
SRR11487938,19,0.3682,0.0044,3.695,0.7941,0.0061,100.0,0.0,jams,1e-05,mixed
SRR11487939,19,0.4162,0.0042,3.9369,0.7974,0.006,100.0,0.0,jams,1e-05,mixed
SRR11487940,19,0.3834,0.0043,3.4885,0.7968,0.006,100.0,0.0,jams,1e-05,mixed
SRR11487941,19,0.3887,0.0043,3.6944,0.7964,0.006,100.0,0.0,jams,1e-05,mixed
SRR11487937,17,0.3833,0.0051,4.6362,0.7831,0.0074,100.0,0.0,wgsa2,1e-05,mixed
SRR11487938,17,0.3924,0.0051,4.7186,0.7829,0.0074,100.0,0.0,wgsa2,1e-05,mixed
SRR11487939,17,0.3983,0.0051,4.6751,0.7827,0.0075,100.0,0.0,wgsa2,1e-05,mixed
SRR11487940,17,0.3953,0.0051,4.6599,0.7843,0.0074,100.0,0.0,wgsa2,1e-05,mixed
SRR11487941,17,0.3961,0.0051,4.6848,0.7841,0.0074,100.0,0.0,wgsa2,1e-05,mixed
SRR11487937,18,0.0234,0.0058,3.2948,0.7376,0.0085,100.0,0.0,woltka,1e-05,mixed
SRR11487938,18,0.0204,0.0058,3.3182,0.7373,0.0085,100.0,0.0,woltka,1e-05,mixed
SRR11487939,18,0.0221,0.0058,3.3334,0.7377,0.0084,100.0,0.0,woltka,1e-05,mixed
SRR11487940,18,0.0196,0.0058,3.2964,0.7397,0.0084,100.0,0.0,woltka,1e-05,mixed
SRR11487941,18,0.0193,0.0058,3.2935,0.7407,0.0084,100.0,0.0,woltka,1e-05,mixed
SRR11487937,18,0.2996,0.0046,5.1875,0.7914,0.0063,100.0,0.0,biobakery4,0,mixed
SRR11487938,18,0.3547,0.0045,4.7066,0.7969,0.0062,100.0,0.0,biobakery4,0,mixed
SRR11487939,18,0.2928,0.0046,5.945,0.7951,0.0063,100.0,0.0,biobakery4,0,mixed
SRR11487940,18,0.3277,0.0044,5.0307,0.803,0.0061,100.0,0.0,biobakery4,0,mixed
SRR11487941,18,0.3332,0.0045,5.8823,0.7971,0.0063,100.0,0.0,biobakery4,0,mixed
SRR11487937,19,0.3708,0.0043,3.6003,0.7947,0.006,100.0,0.0,jams,0,mixed
SRR11487938,19,0.3682,0.0044,3.695,0.7941,0.0061,100.0,0.0,jams,0,mixed
SRR11487939,19,0.4162,0.0042,3.9369,0.7974,0.006,100.0,0.0,jams,0,mixed
SRR11487940,19,0.3834,0.0043,3.4885,0.7968,0.006,100.0,0.0,jams,0,mixed
SRR11487941,19,0.3887,0.0043,3.6944,0.7964,0.006,100.0,0.0,jams,0,mixed
SRR11487937,17,0.3833,0.0051,4.6362,0.7831,0.0074,100.0,0.0,wgsa2,0,mixed
SRR11487938,17,0.3924,0.0051,4.7186,0.7829,0.0074,100.0,0.0,wgsa2,0,mixed
SRR11487939,17,0.3983,0.0051,4.6751,0.7827,0.0075,100.0,0.0,wgsa2,0,mixed
SRR11487940,17,0.3953,0.0051,4.6599,0.7843,0.0074,100.0,0.0,wgsa2,0,mixed
SRR11487941,17,0.3961,0.0051,4.6848,0.7841,0.0074,100.0,0.0,wgsa2,0,mixed
SRR11487937,18,0.0234,0.0058,3.2948,0.7376,0.0085,100.0,0.0,woltka,0,mixed
SRR11487938,18,0.0204,0.0058,3.3182,0.7373,0.0085,100.0,0.0,woltka,0,mixed
SRR11487939,18,0.0221,0.0058,3.3334,0.7377,0.0084,100.0,0.0,woltka,0,mixed
SRR11487940,18,0.0196,0.0058,3.2964,0.7397,0.0084,100.0,0.0,woltka,0,mixed
SRR11487941,18,0.0193,0.0058,3.2935,0.7407,0.0084,100.0,0.0,woltka,0,mixed
SRR11487937,15,0.6641,0.0027,1.1599,0.9002,0.0038,100.0,0.0,biobakery4,0.01,mixed
SRR11487938,15,0.7255,0.0027,1.0966,0.8976,0.0036,100.0,0.0,biobakery4,0.01,mixed
SRR11487939,15,0.6459,0.0028,1.1898,0.8938,0.004,100.0,0.0,biobakery4,0.01,mixed
SRR11487940,15,0.7012,0.0026,1.0679,0.9033,0.0036,100.0,0.0,biobakery4,0.01,mixed
SRR11487941,15,0.6991,0.0027,1.1479,0.8974,0.0038,100.0,0.0,biobakery4,0.01,mixed
SRR11487937,17,0.6678,0.0035,1.5112,0.8526,0.0043,100.0,0.0,jams,0.01,mixed
SRR11487938,17,0.6652,0.0035,1.5122,0.8521,0.0044,100.0,0.0,jams,0.01,mixed
SRR11487939,17,0.7225,0.0032,1.5163,0.8603,0.0043,100.0,0.0,jams,0.01,mixed
SRR11487940,17,0.6796,0.0034,1.4818,0.855,0.0043,100.0,0.0,jams,0.01,mixed
SRR11487941,17,0.69,0.0034,1.4737,0.8557,0.0043,100.0,0.0,jams,0.01,mixed
SRR11487937,16,0.6864,0.0042,1.8398,0.8312,0.0055,100.0,0.0,wgsa2,0.01,mixed
SRR11487938,16,0.6953,0.0043,1.8839,0.831,0.0056,100.0,0.0,wgsa2,0.01,mixed
SRR11487939,15,0.698,0.0041,1.4839,0.8421,0.0056,100.0,0.0,wgsa2,0.01,mixed
SRR11487940,16,0.6998,0.0042,1.8456,0.8317,0.0056,100.0,0.0,wgsa2,0.01,mixed
SRR11487941,16,0.7008,0.0042,1.8543,0.8321,0.0056,100.0,0.0,wgsa2,0.01,mixed
SRR11487937,17,0.0008,0.0056,2.5896,0.7664,0.0082,100.0,0.0,woltka,0.01,mixed
SRR11487938,16,0.0072,0.0056,2.3587,0.7754,0.0084,100.0,0.0,woltka,0.01,mixed
SRR11487939,16,0.008,0.0055,2.3366,0.78,0.0083,100.0,0.0,woltka,0.01,mixed
SRR11487940,16,0.0065,0.0055,2.3415,0.7782,0.0083,100.0,0.0,woltka,0.01,mixed
SRR11487941,16,0.0062,0.0055,2.3355,0.7787,0.0083,100.0,0.0,woltka,0.01,mixed
SRR11487937,18,0.2996,0.0046,5.1875,0.7914,0.0063,100.0,0.0,biobakery4,0.0001,mixed
SRR11487938,18,0.3547,0.0045,4.7066,0.7969,0.0062,100.0,0.0,biobakery4,0.0001,mixed
SRR11487939,18,0.2928,0.0046,5.945,0.7951,0.0063,100.0,0.0,biobakery4,0.0001,mixed
SRR11487940,18,0.3277,0.0044,5.0307,0.803,0.0061,100.0,0.0,biobakery4,0.0001,mixed
SRR11487941,18,0.3332,0.0045,5.8823,0.7971,0.0063,100.0,0.0,biobakery4,0.0001,mixed
SRR11487937,19,0.3708,0.0043,3.6003,0.7947,0.006,100.0,0.0,jams,0.0001,mixed
SRR11487938,19,0.3682,0.0044,3.695,0.7941,0.0061,100.0,0.0,jams,0.0001,mixed
SRR11487939,19,0.4162,0.0042,3.9369,0.7974,0.006,100.0,0.0,jams,0.0001,mixed
SRR11487940,19,0.3834,0.0043,3.4885,0.7968,0.006,100.0,0.0,jams,0.0001,mixed
SRR11487941,19,0.3887,0.0043,3.6944,0.7964,0.006,100.0,0.0,jams,0.0001,mixed
SRR11487937,17,0.3833,0.0051,4.6362,0.7831,0.0074,100.0,0.0,wgsa2,0.0001,mixed
SRR11487938,17,0.3924,0.0051,4.7186,0.7829,0.0074,100.0,0.0,wgsa2,0.0001,mixed
SRR11487939,17,0.3983,0.0051,4.6751,0.7827,0.0075,100.0,0.0,wgsa2,0.0001,mixed
SRR11487940,17,0.3953,0.0051,4.6599,0.7843,0.0074,100.0,0.0,wgsa2,0.0001,mixed
SRR11487941,17,0.3961,0.0051,4.6848,0.7841,0.0074,100.0,0.0,wgsa2,0.0001,mixed
SRR11487937,18,0.0234,0.0058,3.2948,0.7376,0.0085,100.0,0.0,woltka,0.0001,mixed
SRR11487938,18,0.0204,0.0058,3.3182,0.7373,0.0085,100.0,0.0,woltka,0.0001,mixed
SRR11487939,18,0.0221,0.0058,3.3334,0.7377,0.0084,100.0,0.0,woltka,0.0001,mixed
SRR11487940,18,0.0196,0.0058,3.2964,0.7397,0.0084,100.0,0.0,woltka,0.0001,mixed
SRR11487941,18,0.0193,0.0058,3.2935,0.7407,0.0084,100.0,0.0,woltka,0.0001,mixed
SRR11487931,13,0.9051,0.0041,2.6892,0.866,0.0068,100.0,0.0,biobakery4,0.001,hilo
SRR11487932,13,0.8918,0.0039,2.8399,0.8717,0.007,100.0,0.0,biobakery4,0.001,hilo
SRR11487933,13,0.8956,0.0037,2.5177,0.8796,0.0066,100.0,0.0,biobakery4,0.001,hilo
SRR11487934,13,0.882,0.004,2.6358,0.8693,0.0071,100.0,0.0,biobakery4,0.001,hilo
SRR11487935,12,0.896,0.0039,2.3734,0.883,0.0067,100.0,0.0,biobakery4,0.001,hilo
SRR11487931,12,0.8855,0.006,2.4794,0.8201,0.0083,100.0,0.0,jams,0.001,hilo
SRR11487932,12,0.8779,0.0061,2.5372,0.8176,0.0085,100.0,0.0,jams,0.001,hilo
SRR11487933,12,0.8897,0.0058,2.4059,0.8273,0.0078,100.0,0.0,jams,0.001,hilo
SRR11487934,12,0.8812,0.0059,2.4483,0.8215,0.0081,100.0,0.0,jams,0.001,hilo
SRR11487935,12,0.8978,0.0057,2.349,0.8302,0.0076,100.0,0.0,jams,0.001,hilo
SRR11487931,16,0.9115,0.0047,2.105,0.8138,0.0087,100.0,0.0,wgsa2,0.001,hilo
SRR11487932,14,0.9094,0.0053,2.1347,0.8123,0.0092,100.0,0.0,wgsa2,0.001,hilo
SRR11487933,16,0.9178,0.0044,2.0224,0.8225,0.0079,100.0,0.0,wgsa2,0.001,hilo
SRR11487934,15,0.9144,0.0048,2.0568,0.8187,0.0084,100.0,0.0,wgsa2,0.001,hilo
SRR11487935,16,0.9215,0.0043,1.9332,0.8271,0.0078,100.0,0.0,wgsa2,0.001,hilo
SRR11487931,14,0.2393,0.0107,2.7515,0.6243,0.0202,100.0,0.0,woltka,0.001,hilo
SRR11487932,14,0.2243,0.011,2.8209,0.6154,0.0207,100.0,0.0,woltka,0.001,hilo
SRR11487933,14,0.2286,0.0108,2.7261,0.622,0.0202,100.0,0.0,woltka,0.001,hilo
SRR11487934,14,0.2432,0.0107,2.7218,0.6256,0.0199,100.0,0.0,woltka,0.001,hilo
SRR11487935,14,0.2348,0.0106,2.6569,0.6279,0.02,100.0,0.0,woltka,0.001,hilo
SRR11487931,17,0.9142,0.0034,5.2528,0.857,0.006,100.0,0.0,biobakery4,1e-05,hilo
SRR11487932,17,0.9028,0.0033,4.8354,0.8613,0.0062,100.0,0.0,biobakery4,1e-05,hilo
SRR11487933,17,0.9066,0.003,6.2762,0.8717,0.0058,100.0,0.0,biobakery4,1e-05,hilo
SRR11487934,17,0.8944,0.0032,5.8814,0.8635,0.0062,100.0,0.0,biobakery4,1e-05,hilo
SRR11487935,17,0.9113,0.0029,5.1244,0.8775,0.0056,100.0,0.0,biobakery4,1e-05,hilo
SRR11487931,18,0.9007,0.0043,7.8716,0.8087,0.0069,100.0,0.0,jams,1e-05,hilo
SRR11487932,18,0.8945,0.0043,7.2568,0.8062,0.007,100.0,0.0,jams,1e-05,hilo
SRR11487933,19,0.9069,0.0039,8.8944,0.8148,0.0063,100.0,0.0,jams,1e-05,hilo
SRR11487934,18,0.898,0.0042,7.3804,0.8101,0.0067,100.0,0.0,jams,1e-05,hilo
SRR11487935,17,0.9106,0.0042,6.7833,0.8194,0.0065,100.0,0.0,jams,1e-05,hilo
SRR11487931,17,0.9122,0.0044,4.6517,0.8125,0.0084,100.0,0.0,wgsa2,1e-05,hilo
SRR11487932,17,0.9108,0.0044,4.7533,0.811,0.0083,100.0,0.0,wgsa2,1e-05,hilo
SRR11487933,17,0.9187,0.0042,4.4721,0.821,0.0077,100.0,0.0,wgsa2,1e-05,hilo
SRR11487934,17,0.9158,0.0043,4.4548,0.8173,0.0079,100.0,0.0,wgsa2,1e-05,hilo
SRR11487935,17,0.9223,0.0041,4.4669,0.8255,0.0076,100.0,0.0,wgsa2,1e-05,hilo
SRR11487931,18,0.2914,0.0083,3.3507,0.6248,0.0177,100.0,0.0,woltka,1e-05,hilo
SRR11487932,18,0.2756,0.0085,3.4846,0.616,0.0181,100.0,0.0,woltka,1e-05,hilo
SRR11487933,18,0.2816,0.0084,3.2745,0.6226,0.0177,100.0,0.0,woltka,1e-05,hilo
SRR11487934,18,0.2963,0.0083,3.315,0.6261,0.0175,100.0,0.0,woltka,1e-05,hilo
SRR11487935,18,0.2883,0.0083,3.2343,0.6285,0.0176,100.0,0.0,woltka,1e-05,hilo
SRR11487931,17,0.9142,0.0034,5.2528,0.857,0.006,100.0,0.0,biobakery4,0,hilo
SRR11487932,17,0.9028,0.0033,4.8354,0.8613,0.0062,100.0,0.0,biobakery4,0,hilo
SRR11487933,17,0.9066,0.003,6.2762,0.8717,0.0058,100.0,0.0,biobakery4,0,hilo
SRR11487934,17,0.8944,0.0032,5.8814,0.8635,0.0062,100.0,0.0,biobakery4,0,hilo
SRR11487935,17,0.9113,0.0029,5.1244,0.8775,0.0056,100.0,0.0,biobakery4,0,hilo
SRR11487931,19,0.9021,0.0041,9.1725,0.8072,0.0067,100.0,0.0,jams,0,hilo
SRR11487932,19,0.8961,0.0041,9.5318,0.8047,0.0068,100.0,0.0,jams,0,hilo
SRR11487933,19,0.9069,0.0039,8.8944,0.8143,0.0063,100.0,0.0,jams,0,hilo
SRR11487934,18,0.898,0.0042,7.3804,0.8096,0.0067,100.0,0.0,jams,0,hilo
SRR11487935,19,0.9133,0.0038,8.8004,0.8172,0.0062,100.0,0.0,jams,0,hilo
SRR11487931,17,0.9122,0.0044,4.6517,0.8125,0.0084,100.0,0.0,wgsa2,0,hilo
SRR11487932,17,0.9108,0.0044,4.7533,0.811,0.0083,100.0,0.0,wgsa2,0,hilo
SRR11487933,17,0.9187,0.0042,4.4721,0.821,0.0077,100.0,0.0,wgsa2,0,hilo
SRR11487934,17,0.9158,0.0043,4.4548,0.8173,0.0079,100.0,0.0,wgsa2,0,hilo
SRR11487935,17,0.9223,0.0041,4.4669,0.8255,0.0076,100.0,0.0,wgsa2,0,hilo
SRR11487931,18,0.2914,0.0083,3.3507,0.6248,0.0177,100.0,0.0,woltka,0,hilo
SRR11487932,18,0.2756,0.0085,3.4846,0.616,0.0181,100.0,0.0,woltka,0,hilo
SRR11487933,18,0.2816,0.0084,3.2745,0.6226,0.0177,100.0,0.0,woltka,0,hilo
SRR11487934,18,0.2963,0.0083,3.315,0.6261,0.0175,100.0,0.0,woltka,0,hilo
SRR11487935,18,0.2883,0.0083,3.2343,0.6285,0.0176,100.0,0.0,woltka,0,hilo
SRR11487931,10,0.8908,0.005,2.2353,0.8733,0.0078,100.0,0.0,biobakery4,0.01,hilo
SRR11487932,10,0.8747,0.0048,2.3922,0.8798,0.008,100.0,0.0,biobakery4,0.01,hilo
SRR11487933,11,0.8851,0.0043,2.0969,0.8815,0.0072,100.0,0.0,biobakery4,0.01,hilo
SRR11487934,11,0.8702,0.0047,2.1221,0.8714,0.0077,100.0,0.0,biobakery4,0.01,hilo
SRR11487935,11,0.8907,0.0042,1.9366,0.8849,0.007,100.0,0.0,biobakery4,0.01,hilo
SRR11487931,8,0.8543,0.0079,2.0959,0.8439,0.0101,100.0,0.0,jams,0.01,hilo
SRR11487932,8,0.8445,0.008,2.1884,0.8406,0.0104,100.0,0.0,jams,0.01,hilo
SRR11487933,7,0.8393,0.0082,1.8871,0.8552,0.0102,100.0,0.0,jams,0.01,hilo
SRR11487934,8,0.8472,0.0077,1.9892,0.8461,0.01,100.0,0.0,jams,0.01,hilo
SRR11487935,7,0.8509,0.008,1.7245,0.8595,0.0099,100.0,0.0,jams,0.01,hilo
SRR11487931,9,0.9024,0.0079,1.5246,0.8226,0.0116,100.0,0.0,wgsa2,0.01,hilo
SRR11487932,8,0.8989,0.0088,1.5913,0.8216,0.0122,100.0,0.0,wgsa2,0.01,hilo
SRR11487933,9,0.9063,0.0075,1.4054,0.8333,0.0106,100.0,0.0,wgsa2,0.01,hilo
SRR11487934,8,0.9017,0.0085,1.4486,0.8289,0.0116,100.0,0.0,wgsa2,0.01,hilo
SRR11487935,9,0.9108,0.0073,1.3261,0.836,0.0104,100.0,0.0,wgsa2,0.01,hilo
SRR11487931,7,0.0304,0.0217,2.2311,0.62,0.0306,100.0,0.0,woltka,0.01,hilo
SRR11487932,7,0.0243,0.0222,2.2935,0.6113,0.0313,100.0,0.0,woltka,0.01,hilo
SRR11487933,7,0.0216,0.0218,2.1813,0.6178,0.0306,100.0,0.0,woltka,0.01,hilo
SRR11487934,7,0.0292,0.0217,2.1872,0.6216,0.0302,100.0,0.0,woltka,0.01,hilo
SRR11487935,7,0.0236,0.0215,2.1289,0.6234,0.0303,100.0,0.0,woltka,0.01,hilo
SRR11487931,17,0.9142,0.0034,5.2528,0.8578,0.006,100.0,0.0,biobakery4,0.0001,hilo
SRR11487932,17,0.9028,0.0032,4.8354,0.8626,0.0061,100.0,0.0,biobakery4,0.0001,hilo
SRR11487933,16,0.9054,0.003,3.3029,0.8786,0.006,100.0,0.0,biobakery4,0.0001,hilo
SRR11487934,16,0.893,0.0032,3.2327,0.8697,0.0063,100.0,0.0,biobakery4,0.0001,hilo
SRR11487935,17,0.9113,0.0029,5.1244,0.8774,0.0056,100.0,0.0,biobakery4,0.0001,hilo
SRR11487931,12,0.8855,0.006,2.4794,0.8201,0.0083,100.0,0.0,jams,0.0001,hilo
SRR11487932,13,0.8822,0.0056,3.4408,0.8168,0.0081,100.0,0.0,jams,0.0001,hilo
SRR11487933,12,0.8897,0.0058,2.4059,0.8272,0.0078,100.0,0.0,jams,0.0001,hilo
SRR11487934,12,0.8812,0.0059,2.4483,0.8215,0.0081,100.0,0.0,jams,0.0001,hilo
SRR11487935,12,0.8978,0.0057,2.349,0.8301,0.0076,100.0,0.0,jams,0.0001,hilo
SRR11487931,16,0.9115,0.0047,2.105,0.8138,0.0087,100.0,0.0,wgsa2,0.0001,hilo
SRR11487932,16,0.9101,0.0047,2.175,0.8125,0.0086,100.0,0.0,wgsa2,0.0001,hilo
SRR11487933,16,0.9178,0.0044,2.0224,0.8225,0.0079,100.0,0.0,wgsa2,0.0001,hilo
SRR11487934,16,0.9149,0.0045,2.0573,0.8187,0.0082,100.0,0.0,wgsa2,0.0001,hilo
SRR11487935,16,0.9215,0.0043,1.9332,0.8271,0.0078,100.0,0.0,wgsa2,0.0001,hilo
SRR11487931,18,0.2914,0.0083,3.3507,0.6248,0.0177,100.0,0.0,woltka,0.0001,hilo
SRR11487932,18,0.2756,0.0085,3.4846,0.616,0.0181,100.0,0.0,woltka,0.0001,hilo
SRR11487933,18,0.2816,0.0084,3.2745,0.6226,0.0177,100.0,0.0,woltka,0.0001,hilo
SRR11487934,18,0.2963,0.0083,3.315,0.6261,0.0175,100.0,0.0,woltka,0.0001,hilo
SRR11487935,18,0.2883,0.0083,3.2343,0.6285,0.0176,100.0,0.0,woltka,0.0001,hilo
S1,4,0.9899,0.0408,0.5907,0.9184,0.0492,100.0,0.0,biobakery3,0.001,bmock12
S1,4,0.9849,0.048,0.6324,0.904,0.0586,100.0,0.0,biobakery4,0.001,bmock12
S1,6,0.5073,0.0903,1.597,0.729,0.1548,100.0,0.0,jams,0.001,bmock12
S1,5,0.8552,0.0567,0.8135,0.8582,0.069,100.0,0.0,wgsa2,0.001,bmock12
S1,1,,0.0,0.0,1.0,0.0,100.0,0.0,woltka,0.001,bmock12
S1,4,0.9899,0.0408,0.5907,0.9184,0.0492,100.0,0.0,biobakery3,1e-05,bmock12
S1,4,0.9849,0.048,0.6324,0.904,0.0586,100.0,0.0,biobakery4,1e-05,bmock12
S1,6,0.5073,0.0903,1.597,0.729,0.1548,100.0,0.0,jams,1e-05,bmock12
S1,5,0.8552,0.0567,0.8135,0.8582,0.069,100.0,0.0,wgsa2,1e-05,bmock12
S1,1,,0.0,0.0,1.0,0.0,100.0,0.0,woltka,1e-05,bmock12
S1,4,0.9899,0.0408,0.5907,0.9184,0.0492,100.0,0.0,biobakery3,0,bmock12
S1,4,0.9849,0.048,0.6324,0.904,0.0586,100.0,0.0,biobakery4,0,bmock12
S1,6,0.5073,0.0903,1.597,0.729,0.1548,100.0,0.0,jams,0,bmock12
S1,6,0.8785,0.0473,2.3991,0.8582,0.0629,100.0,0.0,wgsa2,0,bmock12
S1,1,,0.0,0.0,1.0,0.0,100.0,0.0,woltka,0,bmock12
S1,3,0.9894,0.0485,0.4862,0.9273,0.0536,100.0,0.0,biobakery3,0.01,bmock12
S1,3,0.9843,0.0579,0.535,0.9131,0.0647,100.0,0.0,biobakery4,0.01,bmock12
S1,5,0.458,0.1103,1.5869,0.7243,0.1726,100.0,0.0,jams,0.01,bmock12
S1,3,0.617,0.0841,0.618,0.8738,0.0907,100.0,0.0,wgsa2,0.01,bmock12
S1,1,,0.0,0.0,1.0,0.0,100.0,0.0,woltka,0.01,bmock12
S1,4,0.9899,0.0408,0.5907,0.9184,0.0492,100.0,0.0,biobakery3,0.0001,bmock12
S1,4,0.9849,0.048,0.6324,0.904,0.0586,100.0,0.0,biobakery4,0.0001,bmock12
S1,6,0.5073,0.0903,1.597,0.729,0.1548,100.0,0.0,jams,0.0001,bmock12
S1,5,0.8552,0.0567,0.8135,0.8582,0.069,100.0,0.0,wgsa2,0.0001,bmock12
S1,1,,0.0,0.0,1.0,0.0,100.0,0.0,woltka,0.0001,bmock12
SRR17380241,15,0.6588,0.0018,1.7116,0.9196,0.0023,100.0,0.0,biobakery4,0.001,tourlousse
SRR17380242,15,0.6349,0.0018,1.8567,0.9185,0.0024,100.0,0.0,biobakery4,0.001,tourlousse
SRR17380243,15,0.6416,0.0018,1.9887,0.9203,0.0024,100.0,0.0,biobakery4,0.001,tourlousse
SRR17380244,15,0.6284,0.0019,1.8273,0.9153,0.0024,100.0,0.0,biobakery4,0.001,tourlousse
SRR17380245,15,0.6673,0.0017,1.6908,0.9221,0.0023,100.0,0.0,biobakery4,0.001,tourlousse
SRR17380246,15,0.645,0.0018,1.8257,0.9199,0.0024,100.0,0.0,biobakery4,0.001,tourlousse
SRR17380241,19,0.0685,0.0035,2.8585,0.8028,0.004,100.0,0.0,jams,0.001,tourlousse
SRR17380242,19,0.0699,0.0034,3.0443,0.8034,0.0041,100.0,0.0,jams,0.001,tourlousse
SRR17380243,19,0.0715,0.0034,2.8464,0.8049,0.004,100.0,0.0,jams,0.001,tourlousse
SRR17380244,19,0.0671,0.0034,2.8565,0.8044,0.004,100.0,0.0,jams,0.001,tourlousse
SRR17380245,19,0.0674,0.0034,2.8435,0.8038,0.004,100.0,0.0,jams,0.001,tourlousse
SRR17380246,19,0.0661,0.0035,3.0762,0.8022,0.0041,100.0,0.0,jams,0.001,tourlousse
SRR17380241,17,0.0588,0.0036,2.8562,0.8157,0.0047,100.0,0.0,wgsa2,0.001,tourlousse
SRR17380242,17,0.0603,0.0036,2.918,0.8144,0.0047,100.0,0.0,wgsa2,0.001,tourlousse
SRR17380243,17,0.0586,0.0036,2.8552,0.8154,0.0047,100.0,0.0,wgsa2,0.001,tourlousse
SRR17380244,17,0.0579,0.0036,2.8562,0.8166,0.0047,100.0,0.0,wgsa2,0.001,tourlousse
SRR17380245,17,0.0583,0.0036,2.844,0.8167,0.0047,100.0,0.0,wgsa2,0.001,tourlousse
SRR17380246,17,0.0586,0.0036,2.8549,0.8162,0.0047,100.0,0.0,wgsa2,0.001,tourlousse
SRR17380241,18,0.056,0.0073,3.7226,0.6054,0.0086,100.0,0.0,woltka,0.001,tourlousse
SRR17380242,18,0.0568,0.0072,3.6942,0.6082,0.0084,100.0,0.0,woltka,0.001,tourlousse
SRR17380243,18,0.0555,0.0073,3.7162,0.6058,0.0086,100.0,0.0,woltka,0.001,tourlousse
SRR17380244,18,0.055,0.0073,3.7255,0.6044,0.0086,100.0,0.0,woltka,0.001,tourlousse
SRR17380245,18,0.0554,0.0073,3.7281,0.6042,0.0086,100.0,0.0,woltka,0.001,tourlousse
SRR17380246,18,0.0555,0.0073,3.7368,0.6044,0.0086,100.0,0.0,woltka,0.001,tourlousse
SRR17380241,25,0.7349,0.0118,9.2662,0.8377,0.0176,100.0,12.1824,biobakery4,0.0,tourlousse
SRR17380242,24,0.7228,0.0125,7.043,0.8348,0.0178,100.0,12.4963,biobakery4,0.0,tourlousse
SRR17380243,24,0.7262,0.0122,7.6601,0.8385,0.0177,100.0,12.2389,biobakery4,0.0,tourlousse
SRR17380244,25,0.7321,0.0119,9.2694,0.8354,0.0177,100.0,12.0713,biobakery4,0.0,tourlousse
SRR17380245,24,0.7233,0.0121,6.814,0.8394,0.0179,100.0,12.2145,biobakery4,0.0,tourlousse
SRR17380246,25,0.7337,0.0118,9.293,0.8372,0.0176,100.0,12.1816,biobakery4,0.0,tourlousse
SRR17380241,41,0.6427,0.0109,13.4612,0.7734,0.0174,100.0,7.3217,jams,0.0,tourlousse
