SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline
SRR17380243,40,0.4496,0.0121,9.5418,0.7576,0.0237,100.0000,12.3817,0.0,21.0,wgsa2
SRR17380244,41,0.4526,0.0118,9.7647,0.7574,0.0235,100.0000,12.5287,0.0,22.0,wgsa2
SRR17380245,39,0.4395,0.0124,9.1862,0.7581,0.0240,100.0000,12.4393,0.0,20.0,wgsa2
SRR17380246,40,0.4477,0.0121,9.5036,0.7579,0.0237,100.0000,12.4566,0.0,21.0,wgsa2
Average,40,0.4458,0.0121,9.5046,0.7572,0.0238,100.0000,12.4879,0.0,21.0,wgsa2
SRR17380241,108,0.3858,0.0082,17.5418,0.5562,0.0201,89.4737,21.7325,0.0,89.0,woltka
SRR17380242,111,0.3895,0.0080,17.6241,0.5567,0.0197,89.4737,22.2408,0.0,92.0,woltka
SRR17380243,107,0.3855,0.0083,17.4091,0.5561,0.0202,89.4737,21.7402,0.0,88.0,woltka
SRR17380244,108,0.3848,0.0082,17.5321,0.5554,0.0202,89.4737,21.6794,0.0,89.0,woltka
SRR17380245,108,0.3852,0.0082,17.5156,0.5555,0.0202,89.4737,21.6304,0.0,89.0,woltka
SRR17380246,107,0.3841,0.0083,17.4453,0.5552,0.0203,89.4737,21.6362,0.0,88.0,woltka
Average,108,0.3858,0.0082,17.5114,0.5558,0.0201,89.4737,21.7766,0.0,89.16666666666667,woltka
