species,Mix-A_S2_L001,tax_id
STAPHYLOCOCCUS_SCHWEITZERI,0.0,1654388
STAPHYLOCOCCUS_SAPROPHYTICUS,0.0,29385
STAPHYLOCOCCUS_SACCHAROLYTICUS,0.0,33028
STAPHYLOCOCCUS_HAEMOLYTICUS,0.0,1283
STAPHYLOCOCCUS_GALLINARUM,0.0,1293
STAPHYLOCOCCUS_EPIDERMIDIS,0.0,1282
STAPHYLOCOCCUS_CAPITIS,0.0,29388
STAPHYLOCOCCUS_ARGENTEUS,0.0,985002
STAPHYLOCOCCUS_SP._MZ8,0.0,2836366
STAPHYLOCOCCUS_SP._HMSC076E07,0.0,1715174
SHIGELLA_SONNEI,0.0,624
SHIGELLA_FLEXNERI,0.0,623
LACTOCOCCUS_RAFFINOLACTIS,0.0,1366
ACHROMOBACTER_SP._ASV32,0.0,2795101
KOSAKONIA_ARACHIDIS,0.0,551989
ACHROMOBACTER_PIECHAUDII,0.0,72556
AEROMICROBIUM_ERYTHREUM,0.0,2041
ACINETOBACTER_VARIABILIS,0.0,70346
ACINETOBACTER_QINGFENGENSIS,0.0,1262585
ACINETOBACTER_OLEIVORANS,0.0,1148157
ACINETOBACTER_LARVAE,0.0,1789224
ACINETOBACTER_JUNII,0.0,40215
ACINETOBACTER_INDICUS,0.0,756892
ACINETOBACTER_ALBENSIS,0.0,1673609
ACINETOBACTER_SP._FDAARGOS-559,0.0,2420304
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698
ACHROMOBACTER_SPANIUS,0.0,217203
ACHROMOBACTER_RUHLANDII,0.0,72557
ACHROMOBACTER_PULMONIS,0.0,1389932
ACHROMOBACTER_PESTIFER,0.0,1353889
KLEBSIELLA_OXYTOCA,0.0,571
ACHROMOBACTER_MARPLATENSIS,0.0,470868
ACHROMOBACTER_INSUAVIS,0.0,1287735
ACHROMOBACTER_INSOLITUS,0.0,217204
ACHROMOBACTER_DOLENS,0.0,1287738
ACHROMOBACTER_DELEYI,0.0,1353891
ACHROMOBACTER_ANXIFER,0.0,1287737
ACHROMOBACTER_ALOEVERAE,0.0,1750518
ACHROMOBACTER_SP._UMC71,0.0,1862320
ACHROMOBACTER_SP._SD115,0.0,2782011
ACHROMOBACTER_SP._MFA1-R4,0.0,1881016
ACHROMOBACTER_SP._DMS1,0.0,1688405
ACHROMOBACTER_SP._DH1F,0.0,1397275
ACHROMOBACTER_SP._BEL,0.0,2727415
CITROBACTER_SP._ASV29,0.0,2795111
CITROBACTER_AMALONATICUS,0.0,35703
CITROBACTER_KOSERI,0.0,545
CLOSTRIDIOIDES_DIFFICILE,0.0,1496
KLEBSIELLA_MICHIGANENSIS,0.0,1134687
KLEBSIELLA_AEROGENES,0.0,548
ACHROMOBACTER_SP._B7,0.0,2282475
HAEMOPHILUS_INFLUENZAE,0.0,727
GIGASPORA_MARGARITA,0.0,4874
ESCHERICHIA_FERGUSONII,0.0,564
ESCHERICHIA_ALBERTII,0.0,208962
ESCHERICHIA_SP._MOD1-EC7003,0.0,2093900
ESCHERICHIA_SP._MOD1-EC5990,0.0,2093880
ENTEROCOCCUS_THAILANDICUS,0.0,417368
ENTEROCOCCUS_RIVORUM,0.0,762845
ENTEROCOCCUS_LEMANII,0.0,1159752
ENTEROCOCCUS_HIRAE,0.0,1354
ENTEROCOCCUS_GALLINARUM,0.0,1353
ENTEROCOCCUS_FAECIUM,0.0,1352
ENTEROCOCCUS_FAECALIS,0.0,1351
ENTEROCOCCUS_DURANS,0.0,53345
ENTEROCOCCUS_CECORUM,0.0,44008
ENTEROCOCCUS_CASSELIFLAVUS,0.0,37734
ENTEROCOCCUS_AVIUM,0.0,33945
ENTEROCOCCUS_SP._S157-ASV-20,0.0,2847000
ENTEROCOCCUS_SP._HMSC073E09,0.0,1739405
ENTEROCOCCUS_SP._CU9D,0.0,1857218
ENTEROCOCCUS_SP._BWR-S5,0.0,2787714
ENTEROBACTER_ROGGENKAMPII,0.0,1812935
ENTEROBACTER_LIGNOLYTICUS,0.0,1334193
ENTAMOEBA_HISTOLYTICA,0.0,5759
VIBRIO_VULNIFICUS,0.0,672
