species,Mix-C_S4_L001,tax_id
NEISSERIA_LACTAMICA,0.0,486
NEISSERIA_SP._ORAL-TAXON-014,0.0,641148
LISTERIA_BOORIAE,0.0,1552123
NEISSERIA_GONORRHOEAE,0.0,485
NEISSERIA_ELONGATA,0.0,495
NEISSERIA_BERGERI,0.0,1906581
SALMONELLA_SP._S030-03996,0.0,2665535
NEISSERIA_MENINGITIDIS,0.0,487
STREPTOCOCCUS_DYSGALACTIAE,0.0,1334
STAPHYLOCOCCUS_HAEMOLYTICUS,0.0,1283
STAPHYLOCOCCUS_KLOOSII,0.0,29384
STAPHYLOCOCCUS_SACCHAROLYTICUS,0.0,33028
STAPHYLOCOCCUS_SAPROPHYTICUS,0.0,29385
STAPHYLOCOCCUS_SCHWEITZERI,0.0,1654388
STREPTOCOCCUS_SP._HKU75,0.0,2781599
STREPTOCOCCUS_ICTALURI,0.0,380397
NEISSERIA_POLYSACCHAREA,0.0,489
STREPTOCOCCUS_PENAEICIDA,0.0,1765960
STREPTOCOCCUS_PHAGE_JAVAN150,0.0,2548008
STREPTOCOCCUS_PHOCAE,0.0,119224
SULFITOBACTER_SP._BDSS02,0.0,2663018
TRABULSIELLA_ODONTOTERMITIS,0.0,379893
VIBRIO_CHOLERAE,0.0,666
STAPHYLOCOCCUS_GALLINARUM,0.0,1293
STAPHYLOCOCCUS_EPIDERMIDIS,0.0,1282
STAPHYLOCOCCUS_CAPITIS,0.0,29388
STAPHYLOCOCCUS_AUREUS,0.0,1280
STAPHYLOCOCCUS_ARGENTEUS,0.0,985002
STAPHYLOCOCCUS_SP._MZ8,0.0,2836366
STAPHYLOCOCCUS_SP._HMSC076E07,0.0,1715174
STAPHYLOCOCCUS_SP._GDQ8D198P,0.0,2804385
SPHINGOMONAS_SP._JC676,0.0,2768065
SALMONELLA_BONGORI,0.0,54736
SALMONELLA_SP._SSDFZ54,0.0,2500542
KOSAKONIA_PSEUDOSACCHARI,0.0,1646340
SALMONELLA_SP._32040203-2019-00004,0.0,2819775
PSEUDOMONAS_AERUGINOSA,0.0,287
PSEUDOMONAS_SP._57B-090624,0.0,2213080
PANTOEA_COFFEIPHILA,0.0,1465635
NOCARDIOPSIS_SP._L17-MGMASL7,0.0,1938893
LACTOCOCCUS_RAFFINOLACTIS,0.0,1366
ACHROMOBACTER_SP._ASV32,0.0,2795101
KOSAKONIA_ARACHIDIS,0.0,551989
ACHROMOBACTER_PIECHAUDII,0.0,72556
ACINETOBACTER_OLEIVORANS,0.0,1148157
ACINETOBACTER_NOSOCOMIALIS,0.0,106654
ACINETOBACTER_LARVAE,0.0,1789224
ACINETOBACTER_JUNII,0.0,40215
ACINETOBACTER_INDICUS,0.0,756892
ACINETOBACTER_CALCOACETICUS,0.0,471
ACINETOBACTER_BAUMANNII,0.0,470
ACINETOBACTER_ALBENSIS,0.0,1673609
ACINETOBACTER_SP._FDAARGOS-559,0.0,2420304
ACINETOBACTER_SP._ANC-3813,0.0,1977873
ACHROMOBACTER_SPANIUS,0.0,217203
ACHROMOBACTER_RUHLANDII,0.0,72557
ACHROMOBACTER_PULMONIS,0.0,1389932
ACHROMOBACTER_PESTIFER,0.0,1353889
KLEBSIELLA_VARIICOLA,0.0,244366
ACHROMOBACTER_MARPLATENSIS,0.0,470868
ACHROMOBACTER_INSUAVIS,0.0,1287735
ACHROMOBACTER_INSOLITUS,0.0,217204
ACHROMOBACTER_DOLENS,0.0,1287738
ACHROMOBACTER_DELEYI,0.0,1353891
ACHROMOBACTER_ANXIFER,0.0,1287737
ACHROMOBACTER_ALOEVERAE,0.0,1750518
ACHROMOBACTER_SP._UMC71,0.0,1862320
ACHROMOBACTER_SP._SD115,0.0,2782011
ACHROMOBACTER_SP._MFA1-R4,0.0,1881016
ACHROMOBACTER_SP._DMS1,0.0,1688405
ACHROMOBACTER_SP._DH1F,0.0,1397275
ACHROMOBACTER_SP._BEL,0.0,2727415
ACINETOBACTER_PITTII,0.0,48296
ACINETOBACTER_QINGFENGENSIS,0.0,1262585
ACINETOBACTER_RADIORESISTENS,0.0,40216
ACINETOBACTER_RONGCHENGENSIS,0.0,2419601
KLEBSIELLA_QUASIPNEUMONIAE,0.0,1463165
KLEBSIELLA_MICHIGANENSIS,0.0,1134687
KLEBSIELLA_HUAXIENSIS,0.0,2153354
KLEBSIELLA_GRIMONTII,0.0,2058152
KLEBSIELLA_AFRICANA,0.0,2489010
KLEBSIELLA_AEROGENES,0.0,548
ACHROMOBACTER_SP._B7,0.0,2282475
HAEMOPHILUS_INFLUENZAE,0.0,727
FIBROBACTER_SP._UWOV1,0.0,1896215
ESCHERICHIA_FERGUSONII,0.0,564
ENTEROCOCCUS_LEMANII,0.0,1159752
ENTEROCOCCUS_HIRAE,0.0,1354
ENTEROCOCCUS_AVIUM,0.0,33945
ENTEROBACTER_ROGGENKAMPII,0.0,1812935
ENTEROBACTER_LIGNOLYTICUS,0.0,1334193
ENTEROBACTER_HORMAECHEI,0.0,158836
ENTAMOEBA_HISTOLYTICA,0.0,5759
DANKOOKIA_RUBRA,0.0,1442381
CLOSTRIDIOIDES_DIFFICILE,0.0,1496
CITROBACTER_TRUCTAE,0.0,2562449
CITROBACTER_KOSERI,0.0,545
CITROBACTER_AMALONATICUS,0.0,35703
CITROBACTER_SP._ASV29,0.0,2795111
AEROMICROBIUM_ERYTHREUM,0.0,2041
ACINETOBACTER_VARIABILIS,0.0,70346
ACINETOBACTER_URSINGII,0.0,108980
ACINETOBACTER_SEIFERTII,0.0,1530123
KLEBSIELLA_SP._K5,0.0,2769350
