species,Mix-A_S2_L001,tax_id
CITROBACTER_AMALONATICUS,0.0,35703.0
CITROBACTER_SP._ASV29,0.0,2795111.0
AEROMICROBIUM_ERYTHREUM,0.0,2041.0
ACINETOBACTER_VARIABILIS,0.0,70346.0
ACHROMOBACTER_SPANIUS,0.0,217203.0
LEPTOSPIRA_BORGPETERSENII,0.0,174.0
ACHROMOBACTER_RUHLANDII,0.0,72557.0
ACHROMOBACTER_PULMONIS,0.0,1389932.0
ACHROMOBACTER_INSUAVIS,0.0,1287735.0
ACHROMOBACTER_INSOLITUS,0.0,217204.0
ACHROMOBACTER_DOLENS,0.0,1287738.0
ACHROMOBACTER_DELEYI,0.0,1353891.0
ACHROMOBACTER_SP._UMC71,0.0,1862320.0
ACHROMOBACTER_SP._DMS1,0.0,1688405.0
ACHROMOBACTER_SP._DH1F,0.0,1397275.0
ENTEROCOCCUS_SP._CU9D,0.0,1857218.0
ENTEROCOCCUS_SP._HMSC073E09,0.0,1739405.0
ENTEROCOCCUS_SP._S157-ASV-20,0.0,2847000.0
ENTEROCOCCUS_AVIUM,0.0,33945.0
KOSAKONIA_ARACHIDIS,0.0,551989.0
KLEBSIELLA_OXYTOCA,0.0,571.0
ACHROMOBACTER_SP._BEL,0.0,2727415.0
HAEMOPHILUS_INFLUENZAE,0.0,727.0
GIGASPORA_MARGARITA,0.0,4874.0
ESCHERICHIA_FERGUSONII,0.0,564.0
ESCHERICHIA_ALBERTII,0.0,208962.0
ESCHERICHIA_SP._MOD1-EC7003,0.0,2093900.0
ESCHERICHIA_SP._MOD1-EC5990,0.0,2093880.0
ENTEROCOCCUS_THAILANDICUS,0.0,417368.0
ENTEROCOCCUS_RIVORUM,0.0,762845.0
ENTEROCOCCUS_LEMANII,0.0,1159752.0
ENTEROCOCCUS_HIRAE,0.0,1354.0
ENTEROCOCCUS_GALLINARUM,0.0,1353.0
ENTEROCOCCUS_FAECIUM,0.0,1352.0
ENTEROCOCCUS_FAECALIS,0.0,1351.0
ENTEROCOCCUS_DURANS,0.0,53345.0
ENTEROCOCCUS_CECORUM,0.0,44008.0
ENTEROCOCCUS_CASSELIFLAVUS,0.0,37734.0
VIBRIO_VULNIFICUS,0.0,672.0
