species,Mix-D_S5_L001,tax_id
STREPTOCOCCUS_DYSGALACTIAE,0.0,1334.0
PSEUDOMONAS_AERUGINOSA,0.0,287.0
SALMONELLA_SP._32040203-2019-00004,0.0,2819775.0
STREPTOCOCCUS_AGALACTIAE,0.0,1311.0
SALMONELLA_SP._S030-03996,0.0,2665535.0
SALMONELLA_SP._SSDFZ54,0.0,2500542.0
SALMONELLA_BONGORI,0.0,54736.0
STAPHYLOCOCCUS_SP._GDQ8D198P,0.0,2804385.0
ACHROMOBACTER_SP._ASV32,0.0,2795101.0
KLEBSIELLA_AFRICANA,0.0,2489010.0
KOSAKONIA_PSEUDOSACCHARI,0.0,1646340.0
ACINETOBACTER_SP._ANC-3813,0.0,1977873.0
CITROBACTER_AMALONATICUS,0.0,35703.0
ACINETOBACTER_VARIABILIS,0.0,70346.0
ACINETOBACTER_URSINGII,0.0,108980.0
ACINETOBACTER_SEIFERTII,0.0,1530123.0
ACINETOBACTER_RONGCHENGENSIS,0.0,2419601.0
ACINETOBACTER_RADIORESISTENS,0.0,40216.0
ACINETOBACTER_PITTII,0.0,48296.0
ACINETOBACTER_NOSOCOMIALIS,0.0,106654.0
ACINETOBACTER_CALCOACETICUS,0.0,471.0
ACINETOBACTER_BAUMANNII,0.0,470.0
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698.0
KOSAKONIA_ARACHIDIS,0.0,551989.0
ACHROMOBACTER_SPANIUS,0.0,217203.0
ACHROMOBACTER_RUHLANDII,0.0,72557.0
ACHROMOBACTER_PULMONIS,0.0,1389932.0
ACHROMOBACTER_INSUAVIS,0.0,1287735.0
ACHROMOBACTER_INSOLITUS,0.0,217204.0
ACHROMOBACTER_DOLENS,0.0,1287738.0
ACHROMOBACTER_DELEYI,0.0,1353891.0
ACHROMOBACTER_SP._UMC71,0.0,1862320.0
ACHROMOBACTER_SP._DMS1,0.0,1688405.0
ACHROMOBACTER_SP._DH1F,0.0,1397275.0
CITROBACTER_TRUCTAE,0.0,2562449.0
DANKOOKIA_RUBRA,0.0,1442381.0
ENTEROBACTER_LIGNOLYTICUS,0.0,1334193.0
ENTEROCOCCUS_SP._BWR-S5,0.0,2787714.0
KLEBSIELLA_VARIICOLA,0.0,244366.0
KLEBSIELLA_QUASIPNEUMONIAE,0.0,1463165.0
KLEBSIELLA_PNEUMONIAE,0.0,573.0
KLEBSIELLA_OXYTOCA,0.0,571.0
KLEBSIELLA_HUAXIENSIS,0.0,2153354.0
KLEBSIELLA_GRIMONTII,0.0,2058152.0
ACHROMOBACTER_SP._BEL,0.0,2727415.0
KLEBSIELLA_SP._K5,0.0,2769350.0
GIGASPORA_MARGARITA,0.0,4874.0
FIBROBACTER_SP._UWOV1,0.0,1896215.0
ESCHERICHIA_FERGUSONII,0.0,564.0
ESCHERICHIA_ALBERTII,0.0,208962.0
ENTEROCOCCUS_THAILANDICUS,0.0,417368.0
ENTEROCOCCUS_RIVORUM,0.0,762845.0
ENTEROCOCCUS_GALLINARUM,0.0,1353.0
ENTEROCOCCUS_DURANS,0.0,53345.0
ENTEROCOCCUS_CECORUM,0.0,44008.0
ENTEROCOCCUS_CASSELIFLAVUS,0.0,37734.0
ENTEROCOCCUS_SP._S157-ASV-20,0.0,2847000.0
ENTEROCOCCUS_SP._HMSC073E09,0.0,1739405.0
ENTEROCOCCUS_SP._CU9D,0.0,1857218.0
VIBRIO_VULNIFICUS,0.0,672.0
