species,EG_S1_L001,tax_id
ACHROMOBACTER_SP._B7,1.8999886000683995e-05,2282475.0
ACINETOBACTER_ALBENSIS,1.7999892000647995e-05,1673609.0
NEISSERIA_ELONGATA,1.6999898000611996e-05,495.0
ACINETOBACTER_SEIFERTII,1.6999898000611996e-05,1530123.0
LISTERIA_MARTHII,1.5999904000575996e-05,529731.0
ACHROMOBACTER_ANXIFER,1.3999916000503996e-05,1287737.0
ACHROMOBACTER_SP._SD115,1.3999916000503996e-05,2782011.0
KLEBSIELLA_OXYTOCA,1.1999928000431997e-05,571.0
KLEBSIELLA_SP._K5,1.1999928000431997e-05,2769350.0
ACHROMOBACTER_PESTIFER,1.1999928000431997e-05,1353889.0
CITROBACTER_KOSERI,1.0999934000395997e-05,545.0
PANTOEA_COFFEIPHILA,1.0999934000395997e-05,1465635.0
ACINETOBACTER_JUNII,1.0999934000395997e-05,40215.0
SPHINGOMONAS_SP._JC676,9.999940000359997e-06,2768065.0
ACINETOBACTER_SP._FDAARGOS-559,9.999940000359997e-06,2420304.0
ACINETOBACTER_SP._ANC-3813,8.999946000323998e-06,1977873.0
ACHROMOBACTER_SP._MFA1-R4,7.999952000287998e-06,1881016.0
NOCARDIOPSIS_SP._L17-MGMASL7,7.999952000287998e-06,1938893.0
KLEBSIELLA_AEROGENES,6.999958000251998e-06,548.0
VIBRIO_CHOLERAE,6.999958000251998e-06,666.0
LEGIONELLA_PNEUMOPHILA,6.999958000251998e-06,446.0
KLEBSIELLA_MICHIGANENSIS,5.9999640002159985e-06,1134687.0
ACHROMOBACTER_SP._UMC71,4.999970000179999e-06,1862320.0
VIBRIO_CASEI,0.0,673372.0
ACHROMOBACTER_SP._BEL,0.0,2727415.0
STAPHYLOCOCCUS_CAPITIS,0.0,29388.0
ACINETOBACTER_RONGCHENGENSIS,0.0,2419601.0
ACINETOBACTER_VARIABILIS,0.0,70346.0
AEROMICROBIUM_ERYTHREUM,0.0,2041.0
STAPHYLOCOCCUS_SP._MZ8,0.0,2836366.0
STAPHYLOCOCCUS_GALLINARUM,0.0,1293.0
AEROMONAS_HYDROPHILA,0.0,644.0
VIBRIO_TRITONIUS,0.0,1435069.0
CITROBACTER_SP._ASV29,0.0,2795111.0
CITROBACTER_AMALONATICUS,0.0,35703.0
ACINETOBACTER_RADIORESISTENS,0.0,40216.0
STAPHYLOCOCCUS_SACCHAROLYTICUS,0.0,33028.0
STAPHYLOCOCCUS_HAEMOLYTICUS,0.0,1283.0
VIBRIO_FLUVIALIS,0.0,676.0
STAPHYLOCOCCUS_SCHWEITZERI,0.0,1654388.0
STREPTOCOCCUS_SP._HKU75,0.0,2781599.0
CITROBACTER_TRUCTAE,0.0,2562449.0
ACHROMOBACTER_SPANIUS,0.0,217203.0
STREPTOCOCCUS_EQUI,0.0,1336.0
STREPTOCOCCUS_ICTALURI,0.0,380397.0
STREPTOCOCCUS_PENAEICIDA,0.0,1765960.0
STREPTOCOCCUS_PHOCAE,0.0,119224.0
SULFITOBACTER_SP._BDSS02,0.0,2663018.0
ACHROMOBACTER_SP._DMS1,0.0,1688405.0
FIBROBACTER_SP._UWOV1,0.0,1896215.0
SALMONELLA_SP._SSDFZ54,0.0,2500542.0
CLOSTRIDIOIDES_DIFFICILE,0.0,1496.0
ESCHERICHIA_SP._MOD1-EC5990,0.0,2093880.0
LIMOSILACTOBACILLUS_REUTERI,0.0,1598.0
LEPTOSPIRA_BORGPETERSENII,0.0,174.0
ENTEROCOCCUS_RIVORUM,0.0,762845.0
KOSAKONIA_PSEUDOSACCHARI,0.0,1646340.0
KOSAKONIA_ARACHIDIS,0.0,551989.0
ENTEROCOCCUS_THAILANDICUS,0.0,417368.0
ESCHERICHIA_SP._MOD1-EC7003,0.0,2093900.0
ENTEROCOCCUS_LEMANII,0.0,1159752.0
ESCHERICHIA_ALBERTII,0.0,208962.0
KLEBSIELLA_HUAXIENSIS,0.0,2153354.0
KLEBSIELLA_GRIMONTII,0.0,2058152.0
KLEBSIELLA_AFRICANA,0.0,2489010.0
ESCHERICHIA_FERGUSONII,0.0,564.0
HAEMOPHILUS_INFLUENZAE,0.0,727.0
LISTERIA_SP._PSOL-1,0.0,1844999.0
ENTEROCOCCUS_CECORUM,0.0,44008.0
DANKOOKIA_RUBRA,0.0,1442381.0
ENTEROCOCCUS_SP._BWR-S5,0.0,2787714.0
GIGASPORA_MARGARITA,0.0,4874.0
ENTEROBACTER_HORMAECHEI,0.0,158836.0
SALMONELLA_SP._32040203-2019-00004,0.0,2819775.0
PSEUDOMONAS_AERUGINOSA,0.0,287.0
ENTEROBACTER_LIGNOLYTICUS,0.0,1334193.0
ENTEROBACTER_ROGGENKAMPII,0.0,1812935.0
NEISSERIA_LACTAMICA,0.0,486.0
LISTERIA_IMMOBILIS,0.0,2713502.0
NEISSERIA_GONORRHOEAE,0.0,485.0
ENTEROCOCCUS_SP._HMSC073E09,0.0,1739405.0
ENTEROCOCCUS_SP._S157-ASV-20,0.0,2847000.0
NEISSERIA_SP._ORAL-TAXON-014,0.0,641148.0
ENTEROCOCCUS_AVIUM,0.0,33945.0
ENTEROCOCCUS_CASSELIFLAVUS,0.0,37734.0
VIBRIO_VULNIFICUS,0.0,672.0
