species,Mix-C_S4_L001,tax_id
ACINETOBACTER_BAUMANNII,0.0,470.0
ACINETOBACTER_ALBENSIS,0.0,1673609.0
ACINETOBACTER_SP._FDAARGOS-559,0.0,2420304.0
ACINETOBACTER_SP._ANC-3813,0.0,1977873.0
ACHROMOBACTER_SPANIUS,0.0,217203.0
ACHROMOBACTER_RUHLANDII,0.0,72557.0
ACHROMOBACTER_PULMONIS,0.0,1389932.0
ACHROMOBACTER_PESTIFER,0.0,1353889.0
KLEBSIELLA_VARIICOLA,0.0,244366.0
ACHROMOBACTER_MARPLATENSIS,0.0,470868.0
ACHROMOBACTER_INSUAVIS,0.0,1287735.0
ACHROMOBACTER_INSOLITUS,0.0,217204.0
ACHROMOBACTER_DOLENS,0.0,1287738.0
ACHROMOBACTER_DELEYI,0.0,1353891.0
ACHROMOBACTER_ANXIFER,0.0,1287737.0
ACHROMOBACTER_ALOEVERAE,0.0,1750518.0
ACHROMOBACTER_SP._UMC71,0.0,1862320.0
ACHROMOBACTER_SP._SD115,0.0,2782011.0
ACHROMOBACTER_SP._MFA1-R4,0.0,1881016.0
ACHROMOBACTER_SP._DMS1,0.0,1688405.0
ACHROMOBACTER_SP._DH1F,0.0,1397275.0
ACHROMOBACTER_SP._BEL,0.0,2727415.0
ACINETOBACTER_PITTII,0.0,48296.0
ACINETOBACTER_QINGFENGENSIS,0.0,1262585.0
ACINETOBACTER_RADIORESISTENS,0.0,40216.0
ACINETOBACTER_RONGCHENGENSIS,0.0,2419601.0
KLEBSIELLA_QUASIPNEUMONIAE,0.0,1463165.0
KLEBSIELLA_MICHIGANENSIS,0.0,1134687.0
KLEBSIELLA_HUAXIENSIS,0.0,2153354.0
KLEBSIELLA_GRIMONTII,0.0,2058152.0
KLEBSIELLA_AFRICANA,0.0,2489010.0
KLEBSIELLA_AEROGENES,0.0,548.0
ACHROMOBACTER_SP._B7,0.0,2282475.0
HAEMOPHILUS_INFLUENZAE,0.0,727.0
FIBROBACTER_SP._UWOV1,0.0,1896215.0
ESCHERICHIA_FERGUSONII,0.0,564.0
ENTEROCOCCUS_LEMANII,0.0,1159752.0
ENTEROCOCCUS_HIRAE,0.0,1354.0
ENTEROCOCCUS_AVIUM,0.0,33945.0
ENTEROBACTER_ROGGENKAMPII,0.0,1812935.0
ENTEROBACTER_LIGNOLYTICUS,0.0,1334193.0
ENTEROBACTER_HORMAECHEI,0.0,158836.0
ENTAMOEBA_HISTOLYTICA,0.0,5759.0
DANKOOKIA_RUBRA,0.0,1442381.0
CLOSTRIDIOIDES_DIFFICILE,0.0,1496.0
CITROBACTER_TRUCTAE,0.0,2562449.0
CITROBACTER_KOSERI,0.0,545.0
CITROBACTER_AMALONATICUS,0.0,35703.0
CITROBACTER_SP._ASV29,0.0,2795111.0
AEROMICROBIUM_ERYTHREUM,0.0,2041.0
ACINETOBACTER_VARIABILIS,0.0,70346.0
ACINETOBACTER_URSINGII,0.0,108980.0
ACINETOBACTER_SEIFERTII,0.0,1530123.0
KLEBSIELLA_SP._K5,0.0,2769350.0
