genus,RA,Source,SampleID
Stomatobaculum,0.0002142519711391,woltka,SRR17380244
Acinetobacter,0.0002061199214256,woltka,SRR17380244
Intestinimonas,0.000205407152128,woltka,SRR17380244
Butyricicoccus,0.0002024588791242,woltka,SRR17380244
Streptomyces,0.0001998021935604,woltka,SRR17380244
Gabonia,0.0001938084517397,woltka,SRR17380244
Lelliottia,0.0001938084517397,woltka,SRR17380244
Porphyromonas,0.0001862271783015,woltka,SRR17380244
Lachnoanaerobaculum,0.0001773499606859,woltka,SRR17380244
Culturomica,0.0001653300784399,woltka,SRR17380244
Enterococcus,0.0001602434975433,woltka,SRR17380244
Intestinibacter,0.0001570684343086,woltka,SRR17380244
Sellimonas,0.0001540877627004,woltka,SRR17380244
Mediterranea,0.0001490335804083,woltka,SRR17380244
Riemerella,0.0001465712864711,woltka,SRR17380244
Rikenella,0.0001446597688093,woltka,SRR17380244
Coprobacter,0.0001439146009073,woltka,SRR17380244
Pantoea,0.0001428130483565,woltka,SRR17380244
Holdemanella,0.0001365925163046,woltka,SRR17380244
Leclercia,0.0001361389358425,woltka,SRR17380244
Bittarella,0.0001332230614432,woltka,SRR17380244
Trabulsiella,0.0001262573614894,woltka,SRR17380244
Kosakonia,0.0001247346270808,woltka,SRR17380244
Veillonella,0.0001238274661566,woltka,SRR17380244
Achromatium,0.0001237950675522,woltka,SRR17380244
Hymenobacter,0.0001232766898812,woltka,SRR17380244
Actinomyces,0.0001231470954634,woltka,SRR17380244
Eisenbergiella,0.0001230175010457,woltka,SRR17380244
Butyrivibrio,0.000121851151286,woltka,SRR17380244
Hespellia,0.0001183845006113,woltka,SRR17380244
Acetivibrio,0.0001169265634116,woltka,SRR17380244
Oribacterium,0.0001164081857406,woltka,SRR17380244
Acidaminococcus,0.0001152418359809,woltka,SRR17380244
Criibacterium,0.0001129091364615,woltka,SRR17380244
Cellulomonas,0.0001123907587905,woltka,SRR17380244
Massilioclostridium,0.0001108032271731,woltka,SRR17380244
Neglecta,0.0001106412341509,woltka,SRR17380244
Catonella,0.0001094100871823,woltka,SRR17380244
Alloprevotella,0.0001086973178847,woltka,SRR17380244
Raoultella,0.0001050686741878,woltka,SRR17380244
Rhodococcus,0.000103448743966,woltka,SRR17380244
Selenomonas,0.0001004680723578,woltka,SRR17380244
Johnsonella,9.515470123027544e-05,woltka,SRR17380244
Catabacter,9.505750541696568e-05,woltka,SRR17380244
Yokenella,9.48631137903461e-05,woltka,SRR17380244
Pluralibacter,9.415034449274104e-05,woltka,SRR17380244
Eggerthella,8.148249015803294e-05,woltka,SRR17380244
Fibrobacter,8.038093760718876e-05,woltka,SRR17380244
Paraprevotella,7.872860878092248e-05,woltka,SRR17380244
Senegalimassilia,7.795104227444424e-05,woltka,SRR17380244
Helicobacter,7.519716089733378e-05,woltka,SRR17380244
Actinobaculum,7.059655906733748e-05,woltka,SRR17380244
Cyclobacterium,6.862024419670527e-05,woltka,SRR17380244
Myroides,6.735669862367812e-05,woltka,SRR17380244
Gordonibacter,6.670872653494626e-05,woltka,SRR17380244
Mobiluncus,6.580156561072163e-05,woltka,SRR17380244
Traorella,6.249690795818908e-05,woltka,SRR17380244
Faecalicoccus,6.055299169199346e-05,woltka,SRR17380244
Raphidiopsis,6.009941122988116e-05,woltka,SRR17380244
Gemmata,5.7701914501573225e-05,woltka,SRR17380244
Shimwellia,5.154617965862044e-05,woltka,SRR17380244
Acidipropionibacterium,5.1060200592071534e-05,woltka,SRR17380244
Pseudoramibacter,5.054182292108604e-05,woltka,SRR17380244
Methyloglobulus,5.0153039667846914e-05,woltka,SRR17380244
Merdibacter,4.979665501904439e-05,woltka,SRR17380244
Gabonibacter,4.7463955499609646e-05,woltka,SRR17380244
Franconibacter,4.723716526855349e-05,woltka,SRR17380244
Enorma,4.438608807813325e-05,woltka,SRR17380244
Erwinia,4.402970342933072e-05,woltka,SRR17380244
Allobaculum,4.393250761602094e-05,woltka,SRR17380244
Phocea,4.370571738496479e-05,woltka,SRR17380244
Robinsoniella,4.289575227404995e-05,woltka,SRR17380244
Shewanella,4.286335366961335e-05,woltka,SRR17380244
Atlantibacter,4.185899693207895e-05,woltka,SRR17380244
Haemophilus,3.946150020377102e-05,woltka,SRR17380244
Luteimonas,3.929950718158805e-05,woltka,SRR17380244
Pseudobutyrivibrio,3.826275183961706e-05,woltka,SRR17380244
Pedobacter,3.599484952905551e-05,woltka,SRR17380244
Novosphingobium,3.580045790243594e-05,woltka,SRR17380244
Capnocytophaga,3.576805929799935e-05,woltka,SRR17380244
Drancourtella,3.560606627581638e-05,woltka,SRR17380244
Oxalobacter,3.5573667671379786e-05,woltka,SRR17380244
Leuconostoc,3.512008720926748e-05,woltka,SRR17380244
Serratia,3.411573047173308e-05,woltka,SRR17380244
Mycobacterium,3.375934582293055e-05,woltka,SRR17380244
Siccibacter,3.353255559187439e-05,woltka,SRR17380244
Gardnerella,3.3273366756381644e-05,woltka,SRR17380244
Tannerella,3.3111373734198674e-05,woltka,SRR17380244
Cedecea,3.2592996063213175e-05,woltka,SRR17380244
Pediococcus,3.230140862328383e-05,woltka,SRR17380244
Yersinia,3.2042219787791085e-05,woltka,SRR17380244
Rappaport,3.1167457468003056e-05,woltka,SRR17380244
Acetitomaculum,2.84135760908926e-05,woltka,SRR17380244
Microcystis,2.815438725539985e-05,woltka,SRR17380244
Streptobacillus,2.7474016562231385e-05,woltka,SRR17380244
Methanosarcina,2.669645005575314e-05,woltka,SRR17380244
Sporomusa,2.582168773596511e-05,woltka,SRR17380244
Marinomonas,2.5044121229486864e-05,woltka,SRR17380244
Arthrospira,2.348898821653037e-05,woltka,SRR17380244
Oceanospirillum,2.345658961209378e-05,woltka,SRR17380244
Lysinibacillus,2.306780635885465e-05,woltka,SRR17380244
Aquabacterium,2.3003009149981465e-05,woltka,SRR17380244
Carnobacterium,2.2808617523361906e-05,woltka,SRR17380244
Anaeroglobus,2.212824683019344e-05,woltka,SRR17380244
Sanguibacteroides,2.209584822575685e-05,woltka,SRR17380244
Sphingobium,2.1577470554771347e-05,woltka,SRR17380244
Coriobacterium,2.0961897070476067e-05,woltka,SRR17380244
Rhodobacter,2.0767505443856507e-05,woltka,SRR17380244
Alloscardovia,2.0735106839419917e-05,woltka,SRR17380244
Mucilaginibacter,1.998993893737826e-05,woltka,SRR17380244
Weissella,1.924477103533661e-05,woltka,SRR17380244
Devosia,1.898558219984386e-05,woltka,SRR17380244
Crocosphaera,1.882358917766089e-05,woltka,SRR17380244
Exiguobacterium,1.8596798946604736e-05,woltka,SRR17380244
Mangrovibacter,1.853200173773155e-05,woltka,SRR17380244
Marvinbryantia,1.837000871554858e-05,woltka,SRR17380244
Xanthomonas,1.82728129022388e-05,woltka,SRR17380244
Virgibacillus,1.817561708892902e-05,woltka,SRR17380244
Morganella,1.7268456164704397e-05,woltka,SRR17380244
Butyricimonas,1.7074064538084833e-05,woltka,SRR17380244
Azotobacter,1.704166593364824e-05,woltka,SRR17380244
Candidatus Stoquefichus,1.6976868724775053e-05,woltka,SRR17380244
Pyramidobacter,1.6912071515901867e-05,woltka,SRR17380244
Turicibacter,1.658808547153593e-05,woltka,SRR17380244
Libanicoccus,1.6199302218296807e-05,woltka,SRR17380244
Urmitella,1.6069707800550434e-05,woltka,SRR17380244
Campylobacter,1.5842917569494278e-05,woltka,SRR17380244
Enterorhabdus,1.542173571181856e-05,woltka,SRR17380244
Varibaculum,1.5389337107381968e-05,woltka,SRR17380244
Tumebacillus,1.5356938502945375e-05,woltka,SRR17380244
Pelosinus,1.5356938502945375e-05,woltka,SRR17380244
Lachnobacterium,1.5097749667452623e-05,woltka,SRR17380244
Listeria,1.4838560831959877e-05,woltka,SRR17380244
Dickeya,1.4741365018650095e-05,woltka,SRR17380244
Enhygromyxa,1.461177060090372e-05,woltka,SRR17380244
Chlamydia,1.461177060090372e-05,woltka,SRR17380244
Olsenella,1.451457478759394e-05,woltka,SRR17380244
Lactococcus,1.425538595210119e-05,woltka,SRR17380244
Buttiauxella,1.4222987347664596e-05,woltka,SRR17380244
Empedobacter,1.399619711660844e-05,woltka,SRR17380244
Fermentimonas,1.3575015258932724e-05,woltka,SRR17380244
Xenorhabdus,1.3477819445622945e-05,woltka,SRR17380244
Jeotgalicoccus,1.3251029214566788e-05,woltka,SRR17380244
Thermosinus,1.31862320056936e-05,woltka,SRR17380244
Oceanobacillus,1.3121434796820411e-05,woltka,SRR17380244
Filifactor,1.2246672477032389e-05,woltka,SRR17380244
Rhodopseudomonas,1.2214273872595792e-05,woltka,SRR17380244
Macrococcus,1.2149476663722606e-05,woltka,SRR17380244
Sphingomonas,1.1987483641539636e-05,woltka,SRR17380244
Lysobacter,1.1987483641539636e-05,woltka,SRR17380244
Methylobacterium,1.1955085037103044e-05,woltka,SRR17380244
Chryseobacterium,1.1760693410483484e-05,woltka,SRR17380244
Photobacterium,1.146910597055414e-05,woltka,SRR17380244
Mesorhizobium,1.1307112948371171e-05,woltka,SRR17380244
Falsirhodobacter,1.0432350628583144e-05,woltka,SRR17380244
Pontibacillus,1.039995202414655e-05,woltka,SRR17380244
Anaerocolumna,1.0335154815273364e-05,woltka,SRR17380244
Salinicoccus,1.004356737534402e-05,woltka,SRR17380244
Slackia,1.004356737534402e-05,woltka,SRR17380244
Comamonas,9.978770166470834e-06,woltka,SRR17380244
Actinotignum,9.784378539851272e-06,woltka,SRR17380244
Negativicoccus,9.751979935414676e-06,woltka,SRR17380244
Caballeronia,9.654784122104896e-06,woltka,SRR17380244
Proteiniphilum,9.557588308795116e-06,woltka,SRR17380244
Sphaerospermopsis,9.1364064511194e-06,woltka,SRR17380244
Centipeda,8.974413428936431e-06,woltka,SRR17380244
Oblitimonas,8.87721761562665e-06,woltka,SRR17380244
Cellulosilyticum,8.78002180231687e-06,woltka,SRR17380244
Cloacibacillus,8.747623197880277e-06,woltka,SRR17380244
Leucobacter,8.682825989007088e-06,woltka,SRR17380244
Dialister,8.682825989007088e-06,woltka,SRR17380244
Pectobacterium,8.618028780133902e-06,woltka,SRR17380244
Peptoniphilus,8.456035757950933e-06,woltka,SRR17380244
Sodalis,8.456035757950933e-06,woltka,SRR17380244
Sharpea,8.034853900275217e-06,woltka,SRR17380244
Desulfotomaculum,7.970056691402029e-06,woltka,SRR17380244
Macellibacteroides,7.970056691402029e-06,woltka,SRR17380244
Candidatus Endoriftia,7.937658086965435e-06,woltka,SRR17380244
Brenneria,7.905259482528842e-06,woltka,SRR17380244
Vibrio,7.743266460345874e-06,woltka,SRR17380244
Atopobium,7.613672042599499e-06,woltka,SRR17380244
Rubripirellula,7.581273438162906e-06,woltka,SRR17380244
Moellerella,7.548874833726312e-06,woltka,SRR17380244
Scardovia,7.35448320710675e-06,woltka,SRR17380244
Actinophytocola,7.322084602670157e-06,woltka,SRR17380244
Aneurinibacillus,7.224888789360376e-06,woltka,SRR17380244
Dysgonomonas,6.99809855830422e-06,woltka,SRR17380244
Phaeodactylibacter,6.836105536121253e-06,woltka,SRR17380244
Paenibacillus,6.803706931684659e-06,woltka,SRR17380244
Actinopolyspora,6.7713083272480656e-06,woltka,SRR17380244
Succinispira,6.706511118374878e-06,woltka,SRR17380244
Piscirickettsia,6.641713909501691e-06,woltka,SRR17380244
Nissabacter,6.609315305065097e-06,woltka,SRR17380244
Planococcus,6.512119491755317e-06,woltka,SRR17380244
Carboxydothermus,6.447322282882129e-06,woltka,SRR17380244
Nitrolancea,6.317727865135755e-06,woltka,SRR17380244
Actinokineospora,6.18813344738938e-06,woltka,SRR17380244
Sphingobacterium,6.155734842952787e-06,woltka,SRR17380244
Neomicrococcus,6.155734842952787e-06,woltka,SRR17380244
Providencia,6.1233362385161936e-06,woltka,SRR17380244
Anaerobium,5.928944611896631e-06,woltka,SRR17380244
Rahnella,5.669755776403882e-06,woltka,SRR17380244
Parasutterella,5.604958567530696e-06,woltka,SRR17380244
Tatumella,5.442965545347728e-06,woltka,SRR17380244
Gallibacterium,5.410566940911133e-06,woltka,SRR17380244
Desulfotalea,5.345769732037947e-06,woltka,SRR17380244
Edwardsiella,5.3133711276013525e-06,woltka,SRR17380244
Numidum,5.3133711276013525e-06,woltka,SRR17380244
Facklamia,5.280972523164759e-06,woltka,SRR17380244
Domibacillus,5.280972523164759e-06,woltka,SRR17380244
Sagittula,5.216175314291572e-06,woltka,SRR17380244
Burkholderia,5.216175314291572e-06,woltka,SRR17380244
Propionimicrobium,5.1837767098549785e-06,woltka,SRR17380244
Neisseria,5.151378105418384e-06,woltka,SRR17380244
Candidatus Endobugula,5.086580896545198e-06,woltka,SRR17380244
Flammeovirga,4.892189269925636e-06,woltka,SRR17380244
Parageobacillus,4.859790665489042e-06,woltka,SRR17380244
Chania,4.859790665489042e-06,woltka,SRR17380244
Murdochiella,4.859790665489042e-06,woltka,SRR17380244
Paludibacter,4.794993456615855e-06,woltka,SRR17380244
Pseudopropionibacterium,4.730196247742668e-06,woltka,SRR17380244
Petrimonas,4.697797643306074e-06,woltka,SRR17380244
Microbacterium,4.697797643306074e-06,woltka,SRR17380244
Amphibacillus,4.6653990388694805e-06,woltka,SRR17380244
Candidatus Magnetomorum,4.6653990388694805e-06,woltka,SRR17380244
Syntrophomonas,4.633000434432887e-06,woltka,SRR17380244
Beduini,4.600601829996293e-06,woltka,SRR17380244
Mitsuokella,4.535804621123106e-06,woltka,SRR17380244
Aeromonas,4.535804621123106e-06,woltka,SRR17380244
Cloacibacterium,4.503406016686512e-06,woltka,SRR17380244
Hafnia,4.406210203376732e-06,woltka,SRR17380244
Schwartzia,4.406210203376732e-06,woltka,SRR17380244
Anaerosalibacter,4.147021367883983e-06,woltka,SRR17380244
Jeotgalibacillus,4.114622763447389e-06,woltka,SRR17380244
Lascolabacillus,4.114622763447389e-06,woltka,SRR17380244
Sporobacter,4.114622763447389e-06,woltka,SRR17380244
Gilliamella,4.114622763447389e-06,woltka,SRR17380244
Roseimaritima,4.082224159010795e-06,woltka,SRR17380244
Synechococcus,4.082224159010795e-06,woltka,SRR17380244
Parascardovia,3.85543392795464e-06,woltka,SRR17380244
Aliicoccus,3.790636719081453e-06,woltka,SRR17380244
Herbaspirillum,3.758238114644859e-06,woltka,SRR17380244
Acetonema,3.725839510208266e-06,woltka,SRR17380244
Magnetospirillum,3.725839510208266e-06,woltka,SRR17380244
Elizabethkingia,3.693440905771672e-06,woltka,SRR17380244
Novibacillus,3.693440905771672e-06,woltka,SRR17380244
Vaginella,3.6610423013350784e-06,woltka,SRR17380244
Marinobacter,3.6286436968984847e-06,woltka,SRR17380244
Izhakiella,3.5638464880252976e-06,woltka,SRR17380244
Solibacillus,3.49904927915211e-06,woltka,SRR17380244
Candidatus Azobacteroides,3.466650674715517e-06,woltka,SRR17380244
Tetragenococcus,3.466650674715517e-06,woltka,SRR17380244
Nocardiopsis,3.434252070278923e-06,woltka,SRR17380244
Propionispira,3.401853465842329e-06,woltka,SRR17380244
Salinivibrio,3.369454861405736e-06,woltka,SRR17380244
Acholeplasma,3.369454861405736e-06,woltka,SRR17380244
Desulfosporosinus,3.3370562569691424e-06,woltka,SRR17380244
Flavobacterium,3.272259048095955e-06,woltka,SRR17380244
Heliobacterium,3.2398604436593616e-06,woltka,SRR17380244
Brevibacillus,3.0454688170398e-06,woltka,SRR17380244
Anaerococcus,3.0454688170398e-06,woltka,SRR17380244
Tetrasphaera,3.0454688170398e-06,woltka,SRR17380244
Arsenophonus,3.0454688170398e-06,woltka,SRR17380244
Luteococcus,3.0454688170398e-06,woltka,SRR17380244
Halococcus,3.0454688170398e-06,woltka,SRR17380244
Thermus,3.013070212603206e-06,woltka,SRR17380244
Geobacillus,2.9806716081666127e-06,woltka,SRR17380244
Cardiobacterium,2.9806716081666127e-06,woltka,SRR17380244
Lachnospira,2.948273003730019e-06,woltka,SRR17380244
Diplosphaera,2.915874399293425e-06,woltka,SRR17380244
Oenococcus,2.851077190420238e-06,woltka,SRR17380244
Adlercreutzia,2.851077190420238e-06,woltka,SRR17380244
Rubritalea,2.8186785859836445e-06,woltka,SRR17380244
Plesiomonas,2.7862799815470507e-06,woltka,SRR17380244
Kallipyga,2.68908416823727e-06,woltka,SRR17380244
Proteus,2.591888354927489e-06,woltka,SRR17380244
Bhargavaea,2.591888354927489e-06,woltka,SRR17380244
Ornithinibacillus,2.591888354927489e-06,woltka,SRR17380244
Xiangella,2.4946925416177085e-06,woltka,SRR17380244
Denitrobacterium,2.4946925416177085e-06,woltka,SRR17380244
Parasporobacterium,2.3974967283079277e-06,woltka,SRR17380244
Ewingella,2.365098123871334e-06,woltka,SRR17380244
Bosea,2.3326995194347403e-06,woltka,SRR17380244
Bibersteinia,2.3003009149981465e-06,woltka,SRR17380244
Pseudobacteroides,2.267902310561553e-06,woltka,SRR17380244
Avibacterium,2.267902310561553e-06,woltka,SRR17380244
Alkaliphilus,2.2031051016883658e-06,woltka,SRR17380244
Terribacillus,2.170706497251772e-06,woltka,SRR17380244
Pleomorphobacterium,2.105909288378585e-06,woltka,SRR17380244
Rummeliibacillus,2.0735106839419917e-06,woltka,SRR17380244
Rouxiella,2.0735106839419917e-06,woltka,SRR17380244
Candidatus Soleaferrea,2.0411120795053976e-06,woltka,SRR17380244
Shuttleworthia,2.0087134750688043e-06,woltka,SRR17380244
Raineyella,1.943916266195617e-06,woltka,SRR17380244
Paracoccus,1.943916266195617e-06,woltka,SRR17380244
Anaerobacillus,1.8791190573224296e-06,woltka,SRR17380244
Rhodovulum,1.846720452885836e-06,woltka,SRR17380244
Nocardia,1.846720452885836e-06,woltka,SRR17380244
Verrucomicrobium,1.8143218484492423e-06,woltka,SRR17380244
Lonsdalea,1.8143218484492423e-06,woltka,SRR17380244
Auraticoccus,1.7819232440126488e-06,woltka,SRR17380244
Tessaracoccus,1.749524639576055e-06,woltka,SRR17380244
Kingella,1.7171260351394616e-06,woltka,SRR17380244
Anaerosporomusa,1.7171260351394616e-06,woltka,SRR17380244
Pseudoalteromonas,1.684727430702868e-06,woltka,SRR17380244
Desulfitobacterium,1.684727430702868e-06,woltka,SRR17380244
Haloferula,1.6523288262662743e-06,woltka,SRR17380244
Catenibacterium,1.6523288262662743e-06,woltka,SRR17380244
Halomonas,1.5227344085199e-06,woltka,SRR17380244
Caulobacter,1.5227344085199e-06,woltka,SRR17380244
Saccharothrix,1.5227344085199e-06,woltka,SRR17380244
Kitasatospora,1.5227344085199e-06,woltka,SRR17380244
Rhodospira,1.5227344085199e-06,woltka,SRR17380244
Pragia,1.4903358040833063e-06,woltka,SRR17380244
Cephaloticoccus,1.4903358040833063e-06,woltka,SRR17380244
Actinobacillus,1.4903358040833063e-06,woltka,SRR17380244
Halobacillus,1.4903358040833063e-06,woltka,SRR17380244
Streptoalloteichus,1.4579371996467126e-06,woltka,SRR17380244
Porphyrobacter,1.4579371996467126e-06,woltka,SRR17380244
Aestuariivita,1.4579371996467126e-06,woltka,SRR17380244
Gordonia,1.4579371996467126e-06,woltka,SRR17380244
Kurthia,1.425538595210119e-06,woltka,SRR17380244
Thalassobacillus,1.425538595210119e-06,woltka,SRR17380244
Sporosarcina,1.425538595210119e-06,woltka,SRR17380244
Cellvibrio,1.3931399907735254e-06,woltka,SRR17380244
Rubellimicrobium,1.360741386336932e-06,woltka,SRR17380244
Gynuella,1.360741386336932e-06,woltka,SRR17380244
Legionella,1.328342781900338e-06,woltka,SRR17380244
Mannheimia,1.2959441774637446e-06,woltka,SRR17380244
Stenotrophomonas,1.2959441774637446e-06,woltka,SRR17380244
Dendrosporobacter,1.2635455730271509e-06,woltka,SRR17380244
Aestuariimicrobium,1.2635455730271509e-06,woltka,SRR17380244
Anaerovibrio,1.2635455730271509e-06,woltka,SRR17380244
Dietzia,1.2311469685905574e-06,woltka,SRR17380244
Paraburkholderia,1.1987483641539636e-06,woltka,SRR17380244
Aquibacillus,1.16634975971737e-06,woltka,SRR17380244
Kocuria,1.1339511552807764e-06,woltka,SRR17380244
Marinobacterium,1.1339511552807764e-06,woltka,SRR17380244
Epulopiscium,1.1339511552807764e-06,woltka,SRR17380244
Asticcacaulis,1.1015525508441829e-06,woltka,SRR17380244
Arsenicicoccus,1.1015525508441829e-06,woltka,SRR17380244
Alteromonas,1.1015525508441829e-06,woltka,SRR17380244
Halolactibacillus,1.1015525508441829e-06,woltka,SRR17380244
Arenimonas,1.1015525508441829e-06,woltka,SRR17380244
Melissococcus,1.1015525508441829e-06,woltka,SRR17380244
Alicyclobacillus,1.0691539464075894e-06,woltka,SRR17380244
Brachybacterium,1.0367553419709957e-06,woltka,SRR17380244
Aerococcus,1.0367553419709957e-06,woltka,SRR17380244
Rosenbergiella,1.0367553419709957e-06,woltka,SRR17380244
Paenisporosarcina,1.004356737534402e-06,woltka,SRR17380244
Amycolatopsis,1.004356737534402e-06,woltka,SRR17380244
Phormidium,1.004356737534402e-06,woltka,SRR17380244
Zhongshania,9.719581330978084e-07,woltka,SRR17380244
Actinoplanes,9.719581330978084e-07,woltka,SRR17380244
Psychrobacillus,9.719581330978084e-07,woltka,SRR17380244
Anthococcus,9.719581330978084e-07,woltka,SRR17380244
Thioalkalivibrio,9.395595286612148e-07,woltka,SRR17380244
Rhodanobacter,9.395595286612148e-07,woltka,SRR17380244
Budvicia,9.071609242246212e-07,woltka,SRR17380244
Allisonella,9.071609242246212e-07,woltka,SRR17380244
Photorhabdus,9.071609242246212e-07,woltka,SRR17380244
Vagococcus,9.071609242246212e-07,woltka,SRR17380244
Thermaerobacter,9.071609242246212e-07,woltka,SRR17380244
Thiothrix,9.071609242246212e-07,woltka,SRR17380244
Tolumonas,9.071609242246212e-07,woltka,SRR17380244
Aggregatibacter,9.071609242246212e-07,woltka,SRR17380244
Phaseolibacter,9.071609242246212e-07,woltka,SRR17380244
Alysiella,8.747623197880275e-07,woltka,SRR17380244
Asaccharospora,8.747623197880275e-07,woltka,SRR17380244
Paraliobacillus,8.42363715351434e-07,woltka,SRR17380244
Granulicoccus,8.42363715351434e-07,woltka,SRR17380244
Candidatus Methanomethylicus,8.42363715351434e-07,woltka,SRR17380244
Spirochaeta,8.099651109148404e-07,woltka,SRR17380244
Abiotrophia,7.775665064782468e-07,woltka,SRR17380244
Idiomarina,7.775665064782468e-07,woltka,SRR17380244
Dielma,7.775665064782468e-07,woltka,SRR17380244
Peptoanaerobacter,7.775665064782468e-07,woltka,SRR17380244
Candidatus Marithrix,7.775665064782468e-07,woltka,SRR17380244
Aquitalea,7.775665064782468e-07,woltka,SRR17380244
Teredinibacter,7.775665064782468e-07,woltka,SRR17380244
Mastigocladopsis,7.451679020416532e-07,woltka,SRR17380244
Arthrobacter,7.451679020416532e-07,woltka,SRR17380244
Sulfurimonas,7.451679020416532e-07,woltka,SRR17380244
Halorubrum,7.451679020416532e-07,woltka,SRR17380244
Lacinutrix,7.127692976050595e-07,woltka,SRR17380244
Gracilibacillus,7.127692976050595e-07,woltka,SRR17380244
Curvibacter,7.127692976050595e-07,woltka,SRR17380244
Endozoicomonas,7.127692976050595e-07,woltka,SRR17380244
Sporolactobacillus,7.127692976050595e-07,woltka,SRR17380244
Massilibacterium,7.127692976050595e-07,woltka,SRR17380244
Sinosporangium,7.127692976050595e-07,woltka,SRR17380244
Paraglaciecola,7.127692976050595e-07,woltka,SRR17380244
Methylopila,6.803706931684659e-07,woltka,SRR17380244
Cryptobacterium,6.803706931684659e-07,woltka,SRR17380244
Thermoanaerobacter,6.803706931684659e-07,woltka,SRR17380244
