species,SRR11487933
Roseburia faecis,3.000003000003e-06
Roseburia hominis,0.0074360074360074364
Roseburia intestinalis,7.4000074000074e-05
Roseburia inulinivorans,1.6000016000016e-05
Ruminococcus Unclassified AF19 29,0.0
Ruminococcus Unclassified AF37 6AT,0.0
Ruminococcus Unclassified AF41 9,2.000002000002e-06
Ruminococcus Unclassified AM40 10AC,2.000002000002e-06
Ruminococcus Unclassified OM02 16LB,0.0
Ruminococcus gauvreauii,4.000004000004e-05
Ruminococcus lactaris,3.000003000003e-06
Ruminococcus torques,7.000007000007e-06
Ruthenibacterium lactatiformans,0.0
Salmonella enterica,3.000003000003e-05
Shigella flexneri,0.0
Shigella sonnei,0.0
