Species,Count
Marinobacter daepoensis,9.67E-05
Gammaproteobacteria bacterium MFB021,8.72E-05
Maribacter thermophilus,8.37E-05
Chromohalobacter japonicus,8.32E-05
Pseudozobellia thermophila,8.13E-05
Psychrobacter phenylpyruvicus,8.09E-05
Maribacter dokdonensis,8.04E-05
Halomonas jeotgali,7.68E-05
Defluviimonas sp. 20V17,7.10E-05
Salinicola sp. MH3R3-1,6.63E-05
Psychrobacter lutiphocae,6.57E-05
Maribacter sp. 1_2014MBL_MicDiv,6.30E-05
Halomonas sp. PBN3,6.19E-05
Marinimicrobium agarilyticum,6.04E-05
Cellulophaga algicola,6.03E-05
Muricauda lutaonensis,5.35E-05
Halomonas xinjiangensis,5.34E-05
Rhodobacter sphaeroides,5.20E-05
Thioclava indica,5.18E-05
Mesoflavibacter zeaxanthinifaciens,5.09E-05
Arenibacter algicola,4.99E-05
Jejuia pallidilutea,4.99E-05
Halotalea alkalilenta,4.95E-05
Halomonas smyrnensis,4.93E-05
Tropicimonas isoalkanivorans,4.81E-05
Paracoccus aminophilus,4.74E-05
Aidingimonas halophila,4.42E-05
Sulfitobacter geojensis,4.22E-05
Salinivibrio socompensis,3.87E-05
Moraxella ovis,3.78E-05
Actinoplanes sp. SE50/110,3.75E-05
Actinoplanes sp. N902-109,3.70E-05
Halomonas anticariensis,3.46E-05
Rhodobacter capsulatus,3.37E-05
Halomonas lutea,3.28E-05
Halomonas halocynthiae,3.23E-05
Maribacter sp. HTCC2170,3.15E-05
Couchioplanes caeruleus,3.05E-05
Paracoccus sp. 228,2.98E-05
Arsukibacterium sp. MJ3,2.95E-05
Paracoccus denitrificans,2.74E-05
Halomonas sp. PR-M31,2.70E-05
Actinoplanes friuliensis,2.62E-05
Rhodovulum sulfidophilum,2.55E-05
Maribacter forsetii,2.41E-05
Actinoplanes missouriensis,2.39E-05
Maribacter sp. MAR_2009_60,2.38E-05
Pseudovibrio sp. Tun.PHSC04-5.I4,2.29E-05
Microbacterium luticocti,2.17E-05
Carnimonas nigrificans,2.16E-05
Alcanivorax dieselolei,2.10E-05
Zobellia uliginosa,1.94E-05
Cobetia crustatorum,1.87E-05
Roseicitreum antarcticum,1.71E-05
Labrenzia aggregata,1.67E-05
Gemmobacter sp. LW-1,1.64E-05
Marinobacter sp. REDSEA-S27_B10,1.58E-05
Oceanicola sp. MCTG156(1a),1.58E-05
Moraxella nonliquefaciens,1.55E-05
Puniceibacterium sp. IMCC21224,1.55E-05
Nesiotobacter exalbescens,1.51E-05
Pseudorhodobacter psychrotolerans,1.47E-05
Stappia stellulata,1.47E-05
Ketogulonicigenium vulgare,1.44E-05
Dermacoccus nishinomiyaensis,1.44E-05
Kocuria kristinae,1.42E-05
Marivirga tractuosa,1.41E-05
Enhydrobacter aerosaccus,1.41E-05
Kushneria aurantia,1.40E-05
Celeribacter indicus,1.36E-05
Paenirhodobacter enshiensis,1.36E-05
Zobellia galactanivorans,1.36E-05
Hahella chejuensis,1.26E-05
Ahrensia sp. R2A130,1.26E-05
Ensifer adhaerens,1.24E-05
Oleibacter marinus,1.21E-05
Dactylosporangium aurantiacum,1.18E-05
Falsirhodobacter sp. alg1,1.18E-05
Rhodobacteraceae bacterium PD-2,1.18E-05
Sediminicola sp. YIK13,1.17E-05
Pseudorhodobacter aquimaris,1.15E-05
Pannonibacter phragmitetus,1.15E-05
Terasakiispira papahanaumokuakeensis,1.15E-05
Catenuloplanes japonicus,1.15E-05
Acinetobacter venetianus,1.14E-05
Nitrincola nitratireducens,1.14E-05
Oceanicola granulosus,1.12E-05
Phyllobacterium sp. YR531,1.12E-05
Actinoplanes utahensis,1.11E-05
Aliihoeflea sp. 2WW,1.09E-05
Granulicoccus phenolivorans,1.04E-05
Actinoplanes rectilineatus,1.03E-05
Alcanivorax borkumensis,1.01E-05
Robiginitalea myxolifaciens,9.98E-06
Woodsholea maritima,9.92E-06
Paracoccus yeei,9.71E-06
Oleispira antarctica,9.70E-06
Polymorphum gilvum,9.69E-06
Actinoplanes globisporus,9.67E-06
Pricia antarctica,9.59E-06
Eudoraea adriatica,9.55E-06
Robiginitalea biformata,9.30E-06
Algibacter lectus,9.28E-06
Thalassolituus oleivorans,9.17E-06
Pseudospirillum japonicum,9.12E-06
Paracoccus sp. TRP,9.05E-06
Maribacter antarcticus,8.81E-06
Scytonema hofmannii,8.76E-06
Actibacterium atlanticum,8.65E-06
Marinomonas sp. MED121,8.46E-06
Crocosphaera watsonii,8.46E-06
Paracoccus sp. J55,8.26E-06
Pseudovibrio denitrificans,8.22E-06
Arenibacter palladensis,8.06E-06
Auraticoccus monumenti,7.82E-06
Paracoccus aminovorans,7.73E-06
Nioella nitratireducens,7.52E-06
Cellulophaga lytica,7.50E-06
Paracoccus sphaerophysae,7.34E-06
Zymobacter palmae,7.34E-06
Paracoccus zeaxanthinifaciens,7.32E-06
Pseudooceanicola batsensis,7.23E-06
Glaciecola pallidula,7.15E-06
Paracoccus halophilus,7.09E-06
Ruegeria pomeroyi,7.00E-06
Dinoroseobacter shibae,6.99E-06
Neptunomonas antarctica,6.95E-06
Octadecabacter arcticus,6.90E-06
Paracoccus sanguinis,6.74E-06
Pelobacter carbinolicus,6.52E-06
Shinella sp. HZN7,6.49E-06
Pseudorhodobacter ferrugineus,6.40E-06
Sinorhizobium medicae,6.36E-06
Maribacter ulvicola,6.30E-06
Kriegella aquimaris,6.26E-06
Paracoccus versutus,6.23E-06
Roseovarius nubinhibens,6.19E-06
Ruegeria mobilis,6.13E-06
Acinetobacter lwoffii,5.95E-06
Martelella endophytica,5.89E-06
Microlunatus phosphovorus,5.86E-06
Mesorhizobium sp. Root157,5.68E-06
Trichormus sp. NMC-1,5.66E-06
Pseudovibrio ascidiaceicola,5.50E-06
Desulfovermiculus halophilus,5.50E-06
Friedmanniella luteola,5.49E-06
Teredinibacter turnerae,5.45E-06
Oceanospirillum linum,5.40E-06
Saccharospirillum impatiens,5.33E-06
Marinospirillum minutulum,5.33E-06
Gillisia limnaea,5.27E-06
Hamadaea tsunoensis,5.21E-06
Ochrobactrum anthropi,5.16E-06
Actibacterium mucosum,5.10E-06
Halocynthiibacter arcticus,5.09E-06
Marinomonas mediterranea,5.08E-06
Roseibium sp. TrichSKD4,5.05E-06
Methylopila sp. 73B,4.96E-06
Moraxella osloensis,4.87E-06
Gillisia sp. Hel_I_29,4.75E-06
bacterium SIT5,4.75E-06
Aurantimonas manganoxydans,4.59E-06
Cutibacterium acnes,4.58E-06
Devosia epidermidihirudinis,4.56E-06
Devosia chinhatensis,4.54E-06
Salinihabitans flavidus,4.53E-06
Acinetobacter indicus,4.51E-06
Propionicicella superfundia,4.49E-06
Agrobacterium vitis,4.47E-06
Confluentimicrobium sp. EMB200-NS6,4.46E-06
Hahella ganghwensis,4.45E-06
Sagittula stellata,4.38E-06
Neptunomonas phycophila,4.36E-06
Pseudooceanicola atlanticus,4.36E-06
gamma proteobacterium NOR5-3,4.34E-06
Oceanicola sp. HL-35,4.32E-06
Roseovarius tolerans,4.30E-06
Hellea balneolensis,4.28E-06
Pseudorhodobacter wandonensis,4.26E-06
Pseudooceanicola nanhaiensis,4.21E-06
Pseudomonas saudimassiliensis,4.18E-06
Gemmobacter nectariphilus,4.14E-06
Acinetobacter junii,4.10E-06
Actinomyces polynesiensis,4.04E-06
Rhodomicrobium vannielii,4.00E-06
Celeribacter baekdonensis,3.89E-06
Psychroserpens jangbogonensis,3.86E-06
Endozoicomonas elysicola,3.86E-06
Bartonella apis,3.82E-06
Acinetobacter bereziniae,3.80E-06
Labrenzia alexandrii,3.79E-06
Wenxinia marina,3.74E-06
Arenibacter latericius,3.71E-06
Acinetobacter soli,3.70E-06
Moraxella boevrei,3.67E-06
Thiobacimonas profunda,3.61E-06
Halioglobus pacificus,3.61E-06
Maricaulis maris,3.60E-06
Joostella marina,3.53E-06
Shewanella denitrificans,3.50E-06
Parvularcula oceani,3.48E-06
Pseudoruegeria lutimaris,3.48E-06
Reinekea blandensis,3.45E-06
Longispora albida,3.44E-06
Yangia sp. CCB-MM3,3.40E-06
Sinorhizobium americanum,3.37E-06
Alteromonadaceae bacterium Bs12,3.36E-06
Pelagibacterium halotolerans,3.32E-06
Marinospirillum insulare,3.26E-06
Aquamicrobium defluvii,3.26E-06
Acinetobacter bohemicus,3.25E-06
Nitratireductor basaltis,3.25E-06
Rhodobacter sp. SW2,3.22E-06
Acinetobacter brisouii,3.18E-06
Bermanella marisrubri,3.16E-06
Ahrensia marina,3.15E-06
Lutimaribacter saemankumensis,3.14E-06
Oceanicola sp. S124,3.13E-06
Dasania marina,3.12E-06
Acinetobacter equi,3.11E-06
Alcanivorax hongdengensis,3.10E-06
Kutzneria albida,3.09E-06
Nitratireductor aquibiodomus,3.09E-06
Acinetobacter parvus,3.07E-06
Jannaschia aquimarina,3.07E-06
Mangrovimonas yunxiaonensis,3.05E-06
Tateyamaria sp. ANG-S1,3.04E-06
Croceibacter atlanticus,3.04E-06
Hoeflea sp. IMCC20628,3.02E-06
Acinetobacter beijerinckii,3.01E-06
Acinetobacter baumannii,2.98E-06
Ochrobactrum pseudogrignonense,2.98E-06
Devosia sp. H5989,2.96E-06
Halomonas halodenitrificans,2.94E-06
Glaciecola punicea,2.94E-06
Moraxella macacae,2.94E-06
Zhongshania aliphaticivorans,2.94E-06
Afifella pfennigii,2.93E-06
alpha proteobacterium Mf 1.05b.01,2.92E-06
Ochrovirga pacifica,2.91E-06
Rhodobacter sp. BACL10 MAG-120910-bin24,2.89E-06
Marinovum algicola,2.88E-06
Marinomonas posidonica,2.84E-06
Acinetobacter radioresistens,2.83E-06
Oceanospirillum maris,2.82E-06
Pseudohongiella spirulinae,2.80E-06
Hoeflea phototrophica,2.80E-06
Bartonella australis,2.79E-06
Acinetobacter bouvetii,2.78E-06
Rhodobaca barguzinensis,2.78E-06
Pseudomonas oryzihabitans,2.77E-06
Citreicella sp. SE45,2.75E-06
Seonamhaeicola sp. S2-3,2.73E-06
Roseovarius indicus,2.73E-06
Ensifer sp. LC163,2.73E-06
Halocynthiibacter namhaensis,2.73E-06
Phyllobacterium sp. UNC302MFCol5.2,2.72E-06
Brevundimonas subvibrioides,2.70E-06
Psychroserpens sp. Hel_I_66,2.69E-06
Azorhizobium caulinodans,2.68E-06
Rhodobacter sp. BACL10 MAG-120419-bin15,2.68E-06
Candidatus Rhodobacter lobularis,2.67E-06
Moraxella caprae,2.65E-06
Methylobacter tundripaludum,2.63E-06
Lutibaculum baratangense,2.63E-06
Caulobacter henricii,2.59E-06
Kordiimonas gwangyangensis,2.58E-06
Brucella suis,2.56E-06
Roseibacterium elongatum,2.55E-06
Natronohydrobacter thiooxidans,2.54E-06
Simiduia agarivorans,2.54E-06
Oceanicaulis sp. HL-87,2.54E-06
Kiloniella spongiae,2.53E-06
Loktanella sp. 1ANDIMAR09,2.47E-06
Endozoicomonas montiporae,2.46E-06
Nitratireductor pacificus,2.46E-06
Marinobacterium rhizophilum,2.46E-06
Acinetobacter johnsonii,2.43E-06
Photobacterium profundum,2.42E-06
Marinimicrobium sp. LS-A18,2.42E-06
Methylophaga thiooxydans,2.39E-06
Rhizobium selenitireducens,2.39E-06
Moraxella sp. HMSC061H09,2.35E-06
Thioalkalivibrio thiocyanodenitrificans,2.34E-06
Lacinutrix himadriensis,2.34E-06
Vibrio bivalvicida,2.32E-06
Moraxella porci,2.32E-06
Cucumibacter marinus,2.32E-06
Porticoccus hydrocarbonoclasticus,2.31E-06
Bartonella henselae,2.31E-06
Agrobacterium rhizogenes,2.25E-06
Rhizobium tropici,2.25E-06
Bartonella washoensis,2.24E-06
Acinetobacter tandoii,2.21E-06
Octadecabacter temperatus,2.19E-06
Aequorivita sublithincola,2.17E-06
Spongiibacter tropicus,2.16E-06
Hoeflea sp. BAL378,2.16E-06
Acinetobacter ursingii,2.15E-06
Aestuariimicrobium kwangyangense,2.15E-06
Rhizobium sp. NT-26,2.15E-06
Nocardioides sp. URHA0020,2.15E-06
Sinorhizobium meliloti,2.14E-06
Rhizobium giardinii,2.14E-06
Congregibacter litoralis,2.14E-06
Phenylobacterium sp. Root700,2.14E-06
Rheinheimera perlucida,2.13E-06
Gordonia araii,2.11E-06
Pseudoalteromonas tunicata,2.10E-06
gamma proteobacterium HTCC5015,2.10E-06
Rhizobium sp. PDO1-076,2.09E-06
Aequorivita capsosiphonis,2.08E-06
Sphaerisporangium viridialbum,2.08E-06
Owenweeksia hongkongensis,2.06E-06
Xanthobacter sp. 126,2.06E-06
Gilvimarinus chinensis,2.02E-06
Devosia sp. Root436,2.02E-06
Loktanella vestfoldensis,2.00E-06
Colwellia psychrerythraea,1.98E-06
Sinomicrobium oceani,1.96E-06
Haematobacter massiliensis,1.96E-06
Streptosporangium amethystogenes,1.95E-06
Pseudovibrio stylochi,1.95E-06
Rhizobium leguminosarum,1.94E-06
Rhizobium gallicum,1.94E-06
Capnocytophaga sp. oral taxon 412,1.93E-06
Pseudaminobacter salicylatoxidans,1.93E-06
Rhizobium sp. BR10423,1.89E-06
Rhodobacterales bacterium HTCC2255,1.89E-06
alpha proteobacterium SCGC AAA076-C03,1.88E-06
Devosia sp. LC5,1.88E-06
Rhizobium undicola,1.88E-06
Capnocytophaga haemolytica,1.86E-06
Pelagibaca bermudensis,1.85E-06
Kocuria salsicia,1.85E-06
Phenylobacterium sp. Root1290,1.85E-06
Flavobacterium enshiense,1.83E-06
Rhizobium sp. Root1212,1.82E-06
Sinorhizobium fredii,1.81E-06
Ahrensia kielensis,1.80E-06
Allochromatium vinosum,1.79E-06
gamma proteobacterium HIMB30,1.78E-06
Mesorhizobium alhagi,1.77E-06
Roseovarius atlanticus,1.77E-06
Colwellia sp. MT41,1.77E-06
Alcanivorax jadensis,1.75E-06
Maribius sp. MOLA 401,1.75E-06
Actinopolymorpha alba,1.73E-06
Citreicella sp. 357,1.73E-06
Aurantimonas sp. Leaf443,1.72E-06
Flavobacterium suncheonense,1.72E-06
Luteococcus japonicus,1.70E-06
Spongiibacter sp. IMCC21906,1.69E-06
Maritimibacter alkaliphilus,1.69E-06
bacterium YEK0313,1.69E-06
Capnocytophaga ochracea,1.69E-06
Actinomadura madurae,1.68E-06
Thiomicrospira halophila,1.67E-06
Methylopila sp. M107,1.65E-06
Propionibacterium sp. oral taxon 192,1.65E-06
Planktothricoides sp. SR001,1.64E-06
Saccharophagus degradans,1.64E-06
Haliea salexigens,1.64E-06
Brevundimonas sp. Root608,1.63E-06
Pseudomonas stutzeri,1.62E-06
Flavobacteria bacterium MS024-2A,1.62E-06
Acinetobacter harbinensis,1.62E-06
Cellvibrio sp. pealriver,1.60E-06
Martelella sp. AD-3,1.59E-06
Magnetovibrio blakemorei,1.59E-06
Azorhizobium doebereinerae,1.58E-06
Bartonella rochalimae,1.58E-06
Litorimicrobium taeanense,1.57E-06
Pseudomonas fuscovaginae,1.57E-06
Salipiger mucosus,1.54E-06
bacterium A52C2,1.54E-06
Methylomonas koyamae,1.53E-06
Alcanivorax nanhaiticus,1.52E-06
Agrobacterium fabrum,1.52E-06
Thalassobium sp. R2A62,1.51E-06
Thiomicrospira arctica,1.51E-06
Nocardioides halotolerans,1.49E-06
Candidatus Tokpelaia hoelldoblerii,1.49E-06
Oceanicaulis sp. HTCC2633,1.47E-06
Rhodobacteraceae bacterium HTCC2150,1.47E-06
Brevundimonas sp. Leaf363,1.46E-06
Xanthobacter autotrophicus,1.46E-06
Neorhizobium galegae,1.46E-06
gamma proteobacterium IMCC3088,1.46E-06
Streptomyces natalensis,1.45E-06
Sulfitobacter guttiformis,1.45E-06
Flavobacterium johnsoniae,1.45E-06
Aureimonas ureilytica,1.44E-06
Aliiroseovarius crassostreae,1.44E-06
Maritalea myrionectae,1.41E-06
Xanthomarina gelatinilytica,1.41E-06
Osedax symbiont Rs2,1.39E-06
Poseidonocella pacifica,1.39E-06
Acinetobacter gyllenbergii,1.38E-06
Aestuariivita boseongensis,1.38E-06
Nonlabens marinus,1.37E-06
Mangrovimonas sp. ST2L15,1.37E-06
Saccharothrix syringae,1.37E-06
Candidatus Endobugula sertula,1.34E-06
Nocardia sp. CNY236,1.34E-06
Gillisia marina,1.33E-06
Acinetobacter sp. NCu2D-2,1.33E-06
marine gamma proteobacterium HTCC2143,1.33E-06
Kribbella flavida,1.31E-06
Nonlabens sp. YIK11,1.29E-06
Acinetobacter nectaris,1.29E-06
Ferrimonas balearica,1.29E-06
Psychromonas sp. CNPT3,1.26E-06
Kutzneria sp. 744,1.26E-06
Bartonella tamiae,1.26E-06
Allosalinactinospora lopnorensis,1.26E-06
Aquimarina agarilytica,1.24E-06
Gramella forsetii,1.23E-06
alpha proteobacterium RS24,1.23E-06
Thermopetrobacter sp. TC1,1.23E-06
Gemmata obscuriglobus,1.23E-06
Acinetobacter pittii,1.22E-06
Aminobacter sp. J41,1.21E-06
Oceanicaulis alexandrii,1.20E-06
gamma proteobacterium BDW918,1.20E-06
Pseudophaeobacter arcticus,1.20E-06
Gynuella sunshinyii,1.18E-06
Imtechella halotolerans,1.18E-06
Kribbella catacumbae,1.18E-06
Acinetobacter gerneri,1.18E-06
Gramella sp. LPB0144,1.17E-06
Tamlana nanhaiensis,1.16E-06
Amphritea japonica,1.15E-06
Capnocytophaga canimorsus,1.15E-06
Streptomyces bingchenggensis,1.15E-06
Lacinutrix sp. Hel_I_90,1.15E-06
Roseobacter sp. GAI101,1.14E-06
Raineyella antarctica,1.14E-06
Leeuwenhoekiella blandensis,1.14E-06
Nitrosococcus halophilus,1.14E-06
Albimonas pacifica,1.14E-06
Roseivivax atlanticus,1.13E-06
Hyunsoonleella jejuensis,1.13E-06
Saccharothrix espanaensis,1.13E-06
Rhizobium sp. Root1334,1.12E-06
Pararhizobium polonicum,1.11E-06
Luminiphilus syltensis,1.10E-06
Paramesorhizobium deserti,1.10E-06
Endozoicomonas numazuensis,1.10E-06
Spongiibacter marinus,1.09E-06
Martelella mediterranea,1.08E-06
Bartonella clarridgeiae,1.08E-06
Actinocatenispora sera,1.07E-06
Chryseobacterium haifense,1.07E-06
Pleomorphobacterium xiamenense,1.07E-06
Ahrensia sp. 13_GOM-1096m,1.06E-06
Magnetospira sp. QH-2,1.05E-06
Pacificibacter marinus,1.05E-06
Microbispora rosea,1.05E-06
actinobacterium LLX17,1.05E-06
Frankia sp. CN3,1.04E-06
Rhodobacteraceae bacterium HTCC2083,1.04E-06
Acinetobacter schindleri,1.03E-06
Planomonospora sphaerica,1.03E-06
Jannaschia sp. CCS1,1.03E-06
Rhizobium etli,1.02E-06
Loktanella hongkongensis,1.01E-06
Nonomuraea candida,1.00E-06
Gramella sp. MAR_2010_102,9.95E-07
Nocardioides sp. Root151,9.95E-07
Pseudomonas alkylphenolica,9.95E-07
Ulvibacter litoralis,9.88E-07
Streptomyces pluripotens,9.88E-07
Bosea sp. Root381,9.88E-07
Yuhushiella deserti,9.81E-07
Bosea sp. Root483D1,9.74E-07
Streptomyces sp. CNQ-509,9.67E-07
Mesorhizobium sp. LC103,9.52E-07
Bartonella rattimassiliensis,9.52E-07
Asticcacaulis biprosthecium,9.45E-07
Asticcacaulis sp. AC466,9.45E-07
Nocardioides sp. Soil797,9.38E-07
Streptomyces paucisporeus,9.38E-07
Rhodobacter sp. BACL10 MAG-121220-bin24,9.31E-07
Tessaracoccus massiliensis,9.23E-07
Actinokineospora enzanensis,9.16E-07
Asticcacaulis sp. YBE204,9.16E-07
Spirillospora albida,9.09E-07
Streptosporangium roseum,9.02E-07
Asticcacaulis benevestitus,9.02E-07
Robiginitomaculum antarcticum,8.80E-07
Rhizobium mesoamericanum,8.73E-07
Tenacibaculum dicentrarchi,8.66E-07
Palleronia marisminoris,8.51E-07
Microbulbifer agarilyticus,8.44E-07
Pseudomonas entomophila,8.44E-07
Brevundimonas abyssalis,8.44E-07
Propionibacteriaceae bacterium P6A17,8.44E-07
Frankia sp. Cc1.17,8.37E-07
Cellvibrio japonicus,8.30E-07
Amorphus coralli,8.30E-07
Nocardioides sp. Soil774,8.22E-07
Actinomadura rifamycini,8.22E-07
Propionimicrobium lymphophilum,8.15E-07
Actinokineospora spheciospongiae,8.15E-07
Thiomicrospira sp. MA2-6,8.08E-07
Methylocella silvestris,8.01E-07
Streptomyces avermitilis,8.01E-07
Methylomonas denitrificans,7.93E-07
Amphritea atlantica,7.93E-07
Flaviramulus ichthyoenteri,7.93E-07
Streptomyces purpeofuscus,7.79E-07
Cellulophaga sp. Hel_I_12,7.79E-07
Streptomyces sp. NRRL S-87,7.79E-07
Zunongwangia profunda,7.79E-07
Streptomyces scopuliridis,7.72E-07
Roseobacter sp. AzwK-3b,7.65E-07
Streptomyces sp. 150FB,7.65E-07
Psychroserpens damuponensis,7.65E-07
Bartonella quintana,7.57E-07
Streptomyces vietnamensis,7.57E-07
Devosia insulae,7.57E-07
Devosia geojensis,7.57E-07
Sulfitobacter mediterraneus,7.57E-07
Nitratireductor indicus,7.50E-07
Devosia soli,7.43E-07
Escherichia coli,7.43E-07
Tepidicaulis marinus,7.36E-07
Myroides odoratus,7.36E-07
Bartonella bacilliformis,7.36E-07
Devosia psychrophila,7.29E-07
Kitasatospora sp. MBT63,7.29E-07
Streptacidiphilus albus,7.29E-07
Pseudomonas luteola,7.29E-07
Pseudopropionibacterium propionicum,7.29E-07
Ochrobactrum sp. CDB2,7.21E-07
Pseudoalteromonas translucida,7.21E-07
Thiomicrospira chilensis,7.14E-07
Pseudomonas fragi,7.00E-07
Rhizobium leucaenae,7.00E-07
Sulfitobacter noctilucae,7.00E-07
Aliivibrio salmonicida,7.00E-07
Microbispora sp. ATCC PTA-5024,6.92E-07
Streptomyces albulus,6.92E-07
Methylobacterium sp. 4-46,6.92E-07
Pseudonocardia asaccharolytica,6.85E-07
Aestuariivita atlantica,6.85E-07
Nitrincola sp. A-D6,6.78E-07
Methylobacterium sp. 77,6.78E-07
Nocardia brevicatena,6.78E-07
Bosea thiooxidans,6.71E-07
Pleomorphomonas koreensis,6.71E-07
Modestobacter marinus,6.71E-07
Sphingopyxis terrae,6.71E-07
Streptoalloteichus hindustanus,6.71E-07
Marinomonas polaris,6.71E-07
Flavobacterium branchiophilum,6.64E-07
Agrobacterium rubi,6.64E-07
Pseudonocardia autotrophica,6.64E-07
Methylobacterium sp. ZNC0032,6.56E-07
Intrasporangium calvum,6.56E-07
Alteromonadales bacterium BS08,6.56E-07
Ensifer sojae,6.56E-07
Acidipropionibacterium acidipropionici,6.49E-07
Hyphomonas sp. L-53-1-40,6.49E-07
Pseudomonas putida,6.49E-07
Paraglaciecola sp. S66,6.42E-07
Streptomyces yerevanensis,6.35E-07
Rhodococcus defluvii,6.35E-07
Mameliella alba,6.35E-07
Pseudomonas sp. TTU2014-080ASC,6.28E-07
Pseudomonas otitidis,6.28E-07
Bosea sp. UNC402CLCol,6.28E-07
Galbibacter marinus,6.20E-07
Xanthobacteraceae bacterium 501b,6.20E-07
Alcanivorax pacificus,6.20E-07
Actinokineospora inagensis,6.13E-07
Sediminimonas qiaohouensis,6.13E-07
Cutibacterium avidum,6.06E-07
Frankia casuarinae,6.06E-07
Erythrobacter litoralis,6.06E-07
Cribrihabitans marinus,6.06E-07
Acinetobacter towneri,6.06E-07
Planktotalea frisia,6.06E-07
Aeromicrobium sp. Root236,6.06E-07
Flavobacterium sp. 83,6.06E-07
Hoeflea sp. 108,6.06E-07
Flavobacterium sp. Leaf359,6.06E-07
Blastococcus saxobsidens,5.99E-07
Hydrogenovibrio marinus,5.99E-07
Agrobacterium larrymoorei,5.99E-07
Catelliglobosispora koreensis,5.91E-07
Ponticoccus sp. SJ5A-1,5.91E-07
Flavobacteriales bacterium ALC-1,5.91E-07
Goodfellowiella coeruleoviolacea,5.91E-07
Sneathiella glossodoripedis,5.84E-07
Gammaproteobacteria bacterium REDSEA-S15_B12,5.84E-07
Thioalkalimicrobium aerophilum,5.84E-07
Thiomicrospira crunogena,5.84E-07
Nocardiopsis potens,5.84E-07
Donghicola eburneus,5.77E-07
Saccharothrix sp. NRRL B-16314,5.77E-07
Trueperella pyogenes,5.70E-07
