species,SRR11487939
Saturnispora mendoncae,0.0033
Schaalia georgiae,0.0002
Shigella boydii,0.001
Shigella dysenteriae,0.0048
Shigella flexneri,0.0222
Shigella sonnei,0.0032
Staphylococcus aureus,0.0002
Staphylococcus cohnii,0.0
Staphylococcus epidermidis,0.0
Streptococcus pneumoniae,0.0002
Streptomyces mutabilis,0.0
Trabulsiella odontotermitis,0.0
