Genus,RA
Neorickettsia,0.0
Kordiimonas,0.0
Hyphomicrobium,0.0
Methylosinus,0.0
Methylocystis,0.0
Candidatus Phaeomarinobacter,0.0
Bosea,0.0
Aquabacter,0.0
Methyloligella,0.0
Filomicrobium,0.0
Cohaesibacter,0.0
Rhodoplanes,0.0
Caenibius,0.0
Bartonella,0.0
Youhaiella,0.0
Devosia,0.0
Paradevosia,0.0
Lichenihabitans,0.0
Pseudorhodoplanes,0.0
Brucella,0.0
Granulibacter,0.0
Magnetospirillum,0.0
Magnetospira,0.0
Tistrella,0.0
Thalassospira,0.0
Gluconacetobacter,0.0
Kozakia,0.0
Roseomonas,0.0
Methylocella,0.0
Neoasaia,0.0
Acidiphilium,0.0
Gluconobacter,0.0
Stella,0.0
Komagataeibacter,0.0
Acetobacter,0.0
Pseudochrobactrum,0.0
Stappia,0.0
Candidatus Pelagibacter,0.0
Liberibacter,0.0
Phyllobacterium,0.0
Nitratireductor,0.0
Mesorhizobium,0.0
Nitrobacter,0.0
Rhodopseudomonas,0.0
Bradyrhizobium,0.0
Ensifer,0.0
Hoeflea,0.0
Sinorhizobium,0.0
Neorhizobium,0.0
Agrobacterium,0.0
Rhizobium,0.0
Immundisolibacter,0.0
Gilliamella,0.0
Aminobacter,0.0
Salaquimonas,0.0
Pannonibacter,0.0
Methylobacterium,0.0
Pseudovibrio,0.0
Labrenzia,0.0
Martelella,0.0
Aureimonas,0.0
Microvirga,0.0
Methylorubrum,0.0
Labrys,0.0
Oricola,0.0
Ancylobacter,0.0
Starkeya,0.0
Pseudolabrys,0.0
Azorhizobium,0.0
Xanthobacter,0.0
Roseitalea,0.0
Indioceanicola,0.0
Rhodospirillum,0.0
Defluviicoccus,0.0
Maribius,0.0
Caulobacter,0.0
Brevundimonas,0.0
Antarctobacter,0.0
Pseudorhodobacter,0.0
Mameliella,0.0
Tabrizicola,0.0
Sagittula,0.0
Asticcacaulis,0.0
Ruegeria,0.0
Silicimonas,0.0
Monaibacterium,0.0
Polymorphum,0.0
Roseobacter,0.0
Cognatishimia,0.0
Phenylobacterium,0.0
Terricaulis,0.0
Haematospirillum,0.0
Maricaulis,0.0
Candidatus Paracaedibacter,0.0
Candidatus Cytomitobacter,0.0
Luteithermobacter,0.0
Paremcibacter,0.0
Phreatobacter,0.0
Parvularcula,0.0
Candidatus Deianiraea,0.0
Orientia,0.0
Ehrlichia,0.0
Anaplasma,0.0
Sulfurovum,0.0
Candidatus Phycorickettsia,0.0
Candidatus Sneabacter,0.0
Rickettsia,0.0
Falsirhodobacter,0.0
Marinovum,0.0
Rhodovulum,0.0
Sphingorhabdus,0.0
Pelagerythrobacter,0.0
Croceicoccus,0.0
Porphyrobacter,0.0
Erythrobacter,0.0
Parasphingorhabdus,0.0
Tardibacter,0.0
Sphingopyxis,0.0
Haematobacter,0.0
Sphingobium,0.0
Sphingomonas,0.0
Novosphingobium,0.0
Nitrospirillum,0.0
Niveispirillum,0.0
Azospirillum,0.0
Altererythrobacter,0.0
Sulfitobacter,0.0
Paracoccus,0.0
Phaeobacter,0.0
Cereibacter,0.0
Pseudooceanicola,0.0
Salipiger,0.0
Roseovarius,0.0
Pelagovum,0.0
Roseivivax,0.0
Thalassobius,0.0
Celeribacter,0.0
Yoonia,0.0
Roseicitreum,0.0
Leisingera,0.0
Gemmobacter,0.0
Thioclava,0.0
Nitratifractor,0.0
Porphyromonas,0.0
Hydrogenimonas,0.0
Pyricularia,0.0
Hydrogenobaculum,0.0
Hydrogenobacter,0.0
Thermocrinis,0.0
Persephonella,0.0
Thermosulfidibacter,0.0
Deferribacter,0.0
Geovibrio,0.0
Calditerrivibrio,0.0
Desulfurispirillum,0.0
Caldisericum,0.0
Endomicrobium,0.0
Thermothelomyces,0.0
Thermothielavioides,0.0
Neurospora,0.0
Fusarium,0.0
Thermodesulfovibrio,0.0
Colletotrichum,0.0
Aspergillus,0.0
Cercospora,0.0
Naumovozyma,0.0
Saccharomyces,0.0
Kluyveromyces,0.0
Nakaseomyces,0.0
Tetrapisispora,0.0
Zygosaccharomyces,0.0
Torulaspora,0.0
Eremothecium,0.0
Lachancea,0.0
Kazachstania,0.0
Pichia,0.0
Caldithrix,0.0
Leptospirillum,0.0
Scheffersomyces,0.0
Mesotoga,0.0
Borrelia,0.0
Leptospira,0.0
Turneriella,0.0
Brachyspira,0.0
Fusobacterium,0.0
Ilyobacter,0.0
Leptotrichia,0.0
Pseudoleptotrichia,0.0
Streptobacillus,0.0
Sebaldella,0.0
Thermosipho,0.0
Fervidobacterium,0.0
Thermotoga,0.0
Pseudothermotoga,0.0
Athalassotoga,0.0
Nitrospira,0.0
Defluviitoga,0.0
Jonquetella,0.0
Fretibacterium,0.0
Cloacibacillus,0.0
Thermanaerovibrio,0.0
Aminomonas,0.0
Granulicella,0.0
Terriglobus,0.0
Acidobacterium,0.0
Edaphobacter,0.0
Paludibaculum,0.0
Candidatus Solibacter,0.0
Chloracidobacterium,0.0
Luteitalea,0.0
Ogataea,0.0
Sugiyamaella,0.0
Sphaerochaeta,0.0
Caldisphaera,0.0
Methanothermobacter,0.0
Methanococcus,0.0
Methanocaldococcus,0.0
Pyrococcus,0.0
Thermococcus,0.0
Palaeococcus,0.0
Archaeoglobus,0.0
Ferroglobus,0.0
Sulfolobus,0.0
Acidianus,0.0
Sulfodiicoccus,0.0
Metallosphaera,0.0
Thermogladius,0.0
Thermofilum,0.0
Nitrosopumilus,0.0
Methanobrevibacter,0.0
Nitrososphaera,0.0
Candidatus Nitrosopelagicus,0.0
Candidatus Korarchaeum,0.0
Aciduliprofundum,0.0
Candidatus Micrarchaeum,0.0
Efquatrovirus,0.0
Fromanvirus,0.0
Lambdavirus,0.0
Woodruffvirus,0.0
Asteriusvirus,0.0
Gelderlandvirus,0.0
Lederbergvirus,0.0
Uetakevirus,0.0
Wphvirus,0.0
Methanosphaera,0.0
Methanobacterium,0.0
Sporisorium,0.0
Methanofollis,0.0
Homo,0.0
Plasmodium,0.0
Babesia,0.0
Theileria,0.0
Besnoitia,0.0
Neospora,0.0
Toxoplasma,0.0
Phaeodactylum,0.0
Thalassiosira,0.0
Leishmania,0.0
Trypanosoma,0.0
Dictyostelium,0.0
Methanoculleus,0.0
Methanolacinia,0.0
Methanospirillum,0.0
Halopiger,0.0
Methanocorpusculum,0.0
Methanoregula,0.0
Methanosarcina,0.0
Methanosalsum,0.0
Methanothrix,0.0
Methanocella,0.0
Halorubrum,0.0
Halolamina,0.0
Haloferax,0.0
Halosimplex,0.0
Haloarcula,0.0
Halorhabdus,0.0
Halanaeroarchaeum,0.0
Halorussus,0.0
Thiospirochaeta,0.0
Spirochaeta,0.0
Nautilia,0.0
Cloacibacterium,0.0
Gramella,0.0
Myroides,0.0
Flavivirga,0.0
Altibacter,0.0
Cellulophaga,0.0
Mariniflexile,0.0
Robiginitalea,0.0
Algibacter,0.0
Siansivirga,0.0
Chryseobacterium,0.0
Kaistella,0.0
Planobacterium,0.0
Epilithonimonas,0.0
Apibacter,0.0
Empedobacter,0.0
Aequorivita,0.0
Elizabethkingia,0.0
Riemerella,0.0
Cruoricaptor,0.0
Ornithobacterium,0.0
Blattabacterium,0.0
Ichthyobacterium,0.0
Fluviicola,0.0
Hymenobacter,0.0
Pontibacter,0.0
Rufibacter,0.0
Nibribacter,0.0
Spirosoma,0.0
Fibrella,0.0
Dyadobacter,0.0
Lacinutrix,0.0
Aquimarina,0.0
Flammeovirga,0.0
Butyricimonas,0.0
Silvanigrella,0.0
Bdellovibrio,0.0
Acidithiobacillus,0.0
Phocaeicola,0.0
Prevotella,0.0
Alloprevotella,0.0
Alistipes,0.0
Barnesiella,0.0
Coprobacter,0.0
Muribaculum,0.0
Sodaliphilus,0.0
Dysgonomonas,0.0
Proteiniphilum,0.0
Odoribacter,0.0
Acidiferrobacter,0.0
Dokdonia,0.0
Salinivirga,0.0
Paludibacter,0.0
Labilibaculum,0.0
Flavobacterium,0.0
Polaribacter,0.0
Capnocytophaga,0.0
Maribacter,0.0
Nonlabens,0.0
Psychroflexus,0.0
Muricauda,0.0
Tenacibaculum,0.0
Winogradskyella,0.0
Formosa,0.0
Urechidicola,0.0
Arcticibacterium,0.0
Echinicola,0.0
Oceanispirochaeta,0.0
Tuwongella,0.0
Fuerstia,0.0
Polystyrenella,0.0
Calycomorphotria,0.0
Alienimonas,0.0
Symmachiella,0.0
Stieleria,0.0
Rosistilla,0.0
Lignipirellula,0.0
Anatilimnocola,0.0
Mariniblastus,0.0
Bremerella,0.0
Lacipirellula,0.0
Pirellulimonas,0.0
Telmatocola,0.0
Frigoriglobus,0.0
Methylacidiphilum,0.0
Limnoglobus,0.0
Urbifossiella,0.0
Isosphaera,0.0
Singulisphaera,0.0
Sedimentisphaera,0.0
Limihaloglobus,0.0
Anaerohalosphaera,0.0
Waddlia,0.0
Neochlamydia,0.0
Chlamydiifrater,0.0
Chlamydia,0.0
Kiritimatiella,0.0
Treponema,0.0
Salinispira,0.0
Gimesia,0.0
Methylacidimicrobium,0.0
Cyclobacterium,0.0
Arachidicoccus,0.0
Algoriphagus,0.0
Aquiflexum,0.0
Bernardetia,0.0
Chryseolinea,0.0
Marivirga,0.0
Candidatus Amoebophilus,0.0
Pedobacter,0.0
Sphingobacterium,0.0
Olivibacter,0.0
Mucilaginibacter,0.0
Anseongella,0.0
Solitalea,0.0
Niabella,0.0
Chitinophaga,0.0
Niastella,0.0
Coraliomargarita,0.0
Rhodothermus,0.0
Haliscomenobacter,0.0
Chlorobium,0.0
Pelodictyon,0.0
Prosthecochloris,0.0
Chlorobaculum,0.0
Candidatus Cyclonatronum,0.0
Gemmatirosa,0.0
Gemmatimonas,0.0
Verrucomicrobium,0.0
Luteolibacter,0.0
Roseimicrobium,0.0
Opitutus,0.0
Nibricoccus,0.0
Salinisphaera,0.0
Zobellella,0.0
Sulfuricaulis,0.0
Finegoldia,0.0
Dialister,0.0
Phascolarctobacterium,0.0
Faecalitalea,0.0
Longibaculum,0.0
Erysipelothrix,0.0
Faecalibaculum,0.0
Intestinibaculum,0.0
Bulleidia,0.0
Turicibacter,0.0
Peptoniphilus,0.0
Murdochiella,0.0
Anaerococcus,0.0
Helcococcus,0.0
Parvimonas,0.0
Tissierella,0.0
Methylomusa,0.0
Gudongella,0.0
Schnuerera,0.0
Gottschalkia,0.0
Ndongobacter,0.0
Gardnerella,0.0
Parascardovia,0.0
Scardovia,0.0
Arachnia,0.0
Brevilactibacter,0.0
Tessaracoccus,0.0
Propionimicrobium,0.0
Propionibacterium,0.0
Acidipropionibacterium,0.0
Microlunatus,0.0
Veillonella,0.0
Sporomusa,0.0
Cardiobacterium,0.0
Oenococcus,0.0
Limosilactobacillus,0.0
Pediococcus,0.0
Ligilactobacillus,0.0
Leuconostoc,0.0
Companilactobacillus,0.0
Schleiferilactobacillus,0.0
Lactiplantibacillus,0.0
Latilactobacillus,0.0
Loigolactobacillus,0.0
Lentilactobacillus,0.0
Apilactobacillus,0.0
Furfurilactobacillus,0.0
Secundilactobacillus,0.0
Weissella,0.0
Lapidilactobacillus,0.0
Pelosinus,0.0
Paucilactobacillus,0.0
Acetilactobacillus,0.0
Liquorilactobacillus,0.0
Fructilactobacillus,0.0
Vagococcus,0.0
Tetragenococcus,0.0
Melissococcus,0.0
Jeotgalibaca,0.0
Carnobacterium,0.0
Marinilactibacillus,0.0
Dolosigranulum,0.0
Aerococcus,0.0
Abiotrophia,0.0
Pectinatus,0.0
Auraticoccus,0.0
Nocardioides,0.0
Aeromicrobium,0.0
Mycobacteroides,0.0
Janibacter,0.0
Brachybacterium,0.0
Dermabacter,0.0
Sanguibacter,0.0
Cellulomonas,0.0
Serinicoccus,0.0
Ruania,0.0
Austwickia,0.0
Dermatophilus,0.0
Yimella,0.0
Beutenbergia,0.0
Jonesia,0.0
Mycolicibacterium,0.0
Mycobacterium,0.0
Mycolicibacillus,0.0
Pimelobacter,0.0
Corynebacterium,0.0
Rhodococcus,0.0
Nocardia,0.0
Gordonia,0.0
Skermania,0.0
Tsukamurella,0.0
Dietzia,0.0
Kitasatospora,0.0
Streptacidiphilus,0.0
Actinoalloteichus,0.0
Saccharomonospora,0.0
Pseudonocardia,0.0
Amycolatopsis,0.0
Saccharothrix,0.0
Tetrasphaera,0.0
Phycicoccus,0.0
Georgenia,0.0
Xylanimicrobium,0.0
Actinopolymorpha,0.0
Kribbella,0.0
Rothia,0.0
Arthrobacter,0.0
Glutamicibacter,0.0
Pseudarthrobacter,0.0
Kocuria,0.0
Micrococcus,0.0
Paenarthrobacter,0.0
Neomicrococcus,0.0
Microbacterium,0.0
Rhodoluna,0.0
Agrococcus,0.0
Curtobacterium,0.0
Cryobacterium,0.0
Frondihabitans,0.0
Agromyces,0.0
Salinibacterium,0.0
Rathayibacter,0.0
Humibacter,0.0
Cnuibacter,0.0
Aurantimicrobium,0.0
Leifsonia,0.0
Protaetiibacter,0.0
Mycetocola,0.0
Leucobacter,0.0
Brevibacterium,0.0
Xylanimonas,0.0
Cellulosimicrobium,0.0
Levilactobacillus,0.0
Lacticaseibacillus,0.0
Lactococcus,0.0
Thermoanaerosceptrum,0.0
Mogibacterium,0.0
Carboxydocella,0.0
Thermaerobacter,0.0
Acetobacterium,0.0
Alkalibacter,0.0
Dehalobacter,0.0
Desulfitobacterium,0.0
Desulfotomaculum,0.0
Candidatus Formimonas,0.0
Desulfosporosinus,0.0
Dehalobacterium,0.0
Thermincola,0.0
Syntrophobotulus,0.0
Desulfallas,0.0
Desulfofarcimen,0.0
Caldicellulosiruptor,0.0
Christensenella,0.0
Vallitalea,0.0
Petrocella,0.0
Symbiobacterium,0.0
Heliomicrobium,0.0
Heliorestis,0.0
Syntrophothermus,0.0
Mahella,0.0
Moorella,0.0
Ammonifex,0.0
Carboxydothermus,0.0
Thermoanaerobacter,0.0
Thermacetogenium,0.0
Caldanaerobacter,0.0
Hathewaya,0.0
Serpentinicella,0.0
Crassaminicella,0.0
Caloramator,0.0
Anaerocolumna,0.0
Butyrivibrio,0.0
Lachnospira,0.0
Cellulosilyticum,0.0
Herbinix,0.0
Lachnoanaerobaculum,0.0
Anaerotignum,0.0
Pseudobutyrivibrio,0.0
Ruminococcus,0.0
Solibaculum,0.0
Acutalibacter,0.0
Caproicibacterium,0.0
Monoglobus,0.0
Acetivibrio,0.0
Ethanoligenens,0.0
Ruminiclostridium,0.0
Pseudoclostridium,0.0
Mageeibacillus,0.0
Thermoclostridium,0.0
Filifactor,0.0
Romboutsia,0.0
Peptacetobacter,0.0
Peptoclostridium,0.0
Acetoanaerobium,0.0
Paraclostridium,0.0
Alkaliphilus,0.0
Geosporobacter,0.0
Sarcina,0.0
Candidatus Arthromitus,0.0
Thermoanaerobacterium,0.0
Acetohalobium,0.0
Laceyella,0.0
Saccharibacillus,0.0
Oceanobacillus,0.0
Gracilibacillus,0.0
Lederbergia,0.0
Pradoshia,0.0
Amphibacillus,0.0
Paraliobacillus,0.0
Psychrobacillus,0.0
Mammaliicoccus,0.0
Macrococcus,0.0
Jeotgalicoccus,0.0
Abyssicoccus,0.0
Salinicoccus,0.0
Brevibacillus,0.0
Cohnella,0.0
Aneurinibacillus,0.0
Halocella,0.0
Planococcus,0.0
Sporosarcina,0.0
Ureibacillus,0.0
Kurthia,0.0
Viridibacillus,0.0
Exiguobacterium,0.0
Gemella,0.0
Listeria,0.0
Alicyclobacillus,0.0
Tumebacillus,0.0
Effusibacillus,0.0
Kroppenstedtia,0.0
Novibacillus,0.0
Thermoactinomyces,0.0
Pontibacillus,0.0
Lentibacillus,0.0
Terribacillus,0.0
Anaerobacillus,0.0
Anoxybacter,0.0
Thermosediminibacter,0.0
Tepidanaerobacter,0.0
Biomaibacter,0.0
Koleobacter,0.0
Peribacillus,0.0
Geobacillus,0.0
Virgibacillus,0.0
Weizmannia,0.0
Priestia,0.0
Rossellomorea,0.0
Alkalihalobacillus,0.0
Metabacillus,0.0
Anoxybacillus,0.0
Lysinibacillus,0.0
Sutcliffiella,0.0
Neobacillus,0.0
Fictibacillus,0.0
Sediminibacillus,0.0
Caldibacillus,0.0
Niallia,0.0
Parageobacillus,0.0
Evansella,0.0
Halobacillus,0.0
Cytobacillus,0.0
Salicibibacter,0.0
Salimicrobium,0.0
Mesobacillus,0.0
Heyndrickxia,0.0
Saccharopolyspora,0.0
Lentzea,0.0
Actinosynnema,0.0
Glaciecola,0.0
Lysobacter,0.0
Thermomonas,0.0
Pseudoxanthomonas,0.0
Pseudolysobacter,0.0
Arenimonas,0.0
Luteimonas,0.0
Xylella,0.0
Dyella,0.0
Luteibacter,0.0
Dokdonella,0.0
Alteromonas,0.0
Marinobacter,0.0
Salinimonas,0.0
Catenovulum,0.0
Saliniradius,0.0
Bermanella,0.0
Shewanella,0.0
Pseudoalteromonas,0.0
Idiomarina,0.0
Moritella,0.0
Ferrimonas,0.0
Psychromonas,0.0
Colwellia,0.0
Thalassotalea,0.0
Halomonas,0.0
Kushneria,0.0
Cobetia,0.0
Pistricoccus,0.0
Marinomonas,0.0
Marinobacterium,0.0
Stenotrophomonas,0.0
Xanthomonas,0.0
Psychrobacter,0.0
Aquirhabdus,0.0
Rahnella,0.0
Ewingella,0.0
Chania,0.0
Nissabacter,0.0
Gibbsiella,0.0
Rouxiella,0.0
Candidatus Fukatsuia,0.0
Providencia,0.0
Morganella,0.0
Xenorhabdus,0.0
Proteus,0.0
Photorhabdus,0.0
Arsenophonus,0.0
Dickeya,0.0
Brenneria,0.0
Pectobacterium,0.0
Lonsdalea,0.0
Obesumbacterium,0.0
Edwardsiella,0.0
Hafnia,0.0
Sodalis,0.0
Leminorella,0.0
Limnobaculum,0.0
Pragia,0.0
Jinshanibacter,0.0
Plesiomonas,0.0
Azotobacter,0.0
Acinetobacter,0.0
Moraxella,0.0
Neptunomonas,0.0
Nitrincola,0.0
Serratia,0.0
Methylotuvimicrobium,0.0
Thioalkalivibrio,0.0
Rheinheimera,0.0
Nitrosococcus,0.0
Caldichromatium,0.0
Thiocystis,0.0
Granulosicoccus,0.0
Aeromonas,0.0
Tolumonas,0.0
Oceanisphaera,0.0
Succinivibrio,0.0
Methylomonas,0.0
Methylococcus,0.0
Methylocaldum,0.0
Methylomicrobium,0.0
Legionella,0.0
Bacterioplanes,0.0
Tatlockia,0.0
Coxiella,0.0
Francisella,0.0
Piscirickettsia,0.0
Hydrogenovibrio,0.0
Methylophaga,0.0
Thiosulfativibrio,0.0
Thiomicrorhabdus,0.0
Thiothrix,0.0
Candidatus Reidiella,0.0
Gallaecimonas,0.0
Candidatus Azoamicus,0.0
Solimonas,0.0
Sinimarinibacterium,0.0
Halorhodospira,0.0
Alkalilimnicola,0.0
Ectothiorhodospira,0.0
Frederiksenia,0.0
Alcanivorax,0.0
Hahella,0.0
Reinekea,0.0
Gynuella,0.0
Oleiphilus,0.0
Kangiella,0.0
Endozoicomonas,0.0
Vibrio,0.0
Photobacterium,0.0
Microbulbifer,0.0
Cellvibrio,0.0
Agarilytica,0.0
Simiduia,0.0
Teredinibacter,0.0
Saccharophagus,0.0
Halioglobus,0.0
Congregibacter,0.0
Zhongshania,0.0
Mannheimia,0.0
Haemophilus,0.0
Rodentibacter,0.0
Glaesserella,0.0
Pasteurella,0.0
Actinobacillus,0.0
Vespertiliibacter,0.0
Aggregatibacter,0.0
Gallibacterium,0.0
Histophilus,0.0
Basfia,0.0
Yersinia,0.0
Tatumella,0.0
Allokutzneria,0.0
Conexibacter,0.0
Lancefieldella,0.0
Adlercreutzia,0.0
Gordonibacter,0.0
Slackia,0.0
Phoenicibacter,0.0
Eggerthella,0.0
Arabia,0.0
Berryella,0.0
Denitrobacterium,0.0
Cryptobacterium,0.0
Rubrobacter,0.0
Baekduia,0.0
Egicoccus,0.0
Acidimicrobium,0.0
Synechococcus,0.0
Rivularia,0.0
Thermosynechococcus,0.0
Cyanobium,0.0
Synechocystis,0.0
Pseudanabaena,0.0
Prochlorococcus,0.0
Leptolyngbya,0.0
Halomicronema,0.0
Acaryochloris,0.0
Thermoleptolyngbya,0.0
Nostoc,0.0
Anabaena,0.0
Calothrix,0.0
Dolichospermum,0.0
Cylindrospermopsis,0.0
Atopobium,0.0
Parolsenella,0.0
Coriobacterium,0.0
Epidermidibacterium,0.0
Alloactinosynnema,0.0
Kutzneria,0.0
Micromonospora,0.0
Actinoplanes,0.0
Phytohabitans,0.0
Plantactinospora,0.0
Verrucosispora,0.0
Salinispora,0.0
Polymorphospora,0.0
Actinomadura,0.0
Streptosporangium,0.0
Nonomuraea,0.0
Streptomonospora,0.0
Nocardiopsis,0.0
Thermobifida,0.0
Actinomyces,0.0
Trueperella,0.0
Flaviflexus,0.0
Fannyhessea,0.0
Arcanobacterium,0.0
Mobiluncus,0.0
Schaalia,0.0
Catenulispora,0.0
Stackebrandtia,0.0
Nakamurella,0.0
Kineococcus,0.0
Geodermatophilus,0.0
Frankia,0.0
Actinopolyspora,0.0
Fischerella,0.0
Brasilonema,0.0
Mixta,0.0
Scandinavium,0.0
Sphaerobacter,0.0
Fimbriimonas,0.0
Leclercia,0.0
Kosakonia,0.0
Raoultella,0.0
Cronobacter,0.0
Pluralibacter,0.0
Lelliottia,0.0
Kluyvera,0.0
Cedecea,0.0
Jejubacter,0.0
Yokenella,0.0
Phytobacter,0.0
Buttiauxella,0.0
Candidatus Hamiltonella,0.0
Scytonema,0.0
Candidatus Blochmannia,0.0
Candidatus Mikella,0.0
Candidatus Gullanella,0.0
Candidatus Purcelliella,0.0
Candidatus Hoaglandella,0.0
Atlantibacter,0.0
Pseudescherichia,0.0
Shimwellia,0.0
Candidatus Riesia,0.0
Candidatus Profftia,0.0
Candidatus Moranella,0.0
Pantoea,0.0
Buchnera,0.0
Erwinia,0.0
Roseiflexus,0.0
Caldilinea,0.0
Thermobaculum,0.0
Ktedonosporobacter,0.0
Microcystis,0.0
Gloeocapsa,0.0
Geminocystis,0.0
Gloeothece,0.0
Rippkaea,0.0
Euhalothece,0.0
Oxynema,0.0
Trichodesmium,0.0
Oscillatoria,0.0
Moorea,0.0
Stanieria,0.0
Chroococcidiopsis,0.0
Gloeobacter,0.0
Deinococcus,0.0
Thermus,0.0
Meiothermus,0.0
Marinithermus,0.0
Mycoplasma,0.0
Mycoplasmopsis,0.0
Ureaplasma,0.0
Mesoplasma,0.0
Spiroplasma,0.0
Acholeplasma,0.0
Candidatus Phytoplasma,0.0
Dehalogenimonas,0.0
Dehalococcoides,0.0
Anaerolinea,0.0
Pelolinea,0.0
Brevefilum,0.0
Lymphocystivirus,0.0
